Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,23.126929,[29 27] ; [230  52],[42.9112426 13.0887574] ; [216.0887574  65.9112426],1
n4,1,2e-06,22.875161,[31 26] ; [235  48],[44.59411765 12.40588235] ; [221.40588235  61.59411765],1
p10,1,0.002175,9.395812,[36 20] ; [230  49],[44.46567164 11.53432836] ; [221.53432836  57.46567164],0
b1,1,0.011218,6.430436,[31 26] ; [103 180],[22.46470588 34.53529412] ; [111.53529412 171.46470588],0
r2,1,0.015718,5.834144,[48  8] ; [265  15],[52.16666667  3.83333333] ; [260.83333333  19.16666667],0
p9,1,0.030923,4.657237,[41 15] ; [239  42],[46.52818991  9.47181009] ; [233.47181009  47.52818991],0
s7,1,0.039118,4.255748,[22 34] ; [148 124],[29.02439024 26.97560976] ; [140.97560976 131.02439024],0
p3,1,0.039755,4.228301,[20 37] ; [141 141],[27.07079646 29.92920354] ; [133.92920354 148.07079646],0
p11,1,0.041634,4.150041,[39 18] ; [228  55],[44.76176471 12.23823529] ; [222.23823529  60.76176471],0
r4,1,0.048354,3.897646,[47 10] ; [258  25],[51.13235294  5.86764706] ; [253.86764706  29.13235294],0
b2,1,0.06267,3.465269,[ 6 27] ; [ 60 113],[10.57281553 22.42718447] ; [ 55.42718447 117.57281553],0
b3,1,0.06267,3.465269,[ 6 27] ; [ 60 113],[10.57281553 22.42718447] ; [ 55.42718447 117.57281553],0
p12,1,0.096797,2.757546,[ 1 56] ; [ 22 259],[ 3.87869822 53.12130178] ; [ 19.12130178 261.87869822],0
n2,1,0.111131,2.538069,[13  2] ; [40 21],[10.46052632  4.53947368] ; [42.53947368 18.46052632],0
d5,1,0.176716,1.825031,[42 14] ; [234  49],[45.59292035 10.40707965] ; [230.40707965  52.59292035],0
p6,1,0.191167,1.708603,[14 41] ; [ 97 184],[18.16964286 36.83035714] ; [ 92.83035714 188.16964286],0
a3,1,0.198115,1.656213,[34 23] ; [193  89],[38.16814159 18.83185841] ; [188.83185841  93.16814159],0
p5,1,0.226822,1.460682,[ 2 54] ; [ 23 257],[ 4.16666667 51.83333333] ; [ 20.83333333 259.16666667],0
u3,1,0.238988,1.386555,[16  6] ; [52 36],[13.6  8.4] ; [54.4 33.6],0
v3,1,0.257084,1.284394,[16 35] ; [109 165],[19.61538462 31.38461538] ; [105.38461538 168.61538462],0
u1,1,0.267704,1.228475,[ 7 50] ; [ 52 231],[ 9.89117647 47.10882353] ; [ 49.10882353 233.89117647],0
d2,1,0.289918,1.12,[22 34] ; [133 150],[25.60471976 30.39528024] ; [129.39528024 153.60471976],0
s8,1,0.29788,1.083659,[25 32] ; [145 137],[28.5840708 28.4159292] ; [141.4159292 140.5840708],0
u2,1,0.32167,0.982143,[16  6] ; [54 34],[14.  8.] ; [56. 32.],0
v1,1,0.329241,0.951881,[27 29] ; [150 121],[30.31192661 25.68807339] ; [146.68807339 124.31192661],0
a5,1,0.329751,0.949876,[37 20] ; [202  81],[40.06764706 16.93235294] ; [198.93235294  84.06764706],0
a6,1,0.363514,0.825717,[42 14] ; [195  88],[39.15044248 16.84955752] ; [197.84955752  85.15044248],0
n3,1,0.393726,0.727405,[12  3] ; [42 19],[10.65789474  4.34210526] ; [43.34210526 17.65789474],0
a4,1,0.400713,0.706185,[20 37] ; [115 165],[22.83382789 34.16617211] ; [112.16617211 167.83382789],0
s1,1,0.413749,0.668003,[ 3 52] ; [  9 271],[ 1.97014925 53.02985075] ; [ 10.02985075 269.97014925],0
p7,1,0.42027,0.64956,[35 18] ; [166 110],[32.37993921 20.62006079] ; [168.62006079 107.37993921],0
p4,1,0.421336,0.646587,[32 25] ; [175 108],[34.70294118 22.29705882] ; [172.29705882 110.70294118],0
b4,1,0.425755,0.634374,[31 26] ; [170 113],[33.69705882 23.30294118] ; [167.30294118 115.69705882],0
d4,1,0.438522,0.600147,[43 13] ; [230  53],[45.09734513 10.90265487] ; [227.90265487  55.09734513],0
r1,1,0.44492,0.583561,[44 13] ; [230  52],[46.07079646 10.92920354] ; [227.92920354  54.07079646],0
v4,1,0.503125,0.448339,[52  4] ; [269  14],[53.02654867  2.97345133] ; [267.97345133  15.02654867],0
r3,1,0.516159,0.421561,[53  3] ; [273  10],[53.85250737  2.14749263] ; [272.14749263  10.85250737],0
b5,1,0.552817,0.352294,[39 18] ; [182 101],[37.05 19.95] ; [183.95  99.05],0
d1,1,0.554367,0.349552,[30 27] ; [161 122],[32.02058824 24.97941176] ; [158.97941176 124.02058824],0
a7,1,0.607305,0.264118,[41 16] ; [212  70],[42.53982301 14.46017699] ; [210.46017699  71.53982301],0
d3,1,0.676828,0.173719,[37 19] ; [195  88],[38.32448378 17.67551622] ; [193.67551622  89.32448378],0
a2,1,0.705063,0.143258,[14 43] ; [ 63 220],[12.90882353 44.09117647] ; [ 64.09117647 218.90882353],0
a1,1,0.715947,0.132409,[ 2 55] ; [ 13 270],[ 2.51470588 54.48529412] ; [ 12.48529412 270.51470588],0
p1,1,0.74456,0.10616,[ 3 54] ; [ 18 263],[ 3.54142012 53.45857988] ; [ 17.45857988 263.54142012],0
s2,1,0.763937,0.090189,[30 27] ; [154 127],[31.0295858 25.9704142] ; [152.9704142 128.0295858],0
n1,1,0.777171,0.080094,[6 9] ; [22 39],[5.52631579 9.47368421] ; [22.47368421 38.52631579],0
p8,1,0.80592,0.060365,[28 28] ; [134 144],[27.16167665 28.83832335] ; [134.83832335 143.16167665],0
s3,1,0.91858,0.010449,[36 20] ; [182  98],[36.33333333 19.66666667] ; [181.66666667  98.33333333],0
v2,1,0.935611,0.006527,[28 23] ; [151 121],[28.26315789 22.73684211] ; [150.73684211 121.26315789],0
p2,1,0.941721,0.005345,[47 10] ; [232  48],[47.18991098  9.81008902] ; [231.81008902  48.18991098],0
a8,1,0.977005,0.000831,[ 7 43] ; [ 36 224],[ 6.93548387 43.06451613] ; [ 36.06451613 223.93548387],0
s4,1,0.98866,0.000202,[ 9 48] ; [ 44 236],[ 8.96439169 48.03560831] ; [ 44.03560831 235.96439169],0
