Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.001728,9.818383,[279  57] ; [65 30],[268.17633411  67.82366589] ; [75.82366589 19.17633411],0
s5,1,0.002393,9.220933,[126 199] ; [49 37],[138.38199513 186.61800487] ; [36.61800487 49.38199513],0
a8,1,0.004489,8.074427,[ 57 256] ; [ 5 82],[ 48.515 264.485] ; [13.485 73.515],0
b3,1,0.005102,7.842814,[ 92 124] ; [10 38],[ 83.45454545 132.54545455] ; [18.54545455 29.45454545],0
b2,1,0.005102,7.842814,[ 92 124] ; [10 38],[ 83.45454545 132.54545455] ; [18.54545455 29.45454545],0
v2,1,0.008208,6.987578,[190 132] ; [40 52],[178.88888889 143.11111111] ; [51.11111111 40.88888889],0
s2,1,0.015139,5.900226,[256  82] ; [83 12],[264.62355658  73.37644342] ; [74.37644342 20.62355658],0
s6,1,0.019396,5.465486,[274  59] ; [84  7],[281.16509434  51.83490566] ; [76.83490566 14.16509434],0
v1,1,0.0206,5.360304,[184 138] ; [41 53],[174.15865385 147.84134615] ; [50.84134615 43.15865385],0
n1,1,0.027193,4.878508,[30 35] ; [ 4 17],[25.69767442 39.30232558] ; [ 8.30232558 12.69767442],0
v3,1,0.059065,3.563457,[143 183] ; [31 63],[135.05714286 190.94285714] ; [38.94285714 55.05714286],0
u3,1,0.073435,3.20453,[48 36] ; [22  7],[52.03539823 31.96460177] ; [17.96460177 11.03539823],0
s7,1,0.075224,3.165189,[204 119] ; [68 25],[211.19230769 111.80769231] ; [60.80769231 32.19230769],0
p12,1,0.136449,2.217552,[ 39 297] ; [ 6 89],[ 35.0812065 300.9187935] ; [ 9.9187935 85.0812065],0
r4,1,0.192054,1.701793,[313  25] ; [84 11],[309.89838337  28.10161663] ; [87.10161663  7.89838337],0
p11,1,0.203354,1.618122,[276  62] ; [72 23],[271.64896074  66.35103926] ; [76.35103926 18.64896074],0
u4,1,0.207532,1.58856,[ 12 326] ; [ 1 94],[ 10.147806 327.852194] ; [ 2.852194 92.147806],0
a6,1,0.234786,1.411629,[223 114] ; [69 26],[227.78703704 109.21296296] ; [64.21296296 30.78703704],0
p1,1,0.259322,1.272375,[ 34 302] ; [ 6 89],[ 31.18329466 304.81670534] ; [ 8.81670534 86.18329466],0
p9,1,0.263835,1.24852,[300  36] ; [80 14],[296.93023256  39.06976744] ; [83.06976744 10.93023256],0
a3,1,0.279556,1.169246,[252  84] ; [66 29],[247.90719258  88.09280742] ; [70.09280742 24.90719258],0
p6,1,0.279939,1.167386,[134 201] ; [43 50],[138.53971963 196.46028037] ; [38.46028037 54.53971963],0
n5,1,0.283551,1.149991,[265  71] ; [70 25],[261.16009281  74.83990719] ; [73.83990719 21.16009281],0
n6,1,0.291963,1.110549,[289  46] ; [77 17],[285.8041958  49.1958042] ; [80.1958042 13.8041958],0
a1,1,0.334054,0.933117,[ 19 319] ; [ 3 92],[ 17.17321016 320.82678984] ; [ 4.82678984 90.17321016],0
v4,1,0.353638,0.860359,[321  14] ; [92  2],[322.50582751  12.49417249] ; [90.49417249  3.50582751],0
p8,1,0.363417,0.826051,[191 146] ; [57 35],[194.81585082 142.18414918] ; [53.18414918 38.81585082],0
d3,1,0.380119,0.770316,[237 101] ; [71 24],[240.42494226  97.57505774] ; [67.57505774 27.42494226],0
p5,1,0.384293,0.756924,[ 47 290] ; [10 85],[ 44.46527778 292.53472222] ; [12.53472222 82.46527778],0
r2,1,0.439087,0.598666,[324   9] ; [90  4],[322.8618267  10.1381733] ; [91.1381733  2.8618267],0
p7,1,0.513012,0.427919,[231 100] ; [66 24],[233.50831354  97.49168646] ; [63.49168646 26.50831354],0
r3,1,0.521153,0.411611,[327  10] ; [89  4],[326.02790698  10.97209302] ; [89.97209302  3.02790698],0
p4,1,0.533115,0.38845,[219 118] ; [65 30],[221.5462963 115.4537037] ; [62.4537037 32.5462963],0
s8,1,0.534119,0.386549,[200 137] ; [53 42],[197.36342593 139.63657407] ; [55.63657407 39.36342593],0
a5,1,0.542282,0.371327,[249  89] ; [67 28],[246.66974596  91.33025404] ; [69.33025404 25.66974596],0
