Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.4e-05,16.673944,[41 24] ; [16 44],[29.64 35.36] ; [27.36 32.64],1
v1,1,5.3e-05,16.335678,[45 19] ; [20 39],[33.82113821 30.17886179] ; [31.17886179 27.82113821],1
a5,1,0.008838,6.855257,[58  8] ; [42 19],[51.96850394 14.03149606] ; [48.03149606 12.96850394],0
r3,1,0.010922,6.477974,[65  1] ; [53  8],[61.32283465  4.67716535] ; [56.67716535  4.32283465],0
d4,1,0.011378,6.405281,[59  7] ; [43 17],[53.42857143 12.57142857] ; [48.57142857 11.42857143],0
p1,1,0.011675,6.359531,[ 4 62] ; [13 48],[ 8.83464567 57.16535433] ; [ 8.16535433 52.83464567],0
p9,1,0.01201,6.309445,[59  6] ; [45 16],[53.65079365 11.34920635] ; [50.34920635 10.65079365],0
p7,1,0.012755,6.202835,[55 11] ; [39 22],[48.8503937 17.1496063] ; [45.1496063 15.8503937],0
r4,1,0.015225,5.890252,[61  5] ; [47 14],[56.12598425  9.87401575] ; [51.87401575  9.12598425],0
s4,1,0.021267,5.304793,[11 55] ; [21 40],[16.62992126 49.37007874] ; [15.37007874 45.62992126],0
d5,1,0.025372,4.998347,[57  9] ; [42 18],[51.85714286 14.14285714] ; [47.14285714 12.85714286],0
p10,1,0.032258,4.584707,[56  9] ; [43 18],[51.07142857 13.92857143] ; [47.92857143 13.07142857],0
a3,1,0.037019,4.349543,[54 12] ; [40 21],[48.8503937 17.1496063] ; [45.1496063 15.8503937],0
n4,1,0.041123,4.170926,[58  7] ; [46 15],[53.65079365 11.34920635] ; [50.34920635 10.65079365],0
a6,1,0.045872,3.986279,[22 44] ; [31 30],[27.54330709 38.45669291] ; [25.45669291 35.54330709],0
r1,1,0.05821,3.587658,[54 12] ; [41 20],[49.37007874 16.62992126] ; [45.62992126 15.37007874],0
s8,1,0.068921,3.308532,[43 23] ; [30 31],[37.93700787 28.06299213] ; [35.06299213 25.93700787],0
a8,1,0.078024,3.105584,[11 53] ; [ 4 55],[ 7.80487805 56.19512195] ; [ 7.19512195 51.80487805],0
p8,1,0.079877,3.067412,[46 19] ; [34 27],[41.26984127 23.73015873] ; [38.73015873 22.26984127],0
n1,1,0.114324,2.493401,[6 2] ; [ 7 10],[4.16 3.84] ; [8.84 8.16],0
b1,1,0.12234,2.387109,[31 35] ; [37 24],[35.33858268 30.66141732] ; [32.66141732 28.33858268],0
n2,1,0.151623,2.05585,[7 1] ; [10  7],[5.44 2.56] ; [11.56  5.44],0
p2,1,0.173259,1.854519,[57  9] ; [47 14],[54.04724409 11.95275591] ; [49.95275591 11.04724409],0
n6,1,0.17533,1.836772,[57  8] ; [48 13],[54.16666667 10.83333333] ; [50.83333333 10.16666667],0
u4,1,0.200535,1.638476,[ 4 62] ; [ 1 60],[ 2.5984252 63.4015748] ; [ 2.4015748 58.5984252],0
s1,1,0.202436,1.624716,[ 2 64] ; [ 5 56],[ 3.63779528 62.36220472] ; [ 3.36220472 57.63779528],0
r2,1,0.207483,1.588903,[60  5] ; [52  9],[57.77777778  7.22222222] ; [54.22222222  6.77777778],0
n5,1,0.215566,1.533645,[52 13] ; [43 18],[49.00793651 15.99206349] ; [45.99206349 15.00793651],0
a2,1,0.234412,1.413888,[ 7 59] ; [ 3 58],[ 5.19685039 60.80314961] ; [ 4.80314961 56.19685039],0
p5,1,0.261997,1.258174,[10 56] ; [14 47],[12.47244094 53.52755906] ; [11.52755906 49.47244094],0
p11,1,0.274401,1.194612,[54 12] ; [45 16],[51.4488189 14.5511811] ; [47.5511811 13.4488189],0
b3,1,0.31583,1.006136,[24 25] ; [17 27],[21.60215054 27.39784946] ; [19.39784946 24.60215054],0
b2,1,0.31583,1.006136,[24 25] ; [17 27],[21.60215054 27.39784946] ; [19.39784946 24.60215054],0
d1,1,0.343248,0.898261,[38 28] ; [30 31],[35.33858268 30.66141732] ; [32.66141732 28.33858268],0
s5,1,0.357784,0.845656,[33 29] ; [26 32],[30.48333333 31.51666667] ; [28.51666667 29.48333333],0
d2,1,0.385732,0.752355,[37 29] ; [29 31],[34.57142857 31.42857143] ; [31.42857143 28.57142857],0
u2,1,0.392147,0.732274,[5 7] ; [12  9],[6.18181818 5.81818182] ; [10.81818182 10.18181818],0
b5,1,0.452014,0.565596,[27 39] ; [29 32],[29.1023622 36.8976378] ; [26.8976378 34.1023622],0
s7,1,0.457521,0.551953,[43 22] ; [34 23],[41.02459016 23.97540984] ; [35.97540984 21.02459016],0
v4,1,0.469436,0.523303,[60  6] ; [53  8],[58.72440945  7.27559055] ; [54.27559055  6.72440945],0
s3,1,0.495138,0.465341,[39 27] ; [39 21],[40.85714286 25.14285714] ; [37.14285714 22.85714286],0
s6,1,0.52454,0.404958,[46 19] ; [44 14],[47.56097561 17.43902439] ; [42.43902439 15.56097561],0
p6,1,0.563898,0.333,[27 38] ; [28 32],[28.6 36.4] ; [26.4 33.6],0
a1,1,0.639279,0.219686,[ 4 62] ; [ 5 56],[ 4.67716535 61.32283465] ; [ 4.32283465 56.67716535],0
d3,1,0.683939,0.165725,[29 37] ; [29 32],[30.14173228 35.85826772] ; [27.85826772 33.14173228],0
b4,1,0.81379,0.055479,[36 30] ; [32 29],[35.33858268 30.66141732] ; [32.66141732 28.33858268],0
u1,1,0.823183,0.049931,[ 5 61] ; [ 4 57],[ 4.67716535 61.32283465] ; [ 4.32283465 56.67716535],0
a4,1,0.89264,0.018215,[30 36] ; [27 34],[29.62204724 36.37795276] ; [27.37795276 33.62204724],0
u3,1,0.895261,0.017332,[6 6] ; [10 11],[5.81818182 6.18181818] ; [10.18181818 10.81818182],0
p12,1,0.906833,0.013697,[ 4 61] ; [ 4 56],[ 4.16 60.84] ; [ 3.84 56.16],0
p4,1,0.908593,0.013182,[47 19] ; [44 17],[47.29133858 18.70866142] ; [43.70866142 17.29133858],0
s2,1,0.959695,0.002554,[36 30] ; [33 28],[35.85826772 30.14173228] ; [33.14173228 27.85826772],0
