Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,6e-06,20.478389,[123  30] ; [29 30],[109.69811321  43.30188679] ; [42.30188679 16.69811321],1
d3,1,2.6e-05,17.702598,[112  41] ; [25 34],[98.87264151 54.12735849] ; [38.12735849 20.87264151],1
a2,1,0.000477,12.205135,[ 41 112] ; [ 3 56],[ 31.75471698 121.24528302] ; [12.24528302 46.75471698],1
s5,1,0.001952,9.593893,[ 28 123] ; [22 34],[ 36.47342995 114.52657005] ; [13.52657005 42.47342995],0
u1,1,0.002391,9.222003,[ 31 122] ; [ 2 57],[ 23.81603774 129.18396226] ; [ 9.18396226 49.81603774],0
s4,1,0.004608,8.027236,[ 12 139] ; [13 46],[ 17.97619048 133.02380952] ; [ 7.02380952 51.97619048],0
v4,1,0.006501,7.405879,[149   4] ; [52  7],[145.06132075   7.93867925] ; [55.93867925  3.06132075],0
d5,1,0.010563,6.537403,[130  23] ; [41 18],[123.41037736  29.58962264] ; [47.58962264 11.41037736],0
v1,1,0.026886,4.898103,[92 59] ; [25 32],[84.9375 66.0625] ; [32.0625 24.9375],0
b5,1,0.064733,3.411769,[89 64] ; [26 33],[82.99528302 70.00471698] ; [32.00471698 26.99528302],0
p1,1,0.079005,3.085255,[ 13 139] ; [10 49],[ 16.56872038 135.43127962] ; [ 6.43127962 52.56872038],0
r2,1,0.125974,2.341434,[144   7] ; [52  6],[141.6076555   9.3923445] ; [54.3923445  3.6076555],0
d2,1,0.142955,2.145858,[62 91] ; [30 28],[66.71090047 86.28909953] ; [25.28909953 32.71090047],0
u3,1,0.147128,2.101779,[29 20] ; [ 8 12],[26.27536232 22.72463768] ; [10.72463768  9.27536232],0
b1,1,0.147815,2.094657,[61 92] ; [30 29],[65.6745283 87.3254717] ; [25.3254717 33.6745283],0
p2,1,0.148866,2.083835,[133  19] ; [47 12],[129.66824645  22.33175355] ; [50.33175355  8.66824645],0
a4,1,0.151839,2.053674,[68 84] ; [20 39],[63.39336493 88.60663507] ; [24.60663507 34.39336493],0
v2,1,0.159462,1.979318,[93 56] ; [30 28],[88.53623188 60.46376812] ; [34.46376812 23.53623188],0
r3,1,0.194226,1.685268,[145   8] ; [53  6],[142.89622642  10.10377358] ; [55.10377358  3.89622642],0
d1,1,0.289532,1.121795,[85 68] ; [28 31],[81.55188679 71.44811321] ; [31.44811321 27.55188679],0
s3,1,0.294216,1.100229,[ 34 118] ; [17 41],[ 36.91428571 115.08571429] ; [14.08571429 43.91428571],0
p4,1,0.295917,1.092503,[117  36] ; [41 18],[114.02830189  38.97169811] ; [43.97169811 15.02830189],0
p7,1,0.303173,1.060184,[120  31] ; [43 16],[117.2047619  33.7952381] ; [45.7952381 13.2047619],0
u2,1,0.324834,0.969384,[26 23] ; [ 8 12],[24.14492754 24.85507246] ; [ 9.85507246 10.14492754],0
s8,1,0.333115,0.936749,[ 41 110] ; [20 39],[ 43.86190476 107.13809524] ; [17.13809524 41.86190476],0
n3,1,0.338352,0.916667,[17  5] ; [10  1],[18.  4.] ; [9. 2.],0
p5,1,0.351009,0.869805,[ 23 130] ; [12 47],[ 25.25943396 127.74056604] ; [ 9.74056604 49.25943396],0
r4,1,0.358282,0.843907,[141  12] ; [52  7],[139.28773585  13.71226415] ; [53.71226415  5.28773585],0
v3,1,0.366306,0.816159,[64 86] ; [20 36],[61.16504854 88.83495146] ; [22.83495146 33.16504854],0
n4,1,0.396192,0.719854,[119  34] ; [49 10],[121.24528302  31.75471698] ; [46.75471698 12.24528302],0
n1,1,0.407016,0.6875,[ 7 15] ; [2 9],[ 6. 16.] ; [3. 8.],0
n2,1,0.407016,0.6875,[17  5] ; [7 4],[16.  6.] ; [8. 3.],0
d4,1,0.425856,0.634098,[117  36] ; [42 17],[114.75  38.25] ; [44.25 14.75],0
s7,1,0.426337,0.632782,[46 93] ; [23 36],[48.43939394 90.56060606] ; [20.56060606 38.43939394],0
