Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.00939,6.747108,[ 9 31] ; [6 3],[12.24489796 27.75510204] ; [2.75510204 6.24489796],0
b4,1,0.017972,5.598917,[58 42] ; [ 5 13],[53.38983051 46.61016949] ; [9.61016949 8.38983051],0
n2,1,0.06991,3.285122,[30 19] ; [3 7],[27.40677966 21.59322034] ; [5.59322034 4.40677966],0
d3,1,0.097677,2.743062,[45 54] ; [12  6],[48.23076923 50.76923077] ; [8.76923077 9.23076923],0
p7,1,0.129023,2.304221,[32 63] ; [9 8],[34.77678571 60.22321429] ; [ 6.22321429 10.77678571],0
s7,1,0.131672,2.272675,[22 71] ; [ 7 10],[24.51818182 68.48181818] ; [ 4.48181818 12.51818182],0
s2,1,0.131951,2.269397,[22 77] ; [ 7 11],[24.53846154 74.46153846] ; [ 4.46153846 13.53846154],0
s6,1,0.135796,2.224962,[27 73] ; [ 8 10],[29.66101695 70.33898305] ; [ 5.33898305 12.66101695],0
b3,1,0.13677,2.213925,[22 34] ; [ 2 10],[19.76470588 36.23529412] ; [4.23529412 7.76470588],0
b2,1,0.13677,2.213925,[22 34] ; [ 2 10],[19.76470588 36.23529412] ; [4.23529412 7.76470588],0
p8,1,0.151224,2.059866,[27 71] ; [ 8 10],[29.56896552 68.43103448] ; [ 5.43103448 12.56896552],0
v3,1,0.16578,1.920692,[26 73] ; [ 2 16],[23.69230769 75.30769231] ; [ 4.30769231 13.69230769],0
a6,1,0.167342,1.906598,[51 49] ; [ 6 12],[48.30508475 51.69491525] ; [8.69491525 9.30508475],0
p10,1,0.167669,1.903659,[47 49] ; [12  6],[49.68421053 46.31578947] ; [9.31578947 8.68421053],0
s1,1,0.180407,1.794265,[ 7 92] ; [ 3 15],[ 8.46153846 90.53846154] ; [ 1.53846154 16.46153846],0
v1,1,0.25396,1.301386,[35 62] ; [ 4 14],[32.89565217 64.10434783] ; [ 6.10434783 11.89565217],0
p3,1,0.28279,1.153633,[21 76] ; [ 6 12],[22.77391304 74.22608696] ; [ 4.22608696 13.77391304],0
n4,1,0.313061,1.017717,[62 37] ; [9 9],[60.07692308 38.92307692] ; [10.92307692  7.07692308],0
u2,1,0.319376,0.991499,[15 25] ; [5 4],[16.32653061 23.67346939] ; [3.67346939 5.32653061],0
n6,1,0.386228,0.750786,[54 43] ; [12  6],[55.66956522 41.33043478] ; [10.33043478  7.66956522],0
a1,1,0.421461,0.646239,[12 88] ; [ 1 17],[11.01694915 88.98305085] ; [ 1.98305085 16.01694915],0
a3,1,0.44781,0.57619,[59 40] ; [9 9],[57.53846154 41.46153846] ; [10.46153846  7.53846154],0
s3,1,0.449921,0.570852,[29 68] ; [ 7 11],[30.36521739 66.63478261] ; [ 5.63478261 12.36521739],0
