Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,38.357515,[129 117] ; [ 28 111],[100.31688312 145.68311688] ; [56.68311688 82.31688312],1
a6,1,3e-05,17.405341,[164  83] ; [62 77],[144.61658031 102.38341969] ; [81.38341969 57.61658031],1
r4,1,0.001599,9.96072,[225  22] ; [111  28],[215.00518135  31.99481865] ; [120.99481865  18.00518135],0
p2,1,0.002833,8.91217,[206  40] ; [97 40],[194.61618799  51.38381201] ; [108.38381201  28.61618799],0
b5,1,0.014282,6.002985,[156  91] ; [70 69],[144.61658031 102.38341969] ; [81.38341969 57.61658031],0
r3,1,0.014606,5.963324,[233  13] ; [122  17],[226.83116883  19.16883117] ; [128.16883117  10.83116883],0
p10,1,0.014703,5.951746,[187  51] ; [92 45],[177.072  60.928] ; [101.928  35.072],0
d2,1,0.014713,5.950561,[ 29 218] ; [ 29 109],[ 37.21038961 209.78961039] ; [ 20.78961039 117.21038961],0
u3,1,0.016392,5.760341,[63 40] ; [26 36],[55.55757576 47.44242424] ; [33.44242424 28.55757576],0
d4,1,0.032943,4.548714,[152  95] ; [70 69],[142.05699482 104.94300518] ; [79.94300518 59.05699482],0
b2,1,0.037075,4.346985,[36 92] ; [36 50],[43.06542056 84.93457944] ; [28.93457944 57.06542056],0
b3,1,0.037075,4.346985,[36 92] ; [36 50],[43.06542056 84.93457944] ; [28.93457944 57.06542056],0
r1,1,0.05463,3.693341,[183  62] ; [91 48],[174.81770833  70.18229167] ; [99.18229167 39.81770833],0
p8,1,0.05941,3.553771,[121 120] ; [55 82],[112.21164021 128.78835979] ; [63.78835979 73.21164021],0
r2,1,0.062504,3.469653,[230  15] ; [123  16],[225.22135417  19.77864583] ; [127.77864583  11.22135417],0
p9,1,0.064564,3.41609,[194  45] ; [100  37],[186.87765957  52.12234043] ; [107.12234043  29.87765957],0
p4,1,0.078406,3.097637,[128 116] ; [59 78],[119.75853018 124.24146982] ; [67.24146982 69.75853018],0
s6,1,0.083702,2.991518,[156  85] ; [74 59],[148.20855615  92.79144385] ; [81.79144385 51.20855615],0
v2,1,0.086517,2.938014,[118 117] ; [54 78],[110.13623978 124.86376022] ; [61.86376022 70.13623978],0
a5,1,0.089116,2.89027,[143 104] ; [68 71],[135.01813472 111.98186528] ; [75.98186528 63.01813472],0
a2,1,0.18137,1.786363,[ 17 230] ; [  5 134],[ 14.07772021 232.92227979] ; [  7.92227979 131.07772021],0
d5,1,0.195925,1.672496,[143 104] ; [71 68],[136.93782383 110.06217617] ; [77.06217617 61.93782383],0
p3,1,0.230025,1.440708,[110 136] ; [53 85],[104.421875 141.578125] ; [58.578125 79.421875],0
p6,1,0.23144,1.431987,[ 78 163] ; [ 36 100],[ 72.87533156 168.12466844] ; [41.12466844 94.87533156],0
a1,1,0.233784,1.41769,[  8 239] ; [  8 131],[ 10.23834197 236.76165803] ; [  5.76165803 133.23834197],0
n3,1,0.274045,1.196388,[43 11] ; [33 14],[40.63366337 13.36633663] ; [35.36633663 11.63366337],0
p5,1,0.292601,1.107616,[ 28 217] ; [ 11 126],[ 25.01308901 219.98691099] ; [ 13.98691099 123.01308901],0
n6,1,0.310463,1.028704,[198  48] ; [105  33],[194.109375  51.890625] ; [108.890625  29.109375],0
s8,1,0.337756,0.918929,[ 77 168] ; [50 88],[ 81.24020888 163.75979112] ; [45.75979112 92.24020888],0
p7,1,0.344551,0.893423,[146  91] ; [77 59],[141.69168901  95.30831099] ; [81.30831099 54.69168901],0
s1,1,0.391461,0.734398,[  8 233] ; [  7 130],[  9.56349206 231.43650794] ; [  5.43650794 131.56349206],0
s4,1,0.396262,0.719642,[ 45 198] ; [ 21 118],[ 41.98429319 201.01570681] ; [ 24.01570681 114.98429319],0
s5,1,0.484265,0.489244,[ 64 174] ; [40 92],[ 66.8972973 171.1027027] ; [37.1027027 94.8972973],0
s3,1,0.489036,0.478645,[120 122] ; [73 64],[123.2348285 118.7651715] ; [69.7651715 67.2348285],0
p12,1,0.510231,0.433594,[ 12 230] ; [  9 128],[ 13.40897098 228.59102902] ; [  7.59102902 129.40897098],0
