Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,72.929464,[199  48] ; [31 65],[165.62682216  81.37317784] ; [64.37317784 31.62682216],1
n6,1,1.7e-05,18.474251,[218  29] ; [66 30],[204.51311953  42.48688047] ; [79.48688047 16.51311953],1
p10,1,7e-05,15.820408,[198  47] ; [57 38],[183.75  61.25] ; [71.25 23.75],1
a5,1,0.000198,13.848907,[201  48] ; [59 37],[187.65217391  61.34782609] ; [72.34782609 23.65217391],1
p4,1,0.000284,13.17223,[147  99] ; [36 59],[132.01759531 113.98240469] ; [50.98240469 44.01759531],1
r3,1,0.000305,13.041205,[237  12] ; [80 16],[228.79130435  20.20869565] ; [88.20869565  7.79130435],1
d2,1,0.00039,12.580877,[135 112] ; [32 64],[120.25947522 126.74052478] ; [46.74052478 49.25947522],1
a4,1,0.001129,10.603776,[128 119] ; [31 65],[114.49854227 132.50145773] ; [44.50145773 51.49854227],0
p3,1,0.001649,9.904083,[122 125] ; [29 66],[109.05555556 137.94444444] ; [41.94444444 53.05555556],0
r2,1,0.003094,8.751368,[226  17] ; [79 17],[218.62831858  24.37168142] ; [86.37168142  9.62831858],0
p11,1,0.003602,8.474472,[194  55] ; [60 36],[183.32173913  65.67826087] ; [70.67826087 25.32173913],0
r4,1,0.004178,8.204613,[220  29] ; [73 23],[211.46956522  37.53043478] ; [81.53043478 14.46956522],0
p2,1,0.004229,8.182981,[199  47] ; [63 32],[189.00879765  56.99120235] ; [72.99120235 22.00879765],0
a8,1,0.004364,8.125866,[ 32 184] ; [ 3 86],[ 24.78688525 191.21311475] ; [10.21311475 78.78688525],0
p6,1,0.00509,7.847356,[ 86 159] ; [18 75],[ 75.38461538 169.61538462] ; [28.61538462 64.38461538],0
p9,1,0.008894,6.843923,[200  46] ; [64 30],[191.01176471  54.98823529] ; [72.98823529 21.01176471],0
v3,1,0.010036,6.62848,[100 142] ; [24 68],[ 89.84431138 152.15568862] ; [34.15568862 57.84431138],0
b3,1,0.015681,5.83831,[63 91] ; [11 39],[55.8627451 98.1372549] ; [18.1372549 31.8627451],0
b2,1,0.015681,5.83831,[63 91] ; [11 39],[55.8627451 98.1372549] ; [18.1372549 31.8627451],0
n3,1,0.015716,5.834368,[39 14] ; [18 19],[33.56666667 19.43333333] ; [23.43333333 13.56666667],0
d5,1,0.02037,5.379877,[225  24] ; [78 18],[218.68695652  30.31304348] ; [84.31304348 11.68695652],0
u1,1,0.021824,5.259778,[ 49 200] ; [ 9 87],[ 41.86086957 207.13913043] ; [16.13913043 79.86086957],0
p7,1,0.022496,5.207011,[147  98] ; [44 51],[137.63235294 107.36764706] ; [53.36764706 41.63235294],0
s8,1,0.023585,5.124931,[ 71 176] ; [16 79],[ 62.83333333 184.16666667] ; [24.16666667 70.83333333],0
d1,1,0.024701,5.044724,[172  77] ; [54 42],[163.11304348  85.88695652] ; [62.88695652 33.11304348],0
v1,1,0.025588,4.983622,[135 110] ; [40 56],[125.73313783 119.26686217] ; [49.26686217 46.73313783],0
