Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,82.976876,[311  17] ; [62 42],[283.2037037  44.7962963] ; [89.7962963 14.2037037],1
r2,1,0.0,46.334538,[316   9] ; [79 24],[299.94158879  25.05841121] ; [95.05841121  7.94158879],1
a5,1,0.0,37.403308,[245  83] ; [44 60],[219.42592593 108.57407407] ; [69.57407407 34.42592593],1
d1,1,0.0,26.239896,[186 142] ; [29 75],[163.24074074 164.75925926] ; [51.75925926 52.24074074],1
r3,1,2e-06,22.43049,[316   8] ; [88 15],[306.54800937  17.45199063] ; [97.45199063  5.54800937],1
d4,1,3.6e-05,17.08272,[272  54] ; [67 37],[257.00930233  68.99069767] ; [81.99069767 22.00930233],1
a2,1,4.2e-05,16.761397,[ 79 249] ; [ 6 98],[ 64.53703704 263.46296296] ; [20.46296296 83.53703704],1
a6,1,4.6e-05,16.587172,[243  85] ; [55 49],[226.25925926 101.74074074] ; [71.74074074 32.25925926],1
v2,1,0.000185,13.973166,[177 135] ; [37 67],[160.5 151.5] ; [53.5 50.5],1
a3,1,0.000239,13.496008,[224 103] ; [50 53],[208.36744186 118.63255814] ; [65.63255814 37.36744186],1
u1,1,0.000445,12.331432,[ 53 275] ; [  3 101],[ 42.51851852 285.48148148] ; [13.48148148 90.51851852],1
d5,1,0.000452,12.303792,[270  58] ; [68 35],[257.225058  70.774942] ; [80.774942 22.225058],1
a4,1,0.000762,11.330986,[149 178] ; [28 76],[134.2900232 192.7099768] ; [42.7099768 61.2900232],1
d3,1,0.000969,10.885363,[240  88] ; [57 45],[226.54883721 101.45116279] ; [70.45116279 31.54883721],1
a7,1,0.00276,8.959465,[252  75] ; [64 39],[240.30697674  86.69302326] ; [75.69302326 27.30697674],0
d2,1,0.006536,7.39631,[143 183] ; [30 74],[131.15813953 194.84186047] ; [41.84186047 62.15813953],0
v4,1,0.006842,7.314079,[312  12] ; [93 11],[306.58878505  17.41121495] ; [98.41121495  5.58878505],0
u3,1,0.00938,6.748916,[59 43] ; [19 34],[51.32903226 50.67096774] ; [26.67096774 26.32903226],0
n4,1,0.026449,4.926454,[247  80] ; [67 37],[238.23201856  88.76798144] ; [75.76798144 28.23201856],0
v3,1,0.028413,4.802831,[106 210] ; [23 81],[ 97.05714286 218.94285714] ; [31.94285714 72.05714286],0
v1,1,0.041158,4.169505,[165 157] ; [40 61],[156.05200946 165.94799054] ; [48.94799054 52.05200946],0
p7,1,0.042139,4.1296,[209 112] ; [55 47],[200.34042553 120.65957447] ; [63.65957447 38.34042553],0
s7,1,0.050787,3.81527,[ 96 218] ; [20 78],[ 88.40776699 225.59223301] ; [27.59223301 70.40776699],0
p8,1,0.077854,3.109135,[168 154] ; [43 59],[160.24056604 161.75943396] ; [50.75943396 51.24056604],0
p4,1,0.112496,2.518801,[191 136] ; [51 52],[184.03255814 142.96744186] ; [57.96744186 45.03255814],0
p11,1,0.120909,2.4055,[266  62] ; [77 27],[260.42592593  67.57407407] ; [82.57407407 21.42592593],0
p10,1,0.127112,2.327419,[259  65] ; [75 28],[253.43325527  70.56674473] ; [80.56674473 22.43325527],0
s4,1,0.127655,2.320788,[ 45 277] ; [21 83],[ 49.88732394 272.11267606] ; [16.11267606 87.88732394],0
p1,1,0.127768,2.319416,[ 27 299] ; [  4 100],[ 23.50232558 302.49767442] ; [ 7.49767442 96.50232558],0
s3,1,0.145474,2.11908,[144 180] ; [37 65],[137.66197183 186.33802817] ; [43.33802817 58.66197183],0
s6,1,0.163578,1.940831,[178 143] ; [48 53],[171.90995261 149.09004739] ; [54.09004739 46.90995261],0
p6,1,0.237186,1.397241,[104 217] ; [27 76],[ 99.17688679 221.82311321] ; [31.82311321 71.17688679],0
p3,1,0.244556,1.354138,[147 180] ; [40 64],[141.87703016 185.12296984] ; [45.12296984 58.87703016],0
p5,1,0.292424,1.108428,[ 24 303] ; [11 93],[ 26.55452436 300.44547564] ; [ 8.44547564 95.55452436],0
b1,1,0.29774,1.08429,[114 214] ; [42 62],[118.44444444 209.55555556] ; [37.55555556 66.44444444],0
a1,1,0.30037,1.07255,[  9 319] ; [ 5 99],[ 10.62962963 317.37037037] ; [  3.37037037 100.62962963],0
s2,1,0.332304,0.939898,[114 212] ; [31 73],[109.93023256 216.06976744] ; [35.06976744 68.93023256],0
u2,1,0.360607,0.835779,[56 46] ; [25 28],[53.30322581 48.69677419] ; [27.69677419 25.30322581],0
n5,1,0.361567,0.832444,[233  92] ; [69 34],[229.32242991  95.67757009] ; [72.67757009 30.32242991],0
u4,1,0.39002,0.73888,[  1 327] ; [  1 103],[  1.51851852 326.48148148] ; [  0.48148148 103.51851852],0
n3,1,0.507065,0.440119,[50 14] ; [26 10],[48.64 15.36] ; [27.36  8.64],0
n6,1,0.541367,0.373013,[268  57] ; [83 21],[265.90909091  59.09090909] ; [85.09090909 18.90909091],0
s5,1,0.55285,0.352236,[ 85 236] ; [24 78],[ 82.71631206 238.28368794] ; [26.28368794 75.71631206],0
a8,1,0.674645,0.176216,[ 34 258] ; [10 89],[ 32.85933504 259.14066496] ; [11.14066496 87.85933504],0
b5,1,0.697575,0.151007,[198 130] ; [65 39],[199.68518519 128.31481481] ; [63.31481481 40.68518519],0
n1,1,0.704277,0.144061,[17 46] ; [11 25],[17.81818182 45.18181818] ; [10.18181818 25.81818182],0
b4,1,0.788335,0.072078,[197 131] ; [64 40],[198.16666667 129.83333333] ; [62.83333333 41.16666667],0
