Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2.1e-05,18.142193,[19  8] ; [17 54],[ 9.91836735 17.08163265] ; [26.08163265 44.91836735],1
s6,1,3.2e-05,17.269616,[19  8] ; [18 54],[10.09090909 16.90909091] ; [26.90909091 45.09090909],1
s4,1,0.002636,9.043644,[ 8 19] ; [ 5 68],[ 3.51 23.49] ; [ 9.49 63.51],0
p3,1,0.016685,5.729167,[14 13] ; [19 53],[ 9. 18.] ; [24. 48.],0
s5,1,0.023844,5.105934,[ 8 18] ; [ 8 62],[ 4.33333333 21.66666667] ; [11.66666667 58.33333333],0
s8,1,0.025792,4.96988,[ 8 19] ; [ 8 64],[ 4.36363636 22.63636364] ; [11.63636364 60.36363636],0
s7,1,0.06591,3.382055,[ 9 16] ; [12 55],[ 5.70652174 19.29347826] ; [15.29347826 51.70652174],0
v1,1,0.075866,3.151302,[14 13] ; [23 48],[10.19387755 16.80612245] ; [26.80612245 44.19387755],0
a5,1,0.122193,2.388988,[18  9] ; [36 37],[14.58 12.42] ; [39.42 33.58],0
p11,1,0.145564,2.118128,[10 17] ; [39 34],[13.23 13.77] ; [35.77 37.23],0
s1,1,0.190579,1.713138,[ 3 24] ; [ 3 70],[ 1.62 25.38] ; [ 4.38 68.62],0
u1,1,0.216569,1.526964,[ 4 23] ; [ 5 68],[ 2.43 24.57] ; [ 6.57 66.43],0
n3,1,0.23531,1.408471,[3 3] ; [23  8],[4.21621622 1.78378378] ; [21.78378378  9.21621622],0
b2,1,0.26379,1.248759,[ 2 11] ; [14 31],[3.5862069 9.4137931] ; [12.4137931 32.5862069],0
b3,1,0.26379,1.248759,[ 2 11] ; [14 31],[3.5862069 9.4137931] ; [12.4137931 32.5862069],0
d1,1,0.285562,1.140428,[ 9 18] ; [33 40],[11.34 15.66] ; [30.66 42.34],0
n2,1,0.300546,1.071771,[5 1] ; [19 12],[3.89189189 2.10810811] ; [20.10810811 10.89189189],0
p4,1,0.306056,1.047619,[12 15] ; [24 48],[ 9.81818182 17.18181818] ; [26.18181818 45.81818182],0
p2,1,0.311768,1.023169,[14 13] ; [46 27],[16.2 10.8] ; [43.8 29.2],0
a7,1,0.376758,0.781254,[14 13] ; [45 28],[15.93 11.07] ; [43.07 29.93],0
v3,1,0.407866,0.685013,[ 8 17] ; [16 52],[ 6.4516129 18.5483871] ; [17.5483871 50.4516129],0
u2,1,0.430223,0.622222,[4 8] ; [14 16],[5.14285714 6.85714286] ; [12.85714286 17.14285714],0
p6,1,0.44392,0.586129,[ 4 23] ; [15 54],[ 5.34375 21.65625] ; [13.65625 55.34375],0
b4,1,0.448705,0.573921,[14 13] ; [44 29],[15.66 11.34] ; [42.34 30.66],0
a2,1,0.458399,0.549801,[ 4 23] ; [ 7 66],[ 2.97 24.03] ; [ 8.03 64.97],0
a3,1,0.480396,0.497964,[14 13] ; [43 29],[15.54545455 11.45454545] ; [41.45454545 30.54545455],0
b1,1,0.499207,0.456621,[12 15] ; [38 35],[13.5 13.5] ; [36.5 36.5],0
a8,1,0.529282,0.39577,[ 3 23] ; [ 5 62],[ 2.23655914 23.76344086] ; [ 5.76344086 61.23655914],0
d4,1,0.564363,0.332206,[20  7] ; [58 15],[21.06  5.94] ; [56.94 16.06],0
n6,1,0.579431,0.307155,[15 12] ; [36 37],[13.77 13.23] ; [37.23 35.77],0
v2,1,0.580929,0.304736,[11 15] ; [35 37],[12.20408163 13.79591837] ; [33.79591837 38.20408163],0
d3,1,0.581128,0.304414,[15 12] ; [45 28],[16.2 10.8] ; [43.8 29.2],0
b5,1,0.581128,0.304414,[15 12] ; [45 28],[16.2 10.8] ; [43.8 29.2],0
a4,1,0.601571,0.272633,[10 17] ; [23 50],[ 8.91 18.09] ; [24.09 48.91],0
n4,1,0.624113,0.240129,[10 17] ; [31 42],[11.07 15.93] ; [29.93 43.07],0
p9,1,0.633945,0.226749,[ 7 19] ; [23 49],[ 7.95918367 18.04081633] ; [22.04081633 49.95918367],0
u3,1,0.66534,0.187102,[7 6] ; [14 16],[6.34883721 6.65116279] ; [14.65116279 15.34883721],0
n1,1,0.670556,0.180952,[2 4] ; [ 8 24],[1.57894737 4.42105263] ; [ 8.42105263 23.57894737],0
r2,1,0.683101,0.166655,[23  4] ; [58 13],[22.31632653  4.68367347] ; [58.68367347 12.31632653],0
p7,1,0.713004,0.135295,[10 17] ; [30 43],[10.8 16.2] ; [29.2 43.8],0
d2,1,0.713004,0.135295,[10 17] ; [30 43],[10.8 16.2] ; [29.2 43.8],0
p1,1,0.730908,0.11828,[ 2 25] ; [ 4 68],[ 1.63636364 25.36363636] ; [ 4.36363636 67.63636364],0
r1,1,0.795069,0.067462,[17 10] ; [48 25],[17.55  9.45] ; [47.45 25.55],0
d5,1,0.795069,0.067462,[17 10] ; [48 25],[17.55  9.45] ; [47.45 25.55],0
v4,1,0.821788,0.050736,[22  5] ; [58 15],[21.6  5.4] ; [58.4 14.6],0
a1,1,0.926733,0.008456,[ 1 26] ; [ 3 70],[ 1.08 25.92] ; [ 2.92 70.08],0
r4,1,0.932748,0.007121,[19  8] ; [52 21],[19.17  7.83] ; [51.83 21.17],0
a6,1,0.945854,0.004612,[15 12] ; [40 33],[14.85 12.15] ; [40.15 32.85],0
p8,1,0.964045,0.002032,[ 8 19] ; [21 51],[ 7.90909091 19.09090909] ; [21.09090909 50.90909091],0
r3,1,0.98277,0.000466,[24  3] ; [65  8],[24.03  2.97] ; [64.97  8.03],0
