Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,78.907892,[ 1 40] ; [136  41],[25.76605505 15.23394495] ; [111.23394495  65.76605505],1
d3,1,0.0,48.785619,[ 8 33] ; [136  41],[27.08256881 13.91743119] ; [116.91743119  60.08256881],1
d5,1,4e-06,21.493671,[24 17] ; [157  20],[34.0412844  6.9587156] ; [146.9587156  30.0412844],1
a5,1,0.000177,14.059829,[22 19] ; [144  33],[31.22018349  9.77981651] ; [134.77981651  42.22018349],1
d2,1,0.001411,10.190915,[14 27] ; [109  68],[23.13302752 17.86697248] ; [99.86697248 77.13302752],0
u1,1,0.00243,9.192488,[ 1 40] ; [ 41 136],[ 7.89908257 33.10091743] ; [ 34.10091743 142.89908257],0
v3,1,0.004628,8.019318,[11 29] ; [86 78],[19.01960784 20.98039216] ; [77.98039216 86.01960784],0
a3,1,0.007002,7.272526,[26 15] ; [146  31],[32.34862385  8.65137615] ; [139.65137615  37.34862385],0
u2,1,0.00729,7.2,[6 9] ; [24  6],[10.  5.] ; [20. 10.],0
a4,1,0.007994,7.034877,[11 30] ; [88 89],[18.61926606 22.38073394] ; [80.38073394 96.61926606],0
r1,1,0.009661,6.696269,[29 10] ; [158  18],[33.92093023  5.07906977] ; [153.07906977  22.92093023],0
a2,1,0.0105,6.548115,[ 5 36] ; [ 57 120],[11.66055046 29.33944954] ; [ 50.33944954 126.66055046],0
n4,1,0.017121,5.683899,[25 15] ; [141  35],[30.74074074  9.25925926] ; [135.25925926  40.74074074],0
b3,1,0.019022,5.499488,[ 5 22] ; [53 71],[10.37086093 16.62913907] ; [47.62913907 76.37086093],0
b2,1,0.019022,5.499488,[ 5 22] ; [53 71],[10.37086093 16.62913907] ; [47.62913907 76.37086093],0
v2,1,0.039181,4.253016,[17 22] ; [103  64],[22.7184466 16.2815534] ; [97.2815534 69.7184466],0
s5,1,0.048271,3.900522,[10 31] ; [69 99],[15.49760766 25.50239234] ; [ 63.50239234 104.49760766],0
n3,1,0.056302,3.643096,[11  1] ; [29 17],[8.27586207 3.72413793] ; [31.72413793 14.27586207],0
s7,1,0.068456,3.319656,[24 15] ; [126  40],[28.53658537 10.46341463] ; [121.46341463  44.53658537],0
s2,1,0.090519,2.865124,[23 17] ; [124  50],[27.47663551 12.52336449] ; [119.52336449  54.47663551],0
u3,1,0.096053,2.769892,[8 7] ; [24  7],[10.43478261  4.56521739] ; [21.56521739  9.43478261],0
s1,1,0.097191,2.751042,[ 3 37] ; [  4 169],[ 1.31455399 38.68544601] ; [  5.68544601 167.31455399],0
n2,1,0.123742,2.369302,[12  1] ; [33 13],[9.91525424 3.08474576] ; [35.08474576 10.91525424],0
p12,1,0.13115,2.278836,[ 1 40] ; [ 17 159],[ 3.40092166 37.59907834] ; [ 14.59907834 161.40092166],0
p9,1,0.135264,2.231026,[33  8] ; [155  19],[35.85116279  5.14883721] ; [152.14883721  21.85116279],0
p11,1,0.154903,2.023293,[29 12] ; [143  34],[32.34862385  8.65137615] ; [139.65137615  37.34862385],0
s4,1,0.160265,1.971724,[10 31] ; [ 27 150],[ 6.9587156 34.0412844] ; [ 30.0412844 146.9587156],0
b4,1,0.218793,1.51227,[20 21] ; [105  72],[23.50917431 17.49082569] ; [101.49082569  75.50917431],0
n1,1,0.231598,1.431023,[7 5] ; [18 28],[5.17241379 6.82758621] ; [19.82758621 26.17241379],0
b5,1,0.250109,1.322692,[21 20] ; [108  69],[24.26146789 16.73853211] ; [104.73853211  72.26146789],0
p1,1,0.255056,1.295393,[ 4 37] ; [  9 168],[ 2.44495413 38.55504587] ; [ 10.55504587 166.44495413],0
a6,1,0.259969,1.268922,[25 16] ; [124  53],[28.02293578 12.97706422] ; [120.97706422  56.02293578],0
p5,1,0.270401,1.21471,[ 2 39] ; [ 18 154],[ 3.84976526 37.15023474] ; [ 16.15023474 155.84976526],0
a7,1,0.329081,0.952511,[26 15] ; [126  51],[28.58715596 12.41284404] ; [123.41284404  53.58715596],0
p3,1,0.340535,0.908417,[17 24] ; [88 89],[19.74770642 21.25229358] ; [85.25229358 91.74770642],0
a8,1,0.348727,0.878083,[ 4 32] ; [ 28 132],[ 5.87755102 30.12244898] ; [ 26.12244898 133.87755102],0
v1,1,0.35628,0.850962,[18 20] ; [94 75],[20.56038647 17.43961353] ; [91.43961353 77.56038647],0
p8,1,0.364527,0.822236,[16 25] ; [82 93],[18.60185185 22.39814815] ; [79.39814815 95.60185185],0
n5,1,0.398243,0.713626,[29 12] ; [134  40],[31.08372093  9.91627907] ; [131.91627907  42.08372093],0
s3,1,0.502856,0.448904,[28 12] ; [130  43],[29.6713615 10.3286385] ; [128.3286385  44.6713615],0
n6,1,0.523005,0.407963,[33  8] ; [148  27],[34.35648148  6.64351852] ; [146.64351852  28.35648148],0
p7,1,0.594196,0.283838,[25 16] ; [97 75],[23.48356808 17.51643192] ; [98.51643192 73.48356808],0
u4,1,0.641828,0.216359,[ 1 40] ; [  7 170],[ 1.50458716 39.49541284] ; [  6.49541284 170.50458716],0
r2,1,0.662513,0.190485,[37  3] ; [166  10],[37.59259259  2.40740741] ; [165.40740741  10.59259259],0
v4,1,0.769455,0.085901,[39  1] ; [170   6],[38.7037037  1.2962963] ; [170.2962963   5.7037037],0
r3,1,0.788891,0.07169,[39  2] ; [170   7],[39.30733945  1.69266055] ; [169.69266055   7.30733945],0
b1,1,0.82146,0.050926,[17 24] ; [ 70 107],[16.36238532 24.63761468] ; [ 70.63761468 106.36238532],0
p10,1,0.84285,0.039303,[34  6] ; [150  24],[34.39252336  5.60747664] ; [149.60747664  24.39252336],0
r4,1,0.898548,0.016255,[38  3] ; [163  14],[37.80275229  3.19724771] ; [163.19724771  13.80275229],0
p2,1,0.905394,0.014125,[33  8] ; [141  36],[32.72477064  8.27522936] ; [141.27522936  35.72477064],0
p4,1,0.970586,0.00136,[22 19] ; [95 81],[22.10599078 18.89400922] ; [94.89400922 81.10599078],0
s6,1,0.991495,0.000114,[34  7] ; [145  30],[33.97685185  7.02314815] ; [145.02314815  29.97685185],0
