Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,96.890251,[ 9 37] ; [254  43],[35.27113703 10.72886297] ; [227.72886297  69.27113703],1
r3,1,0.0,66.872957,[23 22] ; [278  19],[39.60526316  5.39473684] ; [261.39473684  35.60526316],1
r2,1,0.0,62.788346,[22 21] ; [277  20],[37.81470588  5.18529412] ; [261.18529412  35.81470588],1
r1,1,0.0,31.809995,[16 30] ; [224  72],[32.28070175 13.71929825] ; [207.71929825  88.28070175],1
p2,1,0.0,25.731186,[15 30] ; [212  84],[29.95601173 15.04398827] ; [197.04398827  98.95601173],1
p11,1,1.2e-05,19.233581,[18 28] ; [213  84],[30.97959184 15.02040816] ; [200.02040816  96.97959184],1
p9,1,3.1e-05,17.380433,[19 25] ; [217  76],[30.81305638 13.18694362] ; [205.18694362  87.81305638],1
a7,1,3.5e-05,17.147499,[19 27] ; [213  83],[31.20467836 14.79532164] ; [200.79532164  95.20467836],1
n6,1,3.9e-05,16.94128,[22 23] ; [231  66],[33.28947368 11.71052632] ; [219.71052632  77.28947368],1
p10,1,5.3e-05,16.326224,[17 28] ; [202  92],[29.07079646 15.92920354] ; [189.92920354 104.07079646],1
s6,1,0.00012,14.794333,[11 35] ; [161 135],[23.13450292 22.86549708] ; [148.86549708 147.13450292],1
u3,1,0.000352,12.772536,[ 3 17] ; [56 39],[10.26086957  9.73913043] ; [48.73913043 46.26086957],1
a6,1,0.0005,12.115285,[20 26] ; [206  90],[30.39766082 15.60233918] ; [195.60233918 100.39766082],1
u2,1,0.002686,9.00906,[ 4 16] ; [53 40],[10.08849558  9.91150442] ; [46.91150442 46.08849558],0
d3,1,0.003433,8.561742,[19 27] ; [188 106],[28.00588235 17.99411765] ; [178.99411765 115.00588235],0
s8,1,0.00429,8.156983,[ 5 41] ; [ 93 204],[13.14285714 32.85714286] ; [ 84.85714286 212.14285714],0
p4,1,0.007128,7.240448,[ 9 37] ; [119 177],[17.21637427 28.78362573] ; [110.78362573 185.21637427],0
v2,1,0.008452,6.935156,[13 32] ; [140 140],[21.18461538 23.81538462] ; [131.81538462 148.18461538],0
d5,1,0.009804,6.670237,[27 19] ; [226  69],[34.12903226 11.87096774] ; [218.87096774  76.12903226],0
s3,1,0.011127,6.444964,[13 32] ; [145 150],[20.91176471 24.08823529] ; [137.08823529 157.91176471],0
s2,1,0.016631,5.734937,[10 36] ; [118 176],[17.31764706 28.68235294] ; [110.68235294 183.31764706],0
p1,1,0.020989,5.327677,[ 5 41] ; [ 10 286],[ 2.01754386 43.98245614] ; [ 12.98245614 283.01754386],0
p7,1,0.022539,5.203716,[11 35] ; [121 170],[18.01780415 27.98219585] ; [113.98219585 177.01780415],0
a1,1,0.024868,5.033057,[ 6 40] ; [ 14 283],[ 2.68221574 43.31778426] ; [ 17.31778426 279.68221574],0
b1,1,0.02835,4.806683,[26 20] ; [117 180],[19.17784257 26.82215743] ; [123.82215743 173.17784257],0
v3,1,0.036236,4.385971,[ 9 37] ; [ 99 182],[15.19266055 30.80733945] ; [ 92.80733945 188.19266055],0
n3,1,0.040708,4.188144,[10 10] ; [71 26],[13.84615385  6.15384615] ; [67.15384615 29.84615385],0
p3,1,0.050837,3.813635,[ 8 38] ; [ 93 202],[13.62463343 32.37536657] ; [ 87.37536657 207.62463343],0
v1,1,0.060938,3.511676,[13 32] ; [125 161],[18.76132931 26.23867069] ; [119.23867069 166.76132931],0
p6,1,0.106953,2.598677,[ 4 40] ; [ 56 238],[ 7.81065089 36.18934911] ; [ 52.18934911 241.81065089],0
d1,1,0.113157,2.509561,[17 29] ; [147 150],[21.9941691 24.0058309] ; [142.0058309 154.9941691],0
a5,1,0.124225,2.363232,[24 22] ; [190 107],[28.69970845 17.30029155] ; [185.30029155 111.69970845],0
s7,1,0.144671,2.127558,[10 32] ; [100 184],[14.17177914 27.82822086] ; [ 95.82822086 188.17177914],0
n2,1,0.157014,2.002754,[10 10] ; [66 33],[12.77310924  7.22689076] ; [63.22689076 35.77310924],0
d4,1,0.16099,1.964907,[30 16] ; [222  74],[33.89473684 12.10526316] ; [218.10526316  77.89473684],0
u1,1,0.188901,1.726171,[ 4 42] ; [ 48 249],[ 6.97376093 39.02623907] ; [ 45.02623907 251.97376093],0
a3,1,0.190241,1.715747,[26 19] ; [201  96],[29.86842105 15.13157895] ; [197.13157895  99.86842105],0
n4,1,0.202174,1.626602,[36 10] ; [205  92],[32.32069971 13.67930029] ; [208.67930029  88.32069971],0
n1,1,0.237261,1.396797,[ 9 11] ; [31 68],[ 6.72268908 13.27731092] ; [33.27731092 65.72268908],0
b5,1,0.282911,1.153051,[25 21] ; [186 111],[28.29737609 17.70262391] ; [182.70262391 114.29737609],0
a2,1,0.347866,0.881225,[ 7 39] ; [ 63 234],[ 9.3877551 36.6122449] ; [ 60.6122449 236.3877551],0
b4,1,0.348763,0.877951,[30 16] ; [172 125],[27.09037901 18.90962099] ; [174.90962099 122.09037901],0
s1,1,0.377521,0.77876,[ 3 43] ; [ 11 283],[ 1.89411765 44.10588235] ; [ 12.10588235 281.89411765],0
a4,1,0.396975,0.717471,[16 29] ; [125 171],[18.60703812 26.39296188] ; [122.39296188 173.60703812],0
d2,1,0.621178,0.244215,[18 27] ; [130 166],[19.53079179 25.46920821] ; [128.46920821 167.53079179],0
p5,1,0.652969,0.202178,[ 2 44] ; [  9 283],[ 1.49704142 44.50295858] ; [  9.50295858 282.49704142],0
n5,1,0.730772,0.118404,[32 14] ; [197  97],[30.98235294 15.01764706] ; [198.01764706  95.98235294],0
a8,1,0.744261,0.106417,[ 6 39] ; [ 32 243],[ 5.34375 39.65625] ; [ 32.65625 242.34375],0
