Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,65.979312,[336  32] ; [43 35],[312.71748879  55.28251121] ; [66.28251121 11.71748879],1
p9,1,1e-06,24.205002,[336  33] ; [56 23],[322.875  46.125] ; [69.125  9.875],1
p8,1,7e-06,20.087561,[248 120] ; [32 47],[230.51454139 137.48545861] ; [49.48545861 29.51454139],1
p7,1,7.9e-05,15.580589,[277  89] ; [43 37],[262.60089686 103.39910314] ; [57.39910314 22.60089686],1
n4,1,0.000145,14.434965,[316  55] ; [53 26],[304.22  66.78] ; [64.78 14.22],1
v4,1,0.000265,13.304823,[357  11] ; [70 10],[350.75  17.25] ; [76.25  3.75],1
n5,1,0.000942,10.93758,[304  65] ; [52 27],[293.22321429  75.77678571] ; [62.77678571 16.22321429],1
p2,1,0.002196,9.377718,[337  31] ; [64 16],[329.39285714  38.60714286] ; [71.60714286  8.39285714],0
a3,1,0.003209,8.684775,[277  94] ; [46 33],[266.29555556 104.70444444] ; [56.70444444 22.29555556],0
b1,1,0.006152,7.505227,[138 233] ; [43 37],[148.89356984 222.10643016] ; [32.10643016 47.89356984],0
a5,1,0.008678,6.887961,[296  75] ; [53 27],[287.09312639  83.90687361] ; [61.90687361 18.09312639],0
n6,1,0.011178,6.436761,[325  44] ; [61 18],[317.93303571  51.06696429] ; [68.06696429 10.93303571],0
d5,1,0.016683,5.729451,[314  56] ; [59 21],[306.68888889  63.31111111] ; [66.31111111 13.68888889],0
r4,1,0.018566,5.541939,[342  29] ; [67 13],[336.45011086  34.54988914] ; [72.54988914  7.45011086],0
s1,1,0.019876,5.422782,[  9 358] ; [ 6 72],[ 12.37078652 354.62921348] ; [ 2.62921348 75.37078652],0
b3,1,0.022874,5.178042,[109 143] ; [11 33],[102.16216216 149.83783784] ; [17.83783784 26.16216216],0
b2,1,0.022874,5.178042,[109 143] ; [11 33],[102.16216216 149.83783784] ; [17.83783784 26.16216216],0
d1,1,0.03119,4.642487,[238 133] ; [41 39],[229.50997783 141.49002217] ; [49.49002217 30.50997783],0
v1,1,0.032323,4.581289,[224 135] ; [39 40],[215.56392694 143.43607306] ; [47.43607306 31.56392694],0
n3,1,0.037153,4.343365,[49 14] ; [12 10],[45.21176471 17.78823529] ; [15.78823529  6.21176471],0
d4,1,0.038807,4.269312,[313  57] ; [60 20],[306.68888889  63.31111111] ; [66.31111111 13.68888889],0
r3,1,0.039319,4.247034,[357  13] ; [73  7],[353.55555556  16.44444444] ; [76.44444444  3.55555556],0
p3,1,0.04761,3.923707,[251 119] ; [45 35],[243.37777778 126.62222222] ; [52.62222222 27.37777778],0
b5,1,0.049305,3.864922,[206 165] ; [54 26],[213.88026608 157.11973392] ; [46.11973392 33.88026608],0
v2,1,0.054156,3.707893,[225 132] ; [40 38],[217.48275862 139.51724138] ; [47.51724138 30.48275862],0
a6,1,0.061337,3.500853,[258 113] ; [47 33],[250.89800443 120.10199557] ; [54.10199557 25.89800443],0
r2,1,0.074568,3.179481,[345  21] ; [71  9],[341.38116592  24.61883408] ; [74.61883408  5.38116592],0
u2,1,0.083306,2.9992,[61 32] ; [16 17],[56.83333333 36.16666667] ; [20.16666667 12.83333333],0
p12,1,0.100178,2.702703,[ 41 329] ; [ 4 76],[ 37. 333.] ; [ 8. 72.],0
p6,1,0.122236,2.388428,[172 194] ; [30 50],[165.76681614 200.23318386] ; [36.23318386 43.76681614],0
a7,1,0.159173,1.982064,[278  92] ; [54 26],[272.97777778  97.02222222] ; [59.02222222 20.97777778],0
b4,1,0.164165,1.935436,[217 154] ; [40 40],[211.41241685 159.58758315] ; [45.58758315 34.41241685],0
n2,1,0.169212,1.889911,[47 16] ; [13  9],[44.47058824 18.52941176] ; [15.52941176  6.47058824],0
s2,1,0.176052,1.830639,[185 182] ; [47 33],[190.4787472 176.5212528] ; [41.5212528 38.4787472],0
s6,1,0.239738,1.382132,[248 117] ; [59 20],[252.37612613 112.62387387] ; [54.62387387 24.37612613],0
r1,1,0.251584,1.314486,[301  68] ; [60 19],[297.34151786  71.65848214] ; [63.65848214 15.34151786],0
p5,1,0.25346,1.30413,[ 66 301] ; [10 69],[ 62.53811659 304.46188341] ; [13.46188341 65.53811659],0
u4,1,0.281046,1.162025,[ 10 361] ; [ 4 76],[ 11.51662971 359.48337029] ; [ 2.48337029 77.51662971],0
v3,1,0.296645,1.089215,[161 193] ; [30 47],[156.87703016 197.12296984] ; [34.12296984 42.87703016],0
d2,1,0.315769,1.006391,[194 176] ; [37 43],[189.93333333 180.06666667] ; [41.06666667 38.93333333],0
s8,1,0.332248,0.940116,[183 185] ; [35 45],[179.07142857 188.92857143] ; [38.92857143 41.07142857],0
a8,1,0.337777,0.91885,[ 54 280] ; [ 8 61],[ 51.38461538 282.61538462] ; [10.61538462 58.38461538],0
a4,1,0.351314,0.868706,[178 191] ; [34 46],[174.22717149 194.77282851] ; [37.77282851 42.22717149],0
a1,1,0.439621,0.597271,[ 22 349] ; [ 3 77],[ 20.5654102 350.4345898] ; [ 4.4345898 75.5654102],0
s3,1,0.480919,0.49678,[197 165] ; [47 33],[199.83710407 162.16289593] ; [44.16289593 35.83710407],0
u3,1,0.516873,0.420128,[55 38] ; [21 11],[56.544 36.456] ; [19.456 12.544],0
s7,1,0.571042,0.320942,[186 164] ; [42 32],[188.20754717 161.79245283] ; [39.79245283 34.20754717],0
n1,1,0.635795,0.224284,[25 38] ; [10 12],[25.94117647 37.05882353] ; [ 9.05882353 12.94117647],0
p1,1,0.649833,0.20611,[ 39 330] ; [ 7 72],[ 37.88839286 331.11160714] ; [ 8.11160714 70.88839286],0
s5,1,0.657183,0.196964,[122 239] ; [24 53],[120.33333333 240.66666667] ; [25.66666667 51.33333333],0
u1,1,0.815159,0.054651,[ 70 301] ; [16 64],[ 70.74501109 300.25498891] ; [15.25498891 64.74501109],0
d3,1,0.847126,0.037167,[265 106] ; [58 22],[265.70509978 105.29490022] ; [57.29490022 22.70509978],0
a2,1,0.989935,0.000159,[ 93 278] ; [20 60],[ 92.9556541 278.0443459] ; [20.0443459 59.9556541],0
