Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.161985,[ 6 24] ; [46 16],[16.95652174 13.04347826] ; [35.04347826 26.95652174],1
a3,1,6.3e-05,15.996541,[11 19] ; [49 13],[19.56521739 10.43478261] ; [40.43478261 21.56521739],1
a4,1,8.1e-05,15.528591,[ 6 24] ; [39 22],[14.83516484 15.16483516] ; [30.16483516 30.83516484],1
d4,1,0.00018,14.029581,[16 14] ; [54  7],[23.07692308  6.92307692] ; [46.92307692 14.07692308],1
s8,1,0.000329,12.898197,[11 19] ; [46 15],[18.79120879 11.20879121] ; [38.20879121 22.79120879],1
d5,1,0.000797,11.248238,[19 11] ; [56  5],[24.72527473  5.27472527] ; [50.27472527 10.72527473],1
d2,1,0.001109,10.636387,[ 9 21] ; [41 21],[16.30434783 13.69565217] ; [33.69565217 28.30434783],0
n6,1,0.0021,9.459945,[20 10] ; [57  5],[25.10869565  4.89130435] ; [51.89130435 10.10869565],0
p3,1,0.007106,7.245957,[12 18] ; [43 19],[17.93478261 12.06521739] ; [37.06521739 24.93478261],0
p9,1,0.017934,5.60255,[22  8] ; [56  5],[25.71428571  4.28571429] ; [52.28571429  8.71428571],0
b3,1,0.021948,5.249926,[ 5 14] ; [27 20],[9.21212121 9.78787879] ; [22.78787879 24.21212121],0
b2,1,0.021948,5.249926,[ 5 14] ; [27 20],[9.21212121 9.78787879] ; [22.78787879 24.21212121],0
p10,1,0.025347,5.0,[20 10] ; [52  8],[24.  6.] ; [48. 12.],0
s7,1,0.038701,4.273941,[14 13] ; [46 16],[18.20224719  8.79775281] ; [41.79775281 20.20224719],0
s2,1,0.053934,3.714727,[13 17] ; [40 22],[17.2826087 12.7173913] ; [35.7173913 26.2826087],0
r2,1,0.069234,3.301078,[26  4] ; [59  2],[28.02197802  1.97802198] ; [56.97802198  4.02197802],0
v3,1,0.082198,3.020902,[ 9 21] ; [30 31],[12.85714286 17.14285714] ; [26.14285714 34.85714286],0
n3,1,0.086828,2.932224,[5 6] ; [11  3],[7.04 3.96] ; [8.96 5.04],0
s6,1,0.092119,2.836957,[20  9] ; [49  9],[23.  6.] ; [46. 12.],0
r1,1,0.154521,2.027042,[19 11] ; [48 14],[21.84782609  8.15217391] ; [45.15217391 16.84782609],0
