Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,71.483157,[81 13] ; [ 4 37],[59.18518519 34.81481481] ; [25.81481481 15.18518519],1
v4,1,0.0,33.667433,[86  8] ; [19 22],[73.11111111 20.88888889] ; [31.88888889  9.11111111],1
p2,1,1e-06,24.583848,[67 27] ; [10 30],[54.01492537 39.98507463] ; [22.98507463 17.01492537],1
s6,1,2.4e-05,17.881423,[52 40] ; [ 7 34],[40.81203008 51.18796992] ; [18.18796992 22.81203008],1
b5,1,5e-05,16.464077,[69 25] ; [15 26],[58.48888889 35.51111111] ; [25.51111111 15.48888889],1
n6,1,6e-05,16.109867,[68 25] ; [15 26],[57.60447761 35.39552239] ; [25.39552239 15.60447761],1
r2,1,0.000291,13.129043,[84  9] ; [25 14],[76.79545455 16.20454545] ; [32.20454545  6.79545455],1
p4,1,0.000893,11.036931,[44 49] ; [ 7 34],[35.39552239 57.60447761] ; [15.60447761 25.39552239],1
s2,1,0.001151,10.566907,[41 53] ; [ 6 35],[32.72592593 61.27407407] ; [14.27407407 26.72592593],0
r1,1,0.001403,10.202045,[63 29] ; [16 25],[54.64661654 37.35338346] ; [24.35338346 16.64661654],0
p7,1,0.001778,9.765422,[46 48] ; [ 8 32],[37.88059701 56.11940299] ; [16.11940299 23.88059701],0
s5,1,0.004515,8.064257,[27 62] ; [ 3 37],[20.69767442 68.30232558] ; [ 9.30232558 30.69767442],0
d5,1,0.004672,8.002053,[68 24] ; [20 21],[60.87218045 31.12781955] ; [27.12781955 13.87218045],0
p6,1,0.005954,7.564051,[24 70] ; [ 2 38],[18.23880597 75.76119403] ; [ 7.76119403 32.23880597],0
a7,1,0.00638,7.439679,[66 27] ; [19 22],[58.99253731 34.00746269] ; [26.00746269 14.99253731],0
a1,1,0.01015,6.608357,[ 5 89] ; [ 8 33],[ 9.05185185 84.94814815] ; [ 3.94814815 37.05185185],0
p9,1,0.010185,6.602292,[55 36] ; [14 25],[48.3 42.7] ; [20.7 18.3],0
s3,1,0.011602,6.370657,[49 45] ; [11 28],[42.40601504 51.59398496] ; [17.59398496 21.40601504],0
s7,1,0.014549,5.970262,[36 52] ; [ 7 31],[30.03174603 57.96825397] ; [12.96825397 25.03174603],0
d4,1,0.018949,5.506196,[69 24] ; [22 19],[63.15671642 29.84328358] ; [27.84328358 13.15671642],0
