Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-06,20.758488,[74  9] ; [10 12],[66.4 16.6] ; [17.6  4.4],1
p9,1,0.000579,11.843691,[74 10] ; [13 10],[68.29906542 15.70093458] ; [18.70093458  4.29906542],1
b4,1,0.013382,6.117868,[54 31] ; [ 8 15],[48.7962963 36.2037037] ; [13.2037037  9.7962963],0
v4,1,0.017552,5.640286,[81  3] ; [19  4],[78.5046729  5.4953271] ; [21.4953271  1.5046729],0
a6,1,0.023977,5.096324,[58 26] ; [10 13],[53.38317757 30.61682243] ; [14.61682243  8.38317757],0
p8,1,0.064604,3.41507,[51 33] ; [ 9 14],[47.10280374 36.89719626] ; [12.89719626 10.10280374],0
r3,1,0.07645,3.138805,[80  5] ; [19  4],[77.91666667  7.08333333] ; [21.08333333  1.91666667],0
s4,1,0.0786,3.093606,[22 63] ; [ 2 21],[18.88888889 66.11111111] ; [ 5.11111111 17.88888889],0
s8,1,0.087574,2.918407,[39 46] ; [ 6 17],[35.41666667 49.58333333] ; [ 9.58333333 13.41666667],0
b3,1,0.110256,2.550545,[18 28] ; [ 2 11],[15.59322034 30.40677966] ; [4.40677966 8.59322034],0
b2,1,0.110256,2.550545,[18 28] ; [ 2 11],[15.59322034 30.40677966] ; [4.40677966 8.59322034],0
a8,1,0.144958,2.124524,[ 9 70] ; [ 5 16],[11.06 67.94] ; [ 2.94 18.06],0
r4,1,0.157823,1.99496,[76  9] ; [18  5],[73.98148148 11.01851852] ; [20.01851852  2.98148148],0
v1,1,0.166448,1.914643,[37 46] ; [14  9],[39.93396226 43.06603774] ; [11.06603774 11.93396226],0
a3,1,0.180958,1.789741,[44 40] ; [ 8 14],[41.20754717 42.79245283] ; [10.79245283 11.20754717],0
p3,1,0.202577,1.623695,[38 46] ; [ 7 16],[35.3271028 48.6728972] ; [ 9.6728972 13.3271028],0
b1,1,0.208434,1.582272,[32 53] ; [12 11],[34.62962963 50.37037037] ; [ 9.37037037 13.62962963],0
p2,1,0.234065,1.415985,[65 19] ; [15  8],[62.80373832 21.19626168] ; [17.19626168  5.80373832],0
a5,1,0.28806,1.128667,[47 37] ; [10 13],[44.74766355 39.25233645] ; [12.25233645 10.74766355],0
s5,1,0.317548,0.999017,[34 47] ; [ 7 16],[31.93269231 49.06730769] ; [ 9.06730769 13.93269231],0
n1,1,0.323727,0.97383,[ 3 11] ; [4 6],[4.08333333 9.91666667] ; [2.91666667 7.08333333],0
n2,1,0.332474,0.939239,[9 5] ; [9 2],[10.08  3.92] ; [7.92 3.08],0
n6,1,0.364246,0.823202,[70 15] ; [17  6],[68.47222222 16.52777778] ; [18.52777778  4.47222222],0
n3,1,0.382677,0.762085,[10  4] ; [6 5],[8.96 5.04] ; [7.04 3.96],0
p6,1,0.404159,0.695917,[29 53] ; [ 6 17],[27.33333333 54.66666667] ; [ 7.66666667 15.33333333],0
a4,1,0.433525,0.613363,[13 70] ; [ 2 20],[11.85714286 71.14285714] ; [ 3.14285714 18.85714286],0
u2,1,0.434689,0.610264,[27 14] ; [7 6],[25.81481481 15.18518519] ; [8.18518519 4.81481481],0
a2,1,0.435665,0.607673,[ 8 77] ; [ 1 22],[ 7.08333333 77.91666667] ; [ 1.91666667 21.08333333],0
r1,1,0.46758,0.52769,[62 23] ; [15  8],[60.60185185 24.39814815] ; [16.39814815  6.60185185],0
s7,1,0.474718,0.510972,[45 35] ; [11 12],[43.49514563 36.50485437] ; [12.50485437 10.49514563],0
p5,1,0.476807,0.506157,[13 71] ; [ 5 18],[14.13084112 69.86915888] ; [ 3.86915888 19.13084112],0
s1,1,0.485772,0.485877,[ 4 78] ; [ 2 21],[ 4.68571429 77.31428571] ; [ 1.31428571 21.68571429],0
s3,1,0.521993,0.409953,[58 24] ; [14  8],[56.76923077 25.23076923] ; [15.23076923  6.76923077],0
p1,1,0.599022,0.276474,[11 73] ; [ 4 19],[11.77570093 72.22429907] ; [ 3.22429907 19.77570093],0
n4,1,0.599991,0.27501,[58 27] ; [17  6],[59.02777778 25.97222222] ; [15.97222222  7.02777778],0
r2,1,0.665637,0.186748,[74 10] ; [21  2],[74.57943925  9.42056075] ; [20.42056075  2.57943925],0
u3,1,0.692396,0.156504,[23 18] ; [7 7],[22.36363636 18.63636364] ; [7.63636364 6.36363636],0
p7,1,0.700009,0.148462,[50 32] ; [13 10],[49.2 32.8] ; [13.8  9.2],0
b5,1,0.705062,0.14326,[48 37] ; [14  9],[48.7962963 36.2037037] ; [13.2037037  9.7962963],0
v3,1,0.710752,0.137527,[29 54] ; [ 9 14],[29.75471698 53.24528302] ; [ 8.24528302 14.75471698],0
s2,1,0.747875,0.103326,[50 33] ; [13 10],[49.33018868 33.66981132] ; [13.66981132  9.33018868],0
a7,1,0.76295,0.090968,[54 30] ; [14  9],[53.38317757 30.61682243] ; [14.61682243  8.38317757],0
p4,1,0.842286,0.039589,[44 40] ; [11 11],[43.58490566 40.41509434] ; [11.41509434 10.58490566],0
d4,1,0.880484,0.022607,[46 38] ; [13 10],[46.31775701 37.68224299] ; [12.68224299 10.31775701],0
d3,1,0.880484,0.022607,[38 46] ; [10 13],[37.68224299 46.31775701] ; [10.31775701 12.68224299],0
n5,1,0.892059,0.018414,[64 21] ; [17  6],[63.75 21.25] ; [17.25  5.75],0
v2,1,0.897061,0.016738,[36 44] ; [10 13],[35.72815534 44.27184466] ; [10.27184466 12.72815534],0
d2,1,0.949913,0.003946,[19 66] ; [ 5 18],[18.88888889 66.11111111] ; [ 5.11111111 17.88888889],0
