Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000108,14.985,[21 16] ; [15 59],[12. 25.] ; [24. 50.],1
p8,1,0.004433,8.097493,[25 12] ; [31 48],[17.86206897 19.13793103] ; [38.13793103 40.86206897],0
s6,1,0.008614,6.901078,[28  8] ; [41 38],[21.6 14.4] ; [47.4 31.6],0
n4,1,0.008936,6.835551,[33  4] ; [53 27],[27.1965812  9.8034188] ; [58.8034188 21.1965812],0
n6,1,0.008936,6.835551,[33  4] ; [53 27],[27.1965812  9.8034188] ; [58.8034188 21.1965812],0
d1,1,0.012704,6.209892,[23 14] ; [30 50],[16.76068376 20.23931624] ; [36.23931624 43.76068376],0
p10,1,0.016257,5.774867,[30  6] ; [48 31],[24.4173913 11.5826087] ; [53.5826087 25.4173913],0
p11,1,0.016322,5.767866,[32  5] ; [52 28],[26.56410256 10.43589744] ; [57.43589744 22.56410256],0
p5,1,0.017597,5.635822,[ 7 30] ; [ 4 75],[ 3.50862069 33.49137931] ; [ 7.49137931 71.50862069],0
p6,1,0.018299,5.567252,[15 21] ; [16 62],[ 9.78947368 26.21052632] ; [21.21052632 56.78947368],0
a7,1,0.020969,5.329379,[29  8] ; [45 35],[23.4017094 13.5982906] ; [50.5982906 29.4017094],0
p9,1,0.037447,4.329988,[31  6] ; [52 28],[26.24786325 10.75213675] ; [56.75213675 23.24786325],0
d4,1,0.060782,3.515925,[31  6] ; [53 26],[26.79310345 10.20689655] ; [57.20689655 21.79310345],0
n5,1,0.070745,3.265656,[30  7] ; [51 28],[25.8362069 11.1637931] ; [55.1637931 23.8362069],0
r4,1,0.104844,2.630267,[34  3] ; [64 16],[30.99145299  6.00854701] ; [67.00854701 12.99145299],0
a6,1,0.113581,2.503677,[29  8] ; [51 29],[25.2991453 11.7008547] ; [54.7008547 25.2991453],0
b2,1,0.125288,2.349935,[12 13] ; [13 31],[ 9.05797101 15.94202899] ; [15.94202899 28.05797101],0
b3,1,0.125288,2.349935,[12 13] ; [13 31],[ 9.05797101 15.94202899] ; [15.94202899 28.05797101],0
a3,1,0.125403,2.34851,[27 10] ; [46 33],[23.28448276 13.71551724] ; [49.71551724 29.28448276],0
d3,1,0.137859,2.2017,[27 10] ; [47 33],[23.4017094 13.5982906] ; [50.5982906 29.4017094],0
r1,1,0.14934,2.078974,[29  7] ; [54 26],[25.75862069 10.24137931] ; [57.24137931 22.75862069],0
r2,1,0.173615,1.851452,[35  1] ; [71  8],[33.1826087  2.8173913] ; [72.8173913  6.1826087],0
p12,1,0.180778,1.791219,[ 2 34] ; [ 1 78],[ 0.93913043 35.06086957] ; [ 2.06086957 76.93913043],0
d5,1,0.182763,1.775011,[29  8] ; [53 27],[25.93162393 11.06837607] ; [56.06837607 23.93162393],0
b5,1,0.243715,1.358977,[17 20] ; [46 34],[19.92307692 17.07692308] ; [43.07692308 36.92307692],0
d2,1,0.249564,1.325741,[19 18] ; [32 48],[16.12820513 20.87179487] ; [34.87179487 45.12820513],0
v2,1,0.289502,1.121935,[19 17] ; [32 44],[16.39285714 19.60714286] ; [34.60714286 41.39285714],0
u1,1,0.300026,1.074077,[ 5 32] ; [ 6 74],[ 3.47863248 33.52136752] ; [ 7.52136752 72.47863248],0
n2,1,0.301071,1.069444,[10  2] ; [14  7],[8.72727273 3.27272727] ; [15.27272727  5.72727273],0
a2,1,0.359578,0.839368,[ 7 30] ; [10 70],[ 5.37606838 31.62393162] ; [11.62393162 68.37606838],0
u2,1,0.376746,0.781293,[6 4] ; [15 19],[4.77272727 5.22727273] ; [16.22727273 17.77272727],0
s4,1,0.381932,0.764472,[ 3 34] ; [11 69],[ 4.42735043 32.57264957] ; [ 9.57264957 70.42735043],0
p1,1,0.389299,0.741132,[ 4 33] ; [ 5 75],[ 2.84615385 34.15384615] ; [ 6.15384615 73.84615385],0
b4,1,0.392025,0.732653,[21 16] ; [52 28],[23.08547009 13.91452991] ; [49.91452991 30.08547009],0
a8,1,0.392912,0.72991,[ 5 29] ; [ 7 69],[ 3.70909091 30.29090909] ; [ 8.29090909 67.70909091],0
p3,1,0.48677,0.483657,[18 19] ; [33 46],[16.26724138 20.73275862] ; [34.73275862 44.26724138],0
p2,1,0.524062,0.405892,[31  6] ; [63 17],[29.72649573  7.27350427] ; [64.27350427 15.72649573],0
a1,1,0.567798,0.32638,[ 1 36] ; [ 4 76],[ 1.58119658 35.41880342] ; [ 3.41880342 76.58119658],0
u3,1,0.577845,0.309731,[6 4] ; [17 17],[5.22727273 4.77272727] ; [17.77272727 16.22727273],0
s1,1,0.668128,0.1838,[ 2 34] ; [ 3 76],[ 1.56521739 34.43478261] ; [ 3.43478261 75.56521739],0
r3,1,0.676366,0.174245,[35  2] ; [74  6],[34.47008547  2.52991453] ; [74.52991453  5.47008547],0
p7,1,0.690805,0.158215,[24 12] ; [49 29],[23.05263158 12.94736842] ; [49.94736842 28.05263158],0
a5,1,0.707396,0.140892,[24 13] ; [49 31],[23.08547009 13.91452991] ; [49.91452991 30.08547009],0
n1,1,0.722416,0.12619,[4 7] ; [ 9 12],[4.46875 6.53125] ; [ 8.53125 12.46875],0
v4,1,0.758161,0.0948,[33  4] ; [68 10],[32.49565217  4.50434783] ; [68.50434783  9.49565217],0
s5,1,0.787639,0.072564,[ 5 29] ; [10 68],[ 4.55357143 29.44642857] ; [10.44642857 67.55357143],0
b1,1,0.823809,0.049572,[14 23] ; [32 48],[14.54700855 22.45299145] ; [31.45299145 48.54700855],0
