Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000726,11.422584,[141   5] ; [55 11],[134.98113208  11.01886792] ; [61.01886792  4.98113208],1
v3,1,0.001076,10.692451,[74 67] ; [19 48],[63.04326923 77.95673077] ; [29.95673077 37.04326923],0
v4,1,0.002318,9.278986,[141   5] ; [57 10],[135.71830986  10.28169014] ; [62.28169014  4.71830986],0
d3,1,0.004781,7.960637,[107  39] ; [36 31],[98.01877934 47.98122066] ; [44.98122066 22.01877934],0
d1,1,0.005162,7.821803,[93 53] ; [29 38],[83.62441315 62.37558685] ; [38.37558685 28.62441315],0
p11,1,0.006924,7.292667,[122  24] ; [45 22],[114.46948357  31.53051643] ; [52.53051643 14.46948357],0
a4,1,0.010896,6.482234,[77 68] ; [23 44],[68.39622642 76.60377358] ; [31.60377358 35.39622642],0
a2,1,0.02454,5.056074,[ 40 106] ; [ 9 58],[ 33.58685446 112.41314554] ; [15.41314554 51.58685446],0
d5,1,0.025422,4.994923,[127  19] ; [50 17],[121.32394366  24.67605634] ; [55.67605634 11.32394366],0
p6,1,0.03237,4.578807,[63 79] ; [19 47],[55.98076923 86.01923077] ; [26.01923077 39.98076923],0
a6,1,0.035706,4.411108,[108  38] ; [40 27],[101.44600939  44.55399061] ; [46.55399061 20.44600939],0
s4,1,0.044809,4.025806,[ 11 132] ; [11 54],[ 15.125 127.875] ; [ 6.875 58.125],0
r4,1,0.04561,3.995928,[132  14] ; [54 13],[127.49295775  18.50704225] ; [58.50704225  8.49295775],0
d2,1,0.053673,3.722847,[73 73] ; [24 43],[66.48826291 79.51173709] ; [30.51173709 36.48826291],0
p3,1,0.084145,2.982973,[86 58] ; [31 35],[80.22857143 63.77142857] ; [36.77142857 29.22857143],0
p4,1,0.088226,2.906454,[97 47] ; [37 30],[91.45023697 52.54976303] ; [42.54976303 24.45023697],0
p5,1,0.100968,2.690179,[ 20 125] ; [ 4 62],[ 16.492891 128.507109] ; [ 7.507109 58.492891],0
p2,1,0.118606,2.435627,[129  15] ; [54 12],[125.48571429  18.51428571] ; [57.51428571  8.48571429],0
d4,1,0.118804,2.433015,[124  22] ; [51 16],[119.95305164  26.04694836] ; [55.04694836 11.95305164],0
u3,1,0.122444,2.385772,[20 20] ; [18  8],[23.03030303 16.96969697] ; [14.96969697 11.03030303],0
a3,1,0.125377,2.348828,[106  40] ; [41 25],[101.23584906  44.76415094] ; [45.76415094 20.23584906],0
s7,1,0.145446,2.119377,[48 88] ; [16 48],[43.52 92.48] ; [20.48 43.52],0
p10,1,0.175661,1.833956,[120  23] ; [51 16],[116.44285714  26.55714286] ; [54.55714286 12.44285714],0
r1,1,0.178704,1.808366,[122  24] ; [50 16],[118.45283019  27.54716981] ; [53.54716981 12.45283019],0
a5,1,0.254587,1.297956,[115  31] ; [48 19],[111.72769953  34.27230047] ; [51.27230047 15.72769953],0
s8,1,0.255998,1.290273,[46 98] ; [16 50],[ 42.51428571 101.48571429] ; [19.48571429 46.51428571],0
n5,1,0.265776,1.238418,[114  31] ; [48 19],[110.80188679  34.19811321] ; [51.19811321 15.80188679],0
p8,1,0.369664,0.804794,[82 59] ; [34 32],[79.01449275 61.98550725] ; [36.98550725 29.01449275],0
u1,1,0.386929,0.74857,[ 29 117] ; [10 57],[ 26.73239437 119.26760563] ; [12.26760563 54.73239437],0
p7,1,0.393393,0.728429,[96 48] ; [40 26],[93.25714286 50.74285714] ; [42.74285714 23.25714286],0
n6,1,0.401416,0.70408,[122  24] ; [52 14],[119.83018868  26.16981132] ; [54.16981132 11.83018868],0
s1,1,0.410639,0.676949,[  2 144] ; [ 2 64],[  2.75471698 143.24528302] ; [ 1.24528302 64.75471698],0
b1,1,0.443475,0.587275,[53 93] ; [28 39],[55.52112676 90.47887324] ; [25.47887324 41.52112676],0
u4,1,0.570391,0.322028,[  1 145] ; [ 1 66],[  1.37089202 144.62910798] ; [ 0.62910798 66.37089202],0
n4,1,0.57795,0.30956,[114  32] ; [50 17],[112.41314554  33.58685446] ; [51.58685446 15.41314554],0
p1,1,0.588205,0.293157,[ 10 136] ; [ 6 61],[ 10.96713615 135.03286385] ; [ 5.03286385 61.96713615],0
a7,1,0.588256,0.293077,[106  40] ; [51 16],[107.61502347  38.38497653] ; [49.38497653 17.61502347],0
s2,1,0.6042,0.268707,[ 26 118] ; [10 56],[ 24.68571429 119.31428571] ; [11.31428571 54.68571429],0
b5,1,0.676408,0.174198,[96 50] ; [46 21],[97.33333333 48.66666667] ; [44.66666667 22.33333333],0
n1,1,0.697078,0.151529,[10 17] ; [4 9],[ 9.45 17.55] ; [4.55 8.45],0
p9,1,0.702743,0.145634,[125  19] ; [56 10],[124.11428571  19.88571429] ; [56.88571429  9.11428571],0
a1,1,0.707429,0.140858,[  5 141] ; [ 3 64],[  5.48356808 140.51643192] ; [ 2.51643192 64.48356808],0
n2,1,0.747972,0.103243,[20  7] ; [9 4],[19.575  7.425] ; [9.425 3.575],0
b4,1,0.765866,0.088677,[84 62] ; [40 27],[84.99530516 61.00469484] ; [39.00469484 27.99530516],0
s6,1,0.781423,0.076987,[75 69] ; [32 32],[74.07692308 69.92307692] ; [32.92307692 31.07692308],0
a8,1,0.79719,0.066042,[ 16 107] ; [ 7 53],[ 15.45901639 107.54098361] ; [ 7.54098361 52.45901639],0
u2,1,0.83932,0.041113,[20 19] ; [14 12],[20.4 18.6] ; [13.6 12.4],0
r2,1,0.880337,0.022663,[132  12] ; [61  6],[131.71563981  12.28436019] ; [61.28436019  5.71563981],0
s5,1,0.892856,0.018142,[ 33 110] ; [14 49],[ 32.62621359 110.37378641] ; [14.37378641 48.62621359],0
p12,1,0.894653,0.017535,[  7 136] ; [ 3 64],[  6.80952381 136.19047619] ; [ 3.19047619 63.80952381],0
b2,1,0.915735,0.011195,[38 50] ; [19 26],[37.71428571 50.28571429] ; [19.28571429 25.71428571],0
b3,1,0.915735,0.011195,[38 50] ; [19 26],[37.71428571 50.28571429] ; [19.28571429 25.71428571],0
n3,1,0.951264,0.003736,[20  7] ; [9 3],[20.07692308  6.92307692] ; [8.92307692 3.07692308],0
