Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5e-06,20.997416,[177  62] ; [12 22],[165.46153846  73.53846154] ; [23.53846154 10.46153846],1
p8,1,6e-06,20.570735,[152  92] ; [ 8 28],[139.42857143 104.57142857] ; [20.57142857 15.42857143],1
p4,1,0.000272,13.25517,[177  69] ; [15 21],[167.4893617  78.5106383] ; [24.5106383 11.4893617],1
p3,1,0.01233,6.262835,[144 103] ; [13 23],[137.02826855 109.97173145] ; [19.97173145 16.02826855],0
p6,1,0.020656,5.355611,[118 126] ; [10 26],[111.54285714 132.45714286] ; [16.45714286 19.54285714],0
b3,1,0.02612,4.948025,[69 93] ; [ 6 23],[63.61256545 98.38743455] ; [11.38743455 17.61256545],0
b2,1,0.02612,4.948025,[69 93] ; [ 6 23],[63.61256545 98.38743455] ; [11.38743455 17.61256545],0
p11,1,0.034642,4.462747,[202  45] ; [24 12],[197.25088339  49.74911661] ; [28.74911661  7.25088339],0
b1,1,0.043139,4.089939,[ 81 166] ; [18 18],[ 86.40636042 160.59363958] ; [12.59363958 23.40636042],0
a3,1,0.067875,3.333667,[197  49] ; [24 12],[192.78723404  53.21276596] ; [28.21276596  7.78723404],0
v1,1,0.071123,3.256912,[151  88] ; [16 18],[146.2014652  92.7985348] ; [20.7985348 13.2014652],0
n5,1,0.098591,2.728191,[188  57] ; [32  4],[191.81494662  53.18505338] ; [28.18505338  7.81494662],0
u4,1,0.139557,2.182839,[  8 239] ; [ 3 33],[  9.60070671 237.39929329] ; [ 1.39929329 34.60070671],0
u3,1,0.162059,1.954909,[39 11] ; [7 5],[37.09677419 12.90322581] ; [8.90322581 3.09677419],0
n6,1,0.179375,1.802791,[212  33] ; [34  2],[214.48398577  30.51601423] ; [31.51601423  4.48398577],0
s7,1,0.207842,1.586398,[175  61] ; [27  5],[177.88059701  58.11940299] ; [24.11940299  7.88059701],0
p9,1,0.218868,1.511778,[226  19] ; [31  5],[224.0747331  20.9252669] ; [32.9252669  3.0747331],0
r1,1,0.270381,1.214815,[213  31] ; [29  7],[210.88571429  33.11428571] ; [31.11428571  4.88571429],0
v4,1,0.292823,1.106596,[240   6] ; [34  2],[239.0212766   6.9787234] ; [34.9787234  1.0212766],0
b4,1,0.293454,1.103705,[149  98] ; [25 11],[151.86572438  95.13427562] ; [22.13427562 13.86572438],0
b5,1,0.303225,1.059958,[164  83] ; [27  9],[166.70318021  80.29681979] ; [24.29681979 11.70318021],0
a1,1,0.315893,1.005877,[ 11 236] ; [ 3 33],[ 12.21908127 234.78091873] ; [ 1.78091873 34.21908127],0
a8,1,0.322816,0.977502,[ 42 176] ; [ 4 29],[ 39.95219124 178.04780876] ; [ 6.04780876 26.95219124],0
p10,1,0.335399,0.927938,[216  27] ; [30  6],[214.25806452  28.74193548] ; [31.74193548  4.25806452],0
a4,1,0.358458,0.843289,[117 130] ; [20 16],[119.57243816 127.42756184] ; [17.42756184 18.57243816],0
d1,1,0.363174,0.826886,[174  73] ; [28  8],[176.30388693  70.69611307] ; [25.69611307 10.30388693],0
d4,1,0.366433,0.815726,[213  34] ; [33  3],[214.70671378  32.29328622] ; [31.29328622  4.70671378],0
r4,1,0.384607,0.755924,[235  12] ; [33  3],[233.90812721  13.09187279] ; [34.09187279  1.90812721],0
d5,1,0.397736,0.715159,[214  33] ; [33  3],[215.5795053  31.4204947] ; [31.4204947  4.5795053],0
s2,1,0.400118,0.707972,[172  71] ; [23 13],[169.83870968  73.16129032] ; [25.16129032 10.83870968],0
d2,1,0.413557,0.66855,[140 107] ; [23 13],[142.26501767 104.73498233] ; [20.73498233 15.26501767],0
p5,1,0.465706,0.532147,[ 41 205] ; [ 4 30],[ 39.53571429 206.46428571] ; [ 5.46428571 28.53571429],0
r3,1,0.48183,0.494719,[239   8] ; [34  2],[238.27208481   8.72791519] ; [34.72791519  1.27208481],0
a2,1,0.500481,0.453916,[ 82 165] ; [14 22],[ 83.78798587 163.21201413] ; [12.21201413 23.78798587],0
n3,1,0.53988,0.375761,[35 13] ; [7 4],[34.16949153 13.83050847] ; [7.83050847 3.16949153],0
n1,1,0.567811,0.326358,[17 30] ; [5 6],[17.82758621 29.17241379] ; [4.17241379 6.82758621],0
u1,1,0.572117,0.319153,[ 71 176] ; [12 24],[ 72.44169611 174.55830389] ; [10.55830389 25.44169611],0
s3,1,0.576598,0.311767,[178  63] ; [25 11],[176.61732852  64.38267148] ; [26.38267148  9.61732852],0
n4,1,0.607302,0.264122,[196  50] ; [30  6],[197.14893617  48.85106383] ; [28.85106383  7.14893617],0
u2,1,0.607894,0.263254,[33 16] ; [9 3],[33.73770492 15.26229508] ; [8.26229508 3.73770492],0
s6,1,0.702493,0.145892,[204  40] ; [31  5],[204.78571429  39.21428571] ; [30.21428571  5.78571429],0
p1,1,0.731758,0.117503,[ 25 221] ; [ 3 33],[ 24.42553191 221.57446809] ; [ 3.57446809 32.42553191],0
r2,1,0.780318,0.077788,[234   9] ; [35  1],[234.29032258   8.70967742] ; [34.70967742  1.29032258],0
a5,1,0.783429,0.075544,[197  50] ; [28  8],[196.37809187  50.62190813] ; [28.62190813  7.37809187],0
v3,1,0.846118,0.037665,[108 129] ; [14 18],[107.48698885 129.51301115] ; [14.51301115 17.48698885],0
n2,1,0.875921,0.02438,[36 12] ; [8 3],[35.79661017 12.20338983] ; [8.20338983 2.79661017],0
a6,1,0.882003,0.022032,[194  52] ; [28  8],[193.65957447  52.34042553] ; [28.34042553  7.65957447],0
d3,1,0.911141,0.012454,[197  50] ; [29  7],[197.25088339  49.74911661] ; [28.74911661  7.25088339],0
v2,1,0.92394,0.009115,[152  86] ; [22 12],[152.25  85.75] ; [21.75 12.25],0
s5,1,0.95477,0.003217,[104 129] ; [15 19],[103.84644195 129.15355805] ; [15.15355805 18.84644195],0
s4,1,0.96152,0.002328,[ 47 199] ; [ 7 29],[ 47.10638298 198.89361702] ; [ 6.89361702 29.10638298],0
p12,1,0.968243,0.001585,[ 28 219] ; [ 4 32],[ 27.92932862 219.07067138] ; [ 4.07067138 31.92932862],0
