Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.019931,5.417886,[8 2] ; [16 25],[4.70588235 5.29411765] ; [19.29411765 21.70588235],0
a4,1,0.02686,4.899759,[4 7] ; [ 4 38],[1.66037736 9.33962264] ; [ 6.33962264 35.66037736],0
n3,1,0.052539,3.758523,[3 6] ; [13  5],[5.33333333 3.66666667] ; [10.66666667  7.33333333],0
s1,1,0.060689,3.518444,[3 8] ; [ 3 39],[1.24528302 9.75471698] ; [ 4.75471698 37.24528302],0
u2,1,0.07776,3.111111,[2 1] ; [ 5 20],[0.75 2.25] ; [ 6.25 18.75],0
b2,1,0.151317,2.058924,[4 3] ; [ 7 18],[2.40625 4.59375] ; [ 8.59375 16.40625],0
b3,1,0.151317,2.058924,[4 3] ; [ 7 18],[2.40625 4.59375] ; [ 8.59375 16.40625],0
s7,1,0.170855,1.875422,[4 6] ; [ 8 33],[2.35294118 7.64705882] ; [ 9.64705882 31.35294118],0
p11,1,0.177647,1.817202,[3 8] ; [21 21],[4.98113208 6.01886792] ; [19.01886792 22.98113208],0
p9,1,0.213569,1.547064,[4 7] ; [23 17],[5.82352941 5.17647059] ; [21.17647059 18.82352941],0
d4,1,0.255657,1.292121,[6 5] ; [15 27],[4.35849057 6.64150943] ; [16.64150943 25.35849057],0
a1,1,0.264843,1.243263,[2 9] ; [ 3 39],[1.03773585 9.96226415] ; [ 3.96226415 38.03773585],0
d2,1,0.283931,1.148179,[ 1 10] ; [10 32],[2.28301887 8.71698113] ; [ 8.71698113 33.28301887],0
v4,1,0.308358,1.037694,[4 7] ; [22 19],[5.5 5.5] ; [20.5 20.5],0
r3,1,0.381214,0.766783,[4 7] ; [21 20],[5.28846154 5.71153846] ; [19.71153846 21.28846154],0
a5,1,0.400508,0.706801,[4 7] ; [10 32],[2.90566038 8.09433962] ; [11.09433962 30.90566038],0
n5,1,0.455512,0.5569,[6 5] ; [28 14],[7.05660377 3.94339623] ; [26.94339623 15.05660377],0
r2,1,0.463236,0.538064,[4 7] ; [20 21],[5.07692308 5.92307692] ; [18.92307692 22.07692308],0
s6,1,0.486577,0.484087,[2 9] ; [12 30],[2.90566038 8.09433962] ; [11.09433962 30.90566038],0
b1,1,0.50439,0.445688,[7 4] ; [22 20],[6.01886792 4.98113208] ; [22.98113208 19.01886792],0
a8,1,0.537098,0.380945,[1 9] ; [ 2 39],[0.58823529 9.41176471] ; [ 2.41176471 38.58823529],0
p7,1,0.554087,0.350047,[4 7] ; [19 22],[4.86538462 6.13461538] ; [18.13461538 22.86538462],0
p8,1,0.564288,0.332333,[3 8] ; [15 26],[3.80769231 7.19230769] ; [14.19230769 26.80769231],0
n4,1,0.581995,0.303021,[5 6] ; [23 19],[5.81132075 5.18867925] ; [22.18867925 19.81132075],0
p6,1,0.605462,0.266836,[2 9] ; [ 5 36],[1.48076923 9.51923077] ; [ 5.51923077 35.48076923],0
s3,1,0.650734,0.204977,[4 7] ; [12 29],[3.38461538 7.61538462] ; [12.61538462 28.38461538],0
d3,1,0.68013,0.169979,[3 8] ; [ 9 33],[2.49056604 8.50943396] ; [ 9.50943396 32.49056604],0
b5,1,0.682488,0.167339,[5 6] ; [22 20],[5.60377358 5.39622642] ; [21.39622642 20.60377358],0
b4,1,0.682488,0.167339,[6 5] ; [20 22],[5.39622642 5.60377358] ; [20.60377358 21.39622642],0
a7,1,0.73214,0.117155,[4 7] ; [13 29],[3.52830189 7.47169811] ; [13.47169811 28.52830189],0
p10,1,0.73419,0.115299,[6 5] ; [20 21],[5.5 5.5] ; [20.5 20.5],0
n1,1,0.778096,0.079412,[3 6] ; [ 7 11],[3.33333333 5.66666667] ; [ 6.66666667 11.33333333],0
n2,1,0.778096,0.079412,[6 3] ; [11  7],[5.66666667 3.33333333] ; [11.33333333  6.66666667],0
p1,1,0.793166,0.06875,[ 1 10] ; [ 5 37],[1.24528302 9.75471698] ; [ 4.75471698 37.24528302],0
p2,1,0.803942,0.061627,[7 4] ; [25 17],[6.64150943 4.35849057] ; [25.35849057 16.64150943],0
s4,1,0.813148,0.055869,[2 9] ; [ 9 33],[2.28301887 8.71698113] ; [ 8.71698113 33.28301887],0
v1,1,0.860443,0.030909,[3 8] ; [12 28],[3.23529412 7.76470588] ; [11.76470588 28.23529412],0
n6,1,0.892269,0.018342,[5 5] ; [22 20],[5.19230769 4.80769231] ; [21.80769231 20.19230769],0
s8,1,0.905162,0.014195,[2 9] ; [ 7 35],[1.86792453 9.13207547] ; [ 7.13207547 34.86792453],0
p4,1,0.932166,0.007245,[3 8] ; [12 30],[3.11320755 7.88679245] ; [11.88679245 30.11320755],0
a6,1,0.932166,0.007245,[3 8] ; [12 30],[3.11320755 7.88679245] ; [11.88679245 30.11320755],0
s2,1,0.942224,0.005253,[3 8] ; [11 31],[2.90566038 8.09433962] ; [11.09433962 30.90566038],0
