Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.353717,[218  65] ; [31 34],[202.49137931  80.50862069] ; [46.50862069 18.49137931],1
p10,1,3e-06,21.762038,[256  27] ; [46 21],[244.18857143  38.81142857] ; [57.81142857  9.18857143],1
n4,1,6e-06,20.485216,[221  62] ; [34 33],[206.18571429  76.81428571] ; [48.81428571 18.18571429],1
r4,1,0.000238,13.50181,[253  31] ; [48 19],[243.54415954  40.45584046] ; [57.45584046  9.54415954],1
r3,1,0.000634,11.673168,[274   9] ; [58  9],[268.44571429  14.55428571] ; [63.55428571  3.44571429],1
p11,1,0.002253,9.330685,[221  63] ; [40 27],[211.17948718  72.82051282] ; [49.82051282 17.17948718],0
b1,1,0.002867,8.890226,[ 93 191] ; [35 32],[103.56695157 180.43304843] ; [24.43304843 42.56695157],0
d5,1,0.006352,7.447558,[235  48] ; [45 21],[227.0487106  55.9512894] ; [52.9512894 13.0487106],0
r1,1,0.008011,7.031116,[216  66] ; [40 26],[207.44827586  74.55172414] ; [48.55172414 17.44827586],0
a5,1,0.024294,5.073513,[209  75] ; [40 27],[201.47008547  82.52991453] ; [47.52991453 19.47008547],0
p2,1,0.025452,4.99288,[225  58] ; [44 22],[218.12893983  64.87106017] ; [50.87106017 15.12893983],0
d2,1,0.029465,4.74024,[145 138] ; [24 42],[137.04011461 145.95988539] ; [31.95988539 34.04011461],0
u1,1,0.039874,4.223218,[ 61 223] ; [ 7 60],[ 55.01994302 228.98005698] ; [12.98005698 54.01994302],0
s7,1,0.046306,3.970421,[135 140] ; [23 42],[127.79411765 147.20588235] ; [30.20588235 34.79411765],0
v4,1,0.048566,3.890296,[268  15] ; [59  8],[264.40285714  18.59714286] ; [62.59714286  4.40285714],0
s6,1,0.052149,3.770975,[195  87] ; [38 29],[188.26934097  93.73065903] ; [44.73065903 22.26934097],0
a2,1,0.061542,3.495329,[ 78 206] ; [11 56],[ 72.01139601 211.98860399] ; [16.98860399 50.01139601],0
v3,1,0.066918,3.357056,[ 97 175] ; [14 46],[ 90.93975904 181.06024096] ; [20.06024096 39.93975904],0
s8,1,0.073255,3.208538,[123 161] ; [21 46],[116.51282051 167.48717949] ; [27.48717949 39.51282051],0
v2,1,0.074008,3.191821,[152 119] ; [27 35],[145.67267267 125.32732733] ; [33.32732733 28.67267267],0
a4,1,0.086105,2.945719,[139 145] ; [25 42],[132.6951567 151.3048433] ; [31.3048433 35.6951567],0
u2,1,0.100499,2.697611,[41 34] ; [15  5],[44.21052632 30.78947368] ; [11.78947368  8.21052632],0
s5,1,0.115109,2.482645,[ 86 187] ; [13 48],[ 80.91916168 192.08083832] ; [18.08083832 42.91916168],0
d1,1,0.138732,2.191964,[164 120] ; [32 35],[158.58689459 125.41310541] ; [37.41310541 29.58689459],0
r2,1,0.148875,2.083738,[265  16] ; [59  7],[262.37463977  18.62536023] ; [61.62536023  4.37463977],0
p3,1,0.186149,1.747833,[109 174] ; [20 47],[104.30571429 178.69428571] ; [24.69428571 42.30571429],0
a1,1,0.205136,1.605427,[ 11 273] ; [ 5 62],[ 12.94586895 271.05413105] ; [ 3.05413105 63.94586895],0
d3,1,0.231477,1.431764,[200  83] ; [41 24],[195.98563218  87.01436782] ; [45.01436782 19.98563218],0
b3,1,0.245117,1.350923,[ 70 105] ; [10 24],[ 66.98564593 108.01435407] ; [13.01435407 20.98564593],0
