Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-05,19.539039,[89  7] ; [22 14],[80.72727273 15.27272727] ; [30.27272727  5.72727273],1
r4,1,3.1e-05,17.376657,[76 20] ; [16 22],[65.91044776 30.08955224] ; [26.08955224 11.91044776],1
r3,1,0.000248,13.42908,[84 11] ; [23 15],[76.42857143 18.57142857] ; [30.57142857  7.42857143],1
r2,1,0.001799,9.743851,[83 13] ; [23 14],[76.5112782 19.4887218] ; [29.4887218  7.5112782],0
s5,1,0.00219,9.382675,[24 69] ; [ 1 37],[17.7480916 75.2519084] ; [ 7.2519084 30.7480916],0
s6,1,0.002502,9.138865,[52 42] ; [10 28],[44.15151515 49.84848485] ; [17.84848485 20.15151515],0
s8,1,0.00632,7.456734,[29 67] ; [ 3 35],[22.92537313 73.07462687] ; [ 9.07462687 28.92537313],0
p11,1,0.007771,7.085617,[71 25] ; [19 19],[64.47761194 31.52238806] ; [25.52238806 12.47761194],0
p10,1,0.010684,6.517154,[65 28] ; [17 20],[58.66153846 34.33846154] ; [23.33846154 13.66153846],0
n4,1,0.014289,6.002051,[62 33] ; [16 22],[55.71428571 39.28571429] ; [22.28571429 15.71428571],0
p9,1,0.023306,5.145553,[70 24] ; [20 17],[64.58015267 29.41984733] ; [25.41984733 11.58015267],0
v2,1,0.024395,5.066356,[35 57] ; [ 6 29],[29.7007874 62.2992126] ; [11.2992126 23.7007874],0
p2,1,0.031261,4.638576,[67 29] ; [19 19],[61.6119403 34.3880597] ; [24.3880597 13.6119403],0
a1,1,0.033165,4.537224,[ 2 94] ; [ 4 34],[ 4.29850746 91.70149254] ; [ 1.70149254 36.29850746],0
p8,1,0.036672,4.365579,[36 59] ; [ 7 30],[30.9469697 64.0530303] ; [12.0530303 24.9469697],0
r1,1,0.051399,3.795225,[63 33] ; [18 20],[58.02985075 37.97014925] ; [22.97014925 15.02985075],0
s7,1,0.052416,3.762452,[32 60] ; [ 6 29],[27.52755906 64.47244094] ; [10.47244094 24.52755906],0
v3,1,0.05717,3.617639,[28 67] ; [ 5 32],[23.75 71.25] ; [ 9.25 27.75],0
a4,1,0.062065,3.481338,[14 80] ; [11 27],[17.8030303 76.1969697] ; [ 7.1969697 30.8030303],0
b4,1,0.062712,3.464166,[55 41] ; [15 23],[50.14925373 45.85074627] ; [19.85074627 18.14925373],0
v1,1,0.077926,3.107642,[42 50] ; [11 27],[37.50769231 54.49230769] ; [15.49230769 22.50769231],0
a7,1,0.089473,2.883827,[56 40] ; [16 22],[51.58208955 44.41791045] ; [20.41791045 17.58208955],0
p1,1,0.106764,2.601481,[11 85] ; [ 1 37],[ 8.59701493 87.40298507] ; [ 3.40298507 34.59701493],0
a6,1,0.125213,2.350877,[52 44] ; [15 23],[48. 48.] ; [19. 19.],0
a5,1,0.140644,2.170902,[41 55] ; [11 27],[37.25373134 58.74626866] ; [14.74626866 23.25373134],0
p4,1,0.168442,1.896757,[29 65] ; [ 7 30],[25.83206107 68.16793893] ; [10.16793893 26.83206107],0
n1,1,0.212309,1.555613,[ 9 19] ; [10 10],[11.08333333 16.91666667] ; [ 7.91666667 12.08333333],0
n5,1,0.223014,1.484873,[67 28] ; [22 15],[64.0530303 30.9469697] ; [24.9469697 12.0530303],0
b1,1,0.225451,1.469332,[37 59] ; [19 19],[40.11940299 55.88059701] ; [15.88059701 22.11940299],0
