Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.008543,6.916004,[13 14] ; [10 41],[ 7.96153846 19.03846154] ; [15.03846154 35.96153846],0
n1,1,0.024926,5.02901,[8 4] ; [ 7 18],[4.86486486 7.13513514] ; [10.13513514 14.86486486],0
v3,1,0.026256,4.939073,[10 17] ; [ 8 45],[ 6.075 20.925] ; [11.925 41.075],0
r1,1,0.028887,4.774359,[18  9] ; [23 33],[13.3373494 13.6626506] ; [27.6626506 28.3373494],0
d5,1,0.034954,4.447445,[13 14] ; [14 42],[ 8.78313253 18.21686747] ; [18.21686747 37.78313253],0
p4,1,0.041166,4.169163,[15 12] ; [18 38],[10.73493976 16.26506024] ; [22.26506024 33.73493976],0
p10,1,0.064004,3.430472,[18  8] ; [26 29],[14.12345679 11.87654321] ; [29.87654321 25.12345679],0
r2,1,0.06572,3.386801,[24  2] ; [42 14],[20.92682927  5.07317073] ; [45.07317073 10.92682927],0
s7,1,0.070414,3.27335,[12 14] ; [14 40],[ 8.45 17.55] ; [17.55 36.45],0
p11,1,0.080688,3.050998,[22  5] ; [35 21],[18.54216867  8.45783133] ; [38.45783133 17.54216867],0
a3,1,0.083934,2.987024,[14 13] ; [18 38],[10.40963855 16.59036145] ; [21.59036145 34.40963855],0
r3,1,0.093803,2.807866,[23  4] ; [38 18],[19.84337349  7.15662651] ; [41.15662651 14.84337349],0
s8,1,0.098948,2.722418,[11 16] ; [13 43],[ 7.80722892 19.19277108] ; [16.19277108 39.80722892],0
b4,1,0.19999,1.642446,[18  9] ; [29 27],[15.28915663 11.71084337] ; [31.71084337 24.28915663],0
s3,1,0.207021,1.592138,[15 12] ; [22 32],[12.33333333 14.66666667] ; [24.66666667 29.33333333],0
v4,1,0.248678,1.330714,[23  2] ; [46 10],[21.2962963  3.7037037] ; [47.7037037  8.2962963],0
u3,1,0.255958,1.290486,[6 7] ; [11 27],[4.33333333 8.66666667] ; [12.66666667 25.33333333],0
n6,1,0.26757,1.229165,[16 11] ; [40 16],[18.21686747  8.78313253] ; [37.78313253 18.21686747],0
a5,1,0.274441,1.194414,[12 15] ; [18 38],[ 9.75903614 17.24096386] ; [20.24096386 35.75903614],0
r4,1,0.312712,1.019186,[19  8] ; [33 23],[16.91566265 10.08433735] ; [35.08433735 20.91566265],0
s1,1,0.329023,0.952741,[ 3 23] ; [ 3 52],[ 1.92592593 24.07407407] ; [ 4.07407407 50.92592593],0
p9,1,0.337356,0.920455,[18  9] ; [30 24],[16. 11.] ; [32. 22.],0
a4,1,0.346006,0.888051,[ 7 19] ; [10 46],[ 5.3902439 20.6097561] ; [11.6097561 44.3902439],0
p2,1,0.390969,0.735927,[19  8] ; [34 22],[17.24096386  9.75903614] ; [35.75903614 20.24096386],0
b2,1,0.399381,0.710189,[ 7 13] ; [ 8 25],[ 5.66037736 14.33962264] ; [ 9.33962264 23.66037736],0
b3,1,0.399381,0.710189,[ 7 13] ; [ 8 25],[ 5.66037736 14.33962264] ; [ 9.33962264 23.66037736],0
a2,1,0.444601,0.58438,[ 2 25] ; [ 2 54],[ 1.30120482 25.69879518] ; [ 2.69879518 53.30120482],0
s2,1,0.46742,0.528068,[10 17] ; [16 39],[ 8.56097561 18.43902439] ; [17.43902439 37.56097561],0
s6,1,0.480396,0.497964,[14 12] ; [25 30],[12.51851852 13.48148148] ; [26.48148148 28.51851852],0
d3,1,0.495078,0.46547,[ 6 21] ; [ 9 47],[ 4.87951807 22.12048193] ; [10.12048193 45.87951807],0
a6,1,0.522016,0.409909,[11 16] ; [27 29],[12.36144578 14.63855422] ; [25.63855422 30.36144578],0
n4,1,0.563013,0.334514,[20  7] ; [38 18],[18.86746988  8.13253012] ; [39.13253012 16.86746988],0
u2,1,0.672704,0.178456,[6 7] ; [15 23],[5.35294118 7.64705882] ; [15.64705882 22.35294118],0
a8,1,0.712014,0.136274,[ 4 20] ; [ 7 45],[ 3.47368421 20.52631579] ; [ 7.52631579 44.47368421],0
p1,1,0.752271,0.099633,[ 3 24] ; [ 5 51],[ 2.60240964 24.39759036] ; [ 5.39759036 50.60240964],0
p5,1,0.752271,0.099633,[ 3 24] ; [ 5 51],[ 2.60240964 24.39759036] ; [ 5.39759036 50.60240964],0
b1,1,0.756155,0.096431,[14 13] ; [27 29],[13.3373494 13.6626506] ; [27.6626506 28.3373494],0
s5,1,0.777406,0.07992,[ 5 21] ; [ 9 45],[ 4.55 21.45] ; [ 9.45 44.55],0
s4,1,0.903176,0.014799,[ 5 22] ; [11 45],[ 5.20481928 21.79518072] ; [10.79518072 45.20481928],0
p8,1,0.906452,0.01381,[10 17] ; [20 36],[ 9.75903614 17.24096386] ; [20.24096386 35.75903614],0
p3,1,0.920645,0.009924,[ 8 19] ; [16 40],[ 7.80722892 19.19277108] ; [16.19277108 39.80722892],0
n5,1,0.927568,0.008264,[20  7] ; [42 14],[20.1686747  6.8313253] ; [41.8313253 14.1686747],0
d2,1,0.933737,0.006913,[ 7 20] ; [15 41],[ 7.15662651 19.84337349] ; [14.84337349 41.15662651],0
p6,1,0.963343,0.002112,[ 7 20] ; [14 41],[ 6.91463415 20.08536585] ; [14.08536585 40.91463415],0
u1,1,0.97587,0.000915,[ 1 26] ; [ 2 54],[ 0.97590361 26.02409639] ; [ 2.02409639 53.97590361],0
b5,1,0.995492,3.2e-05,[13 14] ; [27 29],[13.01204819 13.98795181] ; [26.98795181 29.01204819],0
p7,1,0.995492,3.2e-05,[13 14] ; [27 29],[13.01204819 13.98795181] ; [26.98795181 29.01204819],0
