Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.21617,[1 6] ; [95 15],[5.74358974 1.25641026] ; [90.25641026 19.74358974],1
p11,1,0.000861,11.105421,[2 5] ; [90 20],[5.5042735 1.4957265] ; [86.4957265 23.5042735],1
v1,1,0.009781,6.67443,[1 6] ; [68 39],[4.23684211 2.76315789] ; [64.76315789 42.23684211],0
b1,1,0.023237,5.150695,[5 2] ; [33 77],[2.27350427 4.72649573] ; [35.72649573 74.27350427],0
a7,1,0.024523,5.057251,[2 5] ; [76 33],[4.70689655 2.29310345] ; [73.29310345 35.70689655],0
p9,1,0.038727,4.272807,[3 4] ; [83 24],[5.28070175 1.71929825] ; [80.71929825 26.28070175],0
s3,1,0.043175,4.088543,[1 6] ; [58 50],[3.59130435 3.40869565] ; [55.40869565 52.59130435],0
a6,1,0.043419,4.079005,[1 6] ; [59 51],[3.58974359 3.41025641] ; [56.41025641 53.58974359],0
s6,1,0.05549,3.667302,[2 5] ; [68 37],[4.375 2.625] ; [65.625 39.375],0
p10,1,0.058414,3.581838,[3 4] ; [80 26],[5.14159292 1.85840708] ; [77.85840708 28.14159292],0
n6,1,0.08219,3.021059,[4 3] ; [90 18],[5.72173913 1.27826087] ; [88.27826087 19.72173913],0
r2,1,0.082511,3.014725,[4 2] ; [97 11],[5.31578947 0.68421053] ; [95.68421053 12.31578947],0
p7,1,0.092363,2.832703,[2 4] ; [71 35],[3.91071429 2.08928571] ; [69.08928571 36.91071429],0
a1,1,0.10272,2.662789,[1 6] ; [  3 107],[0.23931624 6.76068376] ; [  3.76068376 106.23931624],0
s1,1,0.107325,2.593174,[1 6] ; [  3 105],[0.24347826 6.75652174] ; [  3.75652174 104.24347826],0
p4,1,0.111741,2.52943,[1 5] ; [54 54],[2.89473684 3.10526316] ; [52.10526316 55.89473684],0
b5,1,0.116599,2.46242,[6 1] ; [61 49],[4.00854701 2.99145299] ; [62.99145299 47.00854701],0
s2,1,0.122408,2.386241,[1 6] ; [48 61],[2.95689655 4.04310345] ; [46.04310345 62.95689655],0
r1,1,0.13428,2.242312,[3 4] ; [77 33],[4.78632479 2.21367521] ; [75.21367521 34.78632479],0
b4,1,0.175118,1.838571,[6 1] ; [66 44],[4.30769231 2.69230769] ; [67.69230769 42.30769231],0
p2,1,0.180886,1.790333,[4 3] ; [86 23],[5.43103448 1.56896552] ; [84.56896552 24.43103448],0
p3,1,0.183494,1.769093,[1 6] ; [43 66],[2.65517241 4.34482759] ; [41.34482759 67.65517241],0
v3,1,0.18819,1.731731,[2 5] ; [58 49],[3.68421053 3.31578947] ; [56.31578947 50.68421053],0
s8,1,0.18895,1.725784,[1 6] ; [43 67],[2.63247863 4.36752137] ; [41.36752137 68.63247863],0
d4,1,0.253451,1.304181,[4 3] ; [84 26],[5.26495726 1.73504274] ; [82.73504274 27.26495726],0
b3,1,0.281725,1.158748,[2 2] ; [16 47],[1.07462687 2.92537313] ; [16.92537313 46.07462687],0
b2,1,0.281725,1.158748,[2 2] ; [16 47],[1.07462687 2.92537313] ; [16.92537313 46.07462687],0
n5,1,0.295816,1.092961,[6 1] ; [72 36],[4.74782609 2.25217391] ; [73.25217391 34.74782609],0
s7,1,0.302307,1.063988,[1 5] ; [39 65],[2.18181818 3.81818182] ; [37.81818182 66.18181818],0
d2,1,0.311714,1.023398,[3 4] ; [28 82],[1.85470085 5.14529915] ; [29.14529915 80.85470085],0
p8,1,0.361187,0.833761,[2 5] ; [50 58],[3.16521739 3.83478261] ; [48.83478261 59.16521739],0
p1,1,0.420688,0.648393,[1 6] ; [  7 103],[0.47863248 6.52136752] ; [  7.52136752 102.47863248],0
d5,1,0.423864,0.639578,[6 1] ; [79 31],[5.08547009 1.91452991] ; [79.91452991 30.08547009],0
n1,1,0.481819,0.494743,[2 2] ; [ 9 19],[1.375 2.625] ; [ 9.625 18.375],0
n4,1,0.520962,0.411988,[4 3] ; [75 34],[4.76724138 2.23275862] ; [74.23275862 34.76724138],0
d1,1,0.548349,0.360283,[2 5] ; [44 66],[2.75213675 4.24786325] ; [43.24786325 66.75213675],0
u3,1,0.552003,0.353741,[2 1] ; [24 25],[1.5 1.5] ; [24.5 24.5],0
s5,1,0.555367,0.347789,[1 6] ; [25 79],[1.63963964 5.36036036] ; [24.36036036 79.63963964],0
a4,1,0.602437,0.271336,[1 6] ; [25 85],[1.55555556 5.44444444] ; [24.44444444 85.55555556],0
n2,1,0.739332,0.110714,[3 1] ; [18  9],[2.70967742 1.29032258] ; [18.29032258  8.70967742],0
s4,1,0.744562,0.106157,[1 6] ; [21 88],[1.32758621 5.67241379] ; [20.67241379 88.32758621],0
p6,1,0.762369,0.091429,[3 4] ; [39 66],[2.625 4.375] ; [39.375 65.625],0
n3,1,0.871602,0.026122,[3 1] ; [22  6],[3.125 0.875] ; [21.875  6.125],0
a3,1,0.930542,0.007597,[4 3] ; [61 49],[3.88888889 3.11111111] ; [61.11111111 48.88888889],0
p5,1,0.968897,0.00152,[1 6] ; [15 94],[0.96551724 6.03448276] ; [15.03448276 93.96551724],0
