Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.589476,[17 45] ; [44 17],[30.74796748 31.25203252] ; [30.25203252 30.74796748],1
a8,1,0.00108,10.684541,[ 1 58] ; [12 46],[ 6.55555556 52.44444444] ; [ 6.44444444 51.55555556],0
a3,1,0.010981,6.46846,[31 32] ; [43 17],[37.90243902 25.09756098] ; [36.09756098 23.90243902],0
a5,1,0.011522,6.382962,[26 37] ; [39 22],[33.02419355 29.97580645] ; [31.97580645 29.02419355],0
p8,1,0.065769,3.38558,[21 39] ; [12 48],[16.5 43.5] ; [16.5 43.5],0
u3,1,0.082088,3.023065,[20 11] ; [ 7 11],[17.08163265 13.91836735] ; [9.91836735 8.08163265],0
n2,1,0.086482,2.938674,[14 12] ; [22  7],[17.01818182  8.98181818] ; [18.98181818 10.01818182],0
d2,1,0.087773,2.914754,[18 45] ; [26 34],[22.53658537 40.46341463] ; [21.46341463 38.53658537],0
n3,1,0.111022,2.539612,[19  7] ; [14 13],[16.18867925  9.81132075] ; [16.81132075 10.18867925],0
p11,1,0.14778,2.095014,[29 34] ; [36 25],[33.02419355 29.97580645] ; [31.97580645 29.02419355],0
b5,1,0.153346,2.038646,[41 22] ; [32 29],[37.08870968 25.91129032] ; [35.91129032 25.08870968],0
p1,1,0.153904,2.033123,[ 1 62] ; [ 4 56],[ 2.56097561 60.43902439] ; [ 2.43902439 57.56097561],0
p6,1,0.167185,1.908002,[12 50] ; [ 6 52],[ 9.3 52.7] ; [ 8.7 49.3],0
a1,1,0.169878,1.884022,[ 3 60] ; [ 7 54],[ 5.08064516 57.91935484] ; [ 4.91935484 56.08064516],0
s6,1,0.174756,1.841665,[22 40] ; [29 32],[25.70731707 36.29268293] ; [25.29268293 35.70731707],0
s2,1,0.250977,1.317857,[24 39] ; [17 43],[21. 42.] ; [20. 40.],0
d4,1,0.269422,1.219687,[46 16] ; [39 21],[43.19672131 18.80327869] ; [41.80327869 18.19672131],0
n1,1,0.283686,1.149347,[ 8 17] ; [13 15],[ 9.90566038 15.09433962] ; [11.09433962 16.90566038],0
s4,1,0.316094,1.00504,[10 53] ; [ 6 55],[ 8.12903226 54.87096774] ; [ 7.87096774 53.12903226],0
r1,1,0.320678,0.98618,[38 25] ; [42 19],[40.64516129 22.35483871] ; [39.35483871 21.64516129],0
d5,1,0.322035,0.980663,[41 22] ; [44 16],[43.53658537 19.46341463] ; [41.46341463 18.53658537],0
r2,1,0.347695,0.881851,[49 14] ; [49  9],[51.02479339 11.97520661] ; [46.97520661 11.02479339],0
s1,1,0.349121,0.87665,[ 6 56] ; [ 3 55],[ 4.65 57.35] ; [ 4.35 53.65],0
