Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,57.36214,[176 162] ; [ 30 143],[136.25831703 201.74168297] ; [ 69.74168297 103.25831703],1
a3,1,0.0,52.709422,[252  87] ; [ 71 100],[214.7 124.3] ; [108.3  62.7],1
d1,1,0.0,50.896337,[209 130] ; [ 49 124],[170.82421875 168.17578125] ; [87.17578125 85.82421875],1
d2,1,0.0,44.413365,[173 163] ; [ 36 137],[137.96463654 198.03536346] ; [ 71.03536346 101.96463654],1
d5,1,0.0,30.323324,[284  54] ; [107  65],[259.13333333  78.86666667] ; [131.86666667  40.13333333],1
a6,1,0.0,28.423215,[258  80] ; [92 81],[231.50684932 106.49315068] ; [118.49315068  54.50684932],1
r1,1,1e-06,25.009696,[278  59] ; [108  65],[255.0627451  81.9372549] ; [130.9372549  42.0627451],1
u1,1,1e-06,24.495454,[ 63 276] ; [  5 168],[ 45.0234375 293.9765625] ; [ 22.9765625 150.0234375],1
d4,1,1.7e-05,18.539473,[287  51] ; [118  54],[268.41176471  69.58823529] ; [136.58823529  35.41176471],1
n4,1,2.8e-05,17.559384,[258  81] ; [100  72],[237.49902153 101.50097847] ; [120.50097847  51.49902153],1
v2,1,0.000299,13.078014,[189 136] ; [67 97],[170.14314928 154.85685072] ; [85.85685072 78.14314928],1
d3,1,0.000562,11.89874,[245  93] ; [98 73],[227.76817289 110.23182711] ; [115.23182711  55.76817289],1
r4,1,0.000775,11.299741,[312  27] ; [142  31],[300.59765625  38.40234375] ; [153.40234375  19.59765625],1
p4,1,0.003443,8.556385,[188 147] ; [72 98],[172.47524752 162.52475248] ; [87.52475248 82.47524752],0
p10,1,0.00362,8.46518,[259  74] ; [111  58],[245.43824701  87.56175299] ; [124.56175299  44.43824701],0
r2,1,0.009118,6.799642,[318  16] ; [154  19],[310.94280079  23.05719921] ; [161.05719921  11.94280079],0
p8,1,0.012335,6.262105,[164 168] ; [ 64 106],[150.78884462 181.21115538] ; [77.21115538 92.78884462],0
a7,1,0.01411,6.024279,[261  78] ; [115  57],[249.44031311  89.55968689] ; [126.55968689  45.44031311],0
p3,1,0.016574,5.740888,[150 185] ; [ 58 114],[137.43589744 197.56410256] ; [ 70.56410256 101.43589744],0
n5,1,0.032991,4.546258,[236 101] ; [103  67],[225.33136095 111.66863905] ; [113.66863905  56.33136095],0
s7,1,0.03646,4.375464,[ 93 228] ; [ 34 134],[ 83.36809816 237.63190184] ; [ 43.63190184 124.36809816],0
p2,1,0.052789,3.750578,[277  58] ; [129  42],[268.7944664  66.2055336] ; [137.2055336  33.7944664],0
v1,1,0.06919,3.302135,[160 172] ; [ 67 102],[150.42714571 181.57285429] ; [76.57285429 92.42714571],0
p9,1,0.076317,3.141647,[267  66] ; [123  45],[259.22155689  73.77844311] ; [130.77844311  37.22155689],0
s6,1,0.087283,2.923775,[181 151] ; [78 90],[171.976 160.024] ; [87.024 80.976],0
p1,1,0.094921,2.78887,[ 27 310] ; [  7 164],[ 22.55511811 314.44488189] ; [ 11.44488189 159.55511811],0
b3,1,0.138537,2.194131,[ 61 122] ; [21 65],[ 55.78438662 127.21561338] ; [26.21561338 59.78438662],0
b2,1,0.138537,2.194131,[ 61 122] ; [21 65],[ 55.78438662 127.21561338] ; [26.21561338 59.78438662],0
v3,1,0.154953,2.022803,[110 215] ; [ 46 121],[103.04878049 221.95121951] ; [ 52.95121951 114.04878049],0
p12,1,0.167001,1.909663,[ 19 315] ; [  5 166],[ 15.87326733 318.12673267] ; [  8.12673267 162.87326733],0
a1,1,0.231641,1.430758,[ 15 324] ; [  4 169],[ 12.58007812 326.41992188] ; [  6.41992188 166.58007812],0
s3,1,0.292086,1.109983,[136 198] ; [78 93],[141.53663366 192.46336634] ; [72.46336634 98.53663366],0
n6,1,0.344584,0.8933,[273  65] ; [132  39],[268.93909627  69.06090373] ; [136.06090373  34.93909627],0
b4,1,0.379884,0.771077,[196 143] ; [107  66],[200.61914062 138.38085938] ; [102.38085938  70.61914062],0
b1,1,0.38013,0.770282,[125 214] ; [ 57 116],[120.50390625 218.49609375] ; [ 61.49609375 111.50390625],0
v4,1,0.389147,0.741607,[318  19] ; [158  13],[315.77165354  21.22834646] ; [160.22834646  10.77165354],0
b5,1,0.416344,0.660612,[203 136] ; [110  63],[207.24023438 131.75976562] ; [105.75976562  67.24023438],0
n3,1,0.428669,0.626428,[59 18] ; [33 14],[57.12903226 19.87096774] ; [34.87096774 12.12903226],0
n2,1,0.469766,0.522527,[62 18] ; [33 13],[60.31746032 19.68253968] ; [34.68253968 11.31746032],0
s5,1,0.487772,0.481438,[ 83 245] ; [ 38 131],[ 79.85513078 248.14486922] ; [ 41.14486922 127.85513078],0
p5,1,0.522614,0.408732,[ 27 310] ; [ 11 160],[ 25.20866142 311.79133858] ; [ 12.79133858 158.20866142],0
u3,1,0.530605,0.393232,[46 39] ; [50 51],[43.87096774 41.12903226] ; [52.12903226 48.87096774],0
p11,1,0.542448,0.371021,[261  78] ; [129  44],[258.22265625  80.77734375] ; [131.77734375  41.22265625],0
n1,1,0.594402,0.283522,[23 55] ; [16 31],[24.336 53.664] ; [14.664 32.336],0
p6,1,0.632319,0.228929,[ 89 241] ; [ 49 120],[ 91.26252505 238.73747495] ; [ 46.73747495 122.26252505],0
u2,1,0.635038,0.225291,[46 40] ; [50 50],[44.38709677 41.61290323] ; [51.61290323 48.38709677],0
u4,1,0.709076,0.139202,[  3 336] ; [  1 172],[  2.6484375 336.3515625] ; [  1.3515625 171.6484375],0
s1,1,0.728167,0.120801,[ 10 326] ; [  6 163],[ 10.64554455 325.35445545] ; [  5.35445545 163.64554455],0
s2,1,0.755374,0.09707,[116 220] ; [ 57 115],[114.42519685 221.57480315] ; [ 58.57480315 113.42519685],0
s4,1,0.781967,0.076594,[ 48 286] ; [ 26 144],[ 49.03968254 284.96031746] ; [ 24.96031746 145.03968254],0
a8,1,0.879956,0.022808,[ 35 271] ; [ 18 146],[ 34.50638298 271.49361702] ; [ 18.49361702 145.50638298],0
p7,1,0.883093,0.021624,[190 143] ; [93 72],[189.23493976 143.76506024] ; [93.76506024 71.23493976],0
