Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,23.300453,[8 2] ; [ 3 35],[2.29166667 7.70833333] ; [ 8.70833333 29.29166667],1
s2,1,7.2e-05,15.766999,[6 4] ; [ 3 39],[1.73076923 8.26923077] ; [ 7.26923077 34.73076923],1
p9,1,9e-05,15.338337,[9 1] ; [ 9 30],[3.67346939 6.32653061] ; [14.32653061 24.67346939],1
r4,1,0.000736,11.396104,[5 5] ; [ 3 39],[1.53846154 8.46153846] ; [ 6.46153846 35.53846154],1
p6,1,0.000875,11.073986,[5 5] ; [ 3 38],[1.56862745 8.43137255] ; [ 6.43137255 34.56862745],1
p10,1,0.00182,9.722898,[8 2] ; [11 30],[3.7254902 6.2745098] ; [15.2745098 25.7254902],0
s3,1,0.003975,8.295037,[7 3] ; [ 9 31],[3.2 6.8] ; [12.8 27.2],0
p2,1,0.004499,8.070631,[8 2] ; [13 29],[4.03846154 5.96153846] ; [16.96153846 25.03846154],0
n2,1,0.012511,6.236919,[6 1] ; [ 7 15],[3.13793103 3.86206897] ; [ 9.86206897 12.13793103],0
n6,1,0.012856,6.188801,[9 1] ; [19 22],[5.49019608 4.50980392] ; [22.50980392 18.49019608],0
s6,1,0.024547,5.055556,[5 5] ; [ 7 35],[2.30769231 7.69230769] ; [ 9.69230769 32.30769231],0
p4,1,0.029558,4.734826,[6 4] ; [10 31],[3.1372549 6.8627451] ; [12.8627451 28.1372549],0
p8,1,0.047308,3.934408,[5 5] ; [ 8 33],[2.54901961 7.45098039] ; [10.45098039 30.54901961],0
r2,1,0.077589,3.1147,[8 1] ; [23 17],[5.69387755 3.30612245] ; [25.30612245 14.69387755],0
b1,1,0.092353,2.83288,[3 7] ; [25 17],[5.38461538 4.61538462] ; [22.61538462 19.38461538],0
p11,1,0.100394,2.699271,[5 5] ; [10 32],[2.88461538 7.11538462] ; [12.11538462 29.88461538],0
d2,1,0.13882,2.190991,[7 3] ; [18 23],[4.90196078 5.09803922] ; [20.09803922 20.90196078],0
r1,1,0.159531,1.97867,[6 4] ; [15 27],[4.03846154 5.96153846] ; [16.96153846 25.03846154],0
a7,1,0.159531,1.97867,[6 4] ; [15 27],[4.03846154 5.96153846] ; [16.96153846 25.03846154],0
u2,1,0.161749,1.957794,[3 1] ; [ 7 12],[1.73913043 2.26086957] ; [ 8.26086957 10.73913043],0
n5,1,0.222883,1.485714,[9 1] ; [30 12],[7.5 2.5] ; [31.5 10.5],0
p12,1,0.260178,1.26781,[1 9] ; [ 1 41],[0.38461538 9.61538462] ; [ 1.61538462 40.38461538],0
u1,1,0.260178,1.26781,[1 9] ; [ 1 41],[0.38461538 9.61538462] ; [ 1.61538462 40.38461538],0
d3,1,0.263912,1.248119,[6 4] ; [17 25],[4.42307692 5.57692308] ; [18.57692308 23.42307692],0
d4,1,0.313359,1.016463,[7 3] ; [22 20],[5.57692308 4.42307692] ; [23.42307692 18.57692308],0
d1,1,0.325287,0.96757,[5 5] ; [14 28],[3.65384615 6.34615385] ; [15.34615385 26.65384615],0
b5,1,0.328424,0.955102,[6 4] ; [18 24],[4.61538462 5.38461538] ; [19.38461538 22.61538462],0
n1,1,0.330931,0.945251,[4 3] ; [ 8 14],[2.89655172 4.10344828] ; [ 9.10344828 12.89655172],0
n4,1,0.341069,0.906411,[8 2] ; [27 15],[6.73076923 3.26923077] ; [28.26923077 13.73076923],0
u3,1,0.349445,0.87547,[2 2] ; [ 5 14],[1.2173913 2.7826087] ; [ 5.7826087 13.2173913],0
b4,1,0.380722,0.768369,[7 3] ; [23 19],[5.76923077 4.23076923] ; [24.23076923 17.76923077],0
n3,1,0.410004,0.678788,[3 3] ; [ 7 15],[2.14285714 3.85714286] ; [ 7.85714286 14.14285714],0
v3,1,0.414352,0.66628,[2 7] ; [ 5 37],[1.23529412 7.76470588] ; [ 5.76470588 36.23529412],0
a5,1,0.4816,0.495238,[6 4] ; [20 22],[5. 5.] ; [21. 21.],0
p5,1,0.537098,0.380945,[1 9] ; [ 2 39],[0.58823529 9.41176471] ; [ 2.41176471 38.58823529],0
s5,1,0.552425,0.35299,[2 7] ; [ 6 36],[1.41176471 7.58823529] ; [ 6.58823529 35.41176471],0
s4,1,0.563146,0.334286,[3 7] ; [ 9 33],[2.30769231 7.69230769] ; [ 9.69230769 32.30769231],0
p3,1,0.563146,0.334286,[3 7] ; [ 9 33],[2.30769231 7.69230769] ; [ 9.69230769 32.30769231],0
b2,1,0.574922,0.314516,[2 6] ; [11 20],[2.66666667 5.33333333] ; [10.33333333 20.66666667],0
b3,1,0.574922,0.314516,[2 6] ; [11 20],[2.66666667 5.33333333] ; [10.33333333 20.66666667],0
p7,1,0.669879,0.181744,[2 7] ; [12 29],[2.52 6.48] ; [11.48 29.52],0
a6,1,0.682739,0.167059,[5 5] ; [18 24],[4.42307692 5.57692308] ; [18.57692308 23.42307692],0
v2,1,0.715789,0.132564,[2 7] ; [ 7 34],[1.62 7.38] ; [ 7.38 33.62],0
p1,1,0.721199,0.127347,[1 9] ; [ 6 36],[1.34615385 8.65384615] ; [ 5.65384615 36.34615385],0
a2,1,0.760576,0.092857,[1 9] ; [ 3 39],[0.76923077 9.23076923] ; [ 3.23076923 38.76923077],0
d5,1,0.76438,0.089841,[6 4] ; [23 19],[5.57692308 4.42307692] ; [23.42307692 18.57692308],0
a4,1,0.80306,0.062195,[3 7] ; [14 27],[3.33333333 6.66666667] ; [13.66666667 27.33333333],0
a3,1,0.823216,0.049912,[6 4] ; [23 18],[5.68627451 4.31372549] ; [23.31372549 17.68627451],0
s1,1,0.963385,0.002107,[1 9] ; [ 4 38],[0.96153846 9.03846154] ; [ 4.03846154 37.96153846],0
