Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,86.542254,[165   2] ; [63 53],[134.54416961  32.45583039] ; [93.45583039 22.54416961],1
d2,1,0.0,82.511242,[119  48] ; [19 97],[81.43462898 85.56537102] ; [56.56537102 59.43462898],1
d3,1,0.0,71.757727,[148  19] ; [48 68],[115.66077739  51.33922261] ; [80.33922261 35.66077739],1
d5,1,0.0,62.275203,[162   5] ; [70 46],[136.90459364  30.09540636] ; [95.09540636 20.90459364],1
u1,1,0.0,32.403375,[ 46 121] ; [  2 114],[ 28.32508834 138.67491166] ; [19.67491166 96.32508834],1
a2,1,0.0,31.859245,[ 58 109] ; [  7 109],[ 38.35689046 128.64310954] ; [26.64310954 89.35689046],1
a4,1,0.0,27.919443,[91 75] ; [27 89],[69.46099291 96.53900709] ; [48.53900709 67.46099291],1
v2,1,9e-06,19.702453,[107  53] ; [44 67],[89.15129151 70.84870849] ; [61.84870849 49.15129151],1
a3,1,1.9e-05,18.317757,[132  35] ; [64 52],[115.66077739  51.33922261] ; [80.33922261 35.66077739],1
a5,1,1.9e-05,18.312813,[142  25] ; [73 43],[126.87279152  40.12720848] ; [88.12720848 27.87279152],1
r1,1,0.000146,14.424965,[144  21] ; [79 36],[131.41071429  33.58928571] ; [91.58928571 23.41071429],1
p11,1,0.000235,13.527447,[143  24] ; [78 38],[130.41342756  36.58657244] ; [90.58657244 25.41342756],1
a7,1,0.00073,11.411411,[134  33] ; [72 44],[121.56183746  45.43816254] ; [84.43816254 31.56183746],1
v3,1,0.00134,10.286294,[75 79] ; [33 80],[62.29213483 91.70786517] ; [45.70786517 67.29213483],0
n4,1,0.003363,8.599157,[136  31] ; [76 39],[125.54609929  41.45390071] ; [86.45390071 28.54609929],0
r2,1,0.00392,8.320347,[158   8] ; [98 17],[151.23131673  14.76868327] ; [104.76868327  10.23131673],0
s8,1,0.005483,7.712979,[80 85] ; [37 79],[68.70106762 96.29893238] ; [48.29893238 67.70106762],0
s5,1,0.006972,7.280094,[ 59 103] ; [24 89],[ 48.89454545 113.10545455] ; [34.10545455 78.89454545],0
a6,1,0.008068,7.018322,[128  39] ; [72 44],[118.02120141  48.97879859] ; [81.97879859 34.02120141],0
p5,1,0.013256,6.134672,[ 24 140] ; [  6 108],[ 17.69784173 146.30215827] ; [ 12.30215827 101.69784173],0
r3,1,0.0201,5.403203,[162   5] ; [105  11],[157.55830389   9.44169611] ; [109.44169611   6.55830389],0
s2,1,0.021733,5.267014,[92 72] ; [48 66],[82.58992806 81.41007194] ; [57.41007194 56.58992806],0
r4,1,0.024738,5.042161,[154  13] ; [97 19],[148.11660777  18.88339223] ; [102.88339223  13.11660777],0
n6,1,0.032187,4.588494,[144  21] ; [90 26],[137.40213523  27.59786477] ; [96.59786477 19.40213523],0
v4,1,0.037162,4.342971,[161   5] ; [105  10],[157.13879004   8.86120996] ; [108.86120996   6.13879004],0
u3,1,0.037996,4.305195,[26  9] ; [26 24],[21.41176471 13.58823529] ; [30.58823529 19.41176471],0
b3,1,0.04833,3.898464,[41 74] ; [14 51],[35.13888889 79.86111111] ; [19.86111111 45.13888889],0
b2,1,0.04833,3.898464,[41 74] ; [14 51],[35.13888889 79.86111111] ; [19.86111111 45.13888889],0
p10,1,0.053291,3.734783,[140  25] ; [87 28],[133.76785714  31.23214286] ; [93.23214286 21.76785714],0
p12,1,0.062579,3.467685,[ 13 154] ; [  3 113],[  9.44169611 157.55830389] ; [  6.55830389 109.44169611],0
p3,1,0.075051,3.168934,[109  57] ; [64 52],[101.83687943  64.16312057] ; [71.16312057 44.83687943],0
p2,1,0.082237,3.020136,[148  18] ; [95 21],[143.04255319  22.95744681] ; [99.95744681 16.04255319],0
n5,1,0.088118,2.908427,[132  34] ; [82 34],[125.97163121  40.02836879] ; [88.02836879 27.97163121],0
p9,1,0.089524,2.882918,[141  24] ; [90 26],[135.6405694  29.3594306] ; [95.3594306 20.6405694],0
u2,1,0.089708,2.879598,[23 11] ; [25 26],[19.2 14.8] ; [28.8 22.2],0
s6,1,0.112277,2.521869,[117  47] ; [71 43],[110.90647482  53.09352518] ; [77.09352518 36.90647482],0
v1,1,0.123887,2.367474,[91 68] ; [54 59],[84.76102941 74.23897059] ; [60.23897059 52.76102941],0
s7,1,0.168939,1.892335,[80 76] ; [47 63],[74.48120301 81.51879699] ; [52.51879699 57.48120301],0
b1,1,0.200016,1.642258,[ 58 109] ; [49 67],[ 63.14134276 103.85865724] ; [43.85865724 72.14134276],0
s1,1,0.208144,1.58429,[  5 160] ; [  7 107],[  7.09677419 157.90322581] ; [  4.90322581 109.09677419],0
n3,1,0.226398,1.463346,[22 11] ; [21  5],[24.05084746  8.94915254] ; [18.94915254  7.05084746],0
b4,1,0.229626,1.443175,[97 70] ; [59 57],[92.0565371 74.9434629] ; [63.9434629 52.0565371],0
n1,1,0.282434,1.15534,[10 23] ; [11 14],[11.94827586 21.05172414] ; [ 9.05172414 15.94827586],0
n2,1,0.298519,1.080799,[22 10] ; [21  5],[23.72413793  8.27586207] ; [19.27586207  6.72413793],0
s3,1,0.396977,0.717464,[95 67] ; [61 53],[91.56521739 70.43478261] ; [64.43478261 49.56521739],0
s4,1,0.401177,0.704795,[ 20 146] ; [18 98],[ 22.36879433 143.63120567] ; [ 15.63120567 100.36879433],0
b5,1,0.508043,0.438095,[103  64] ; [67 49],[100.3180212  66.6819788] ; [69.6819788 46.3180212],0
p1,1,0.635767,0.224321,[ 14 152] ; [  8 108],[ 12.95035461 153.04964539] ; [  9.04964539 106.95035461],0
a8,1,0.678306,0.172039,[ 18 130] ; [11 94],[ 16.96442688 131.03557312] ; [12.03557312 92.96442688],0
p7,1,0.678507,0.171811,[99 68] ; [71 44],[100.67375887  66.32624113] ; [69.32624113 45.67375887],0
u4,1,0.699927,0.148548,[  4 163] ; [  2 114],[  3.54063604 163.45936396] ; [  2.45936396 113.54063604],0
p8,1,0.759349,0.093841,[89 77] ; [59 55],[87.74285714 78.25714286] ; [60.25714286 53.74285714],0
a1,1,0.948356,0.004195,[  6 161] ; [  4 112],[  5.90106007 161.09893993] ; [  4.09893993 111.90106007],0
