Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000899,11.025,[18  6] ; [ 2 10],[13.33333333 10.66666667] ; [6.66666667 5.33333333],1
p4,1,0.004124,8.228571,[18  6] ; [3 9],[14. 10.] ; [7. 5.],0
n4,1,0.004124,8.228571,[18  6] ; [3 9],[14. 10.] ; [7. 5.],0
p3,1,0.009411,6.743034,[15  9] ; [ 2 10],[11.33333333 12.66666667] ; [5.66666667 6.33333333],0
n5,1,0.010515,6.545455,[20  4] ; [5 7],[16.66666667  7.33333333] ; [8.33333333 3.66666667],0
p8,1,0.012712,6.208762,[14  9] ; [ 2 10],[10.51428571 12.48571429] ; [5.48571429 6.51428571],0
r1,1,0.017706,5.625,[14 10] ; [ 2 10],[10.66666667 13.33333333] ; [5.33333333 6.66666667],0
a6,1,0.017706,5.625,[14 10] ; [ 2 10],[10.66666667 13.33333333] ; [5.33333333 6.66666667],0
s2,1,0.053116,3.74026,[12 12] ; [ 2 10],[ 9.33333333 14.66666667] ; [4.66666667 7.33333333],0
d2,1,0.053116,3.74026,[12 12] ; [ 2 10],[ 9.33333333 14.66666667] ; [4.66666667 7.33333333],0
d1,1,0.065501,3.392308,[ 9 15] ; [ 1 11],[ 6.66666667 17.33333333] ; [3.33333333 8.66666667],0
p10,1,0.073312,3.207273,[19  5] ; [6 6],[16.66666667  7.33333333] ; [8.33333333 3.66666667],0
s7,1,0.085681,2.95371,[12 11] ; [2 8],[ 9.75757576 13.24242424] ; [4.24242424 5.75757576],0
r2,1,0.087356,2.922431,[18  5] ; [6 6],[15.77142857  7.22857143] ; [8.22857143 3.77142857],0
p11,1,0.090602,2.863636,[17  7] ; [5 7],[14.66666667  9.33333333] ; [7.33333333 4.66666667],0
d5,1,0.098439,2.73065,[15  9] ; [4 8],[12.66666667 11.33333333] ; [6.33333333 5.66666667],0
d3,1,0.098439,2.73065,[15  9] ; [4 8],[12.66666667 11.33333333] ; [6.33333333 5.66666667],0
s8,1,0.112695,2.516016,[10 13] ; [ 2 10],[ 7.88571429 15.11428571] ; [4.11428571 7.88571429],0
s6,1,0.123077,2.377717,[12 11] ; [3 9],[ 9.85714286 13.14285714] ; [5.14285714 6.85714286],0
n1,1,0.12506,2.352778,[8 7] ; [1 5],[6.42857143 8.57142857] ; [2.57142857 3.42857143],0
s3,1,0.190732,1.711957,[11 12] ; [3 9],[ 9.2 13.8] ; [4.8 7.2],0
b1,1,0.226765,1.461039,[13 11] ; [9 3],[14.66666667  9.33333333] ; [7.33333333 4.66666667],0
a3,1,0.23568,1.40625,[15  9] ; [5 7],[13.33333333 10.66666667] ; [6.66666667 5.33333333],0
u2,1,0.280425,1.165029,[4 5] ; [5 2],[5.0625 3.9375] ; [3.9375 3.0625],0
n2,1,0.305507,1.05,[11  4] ; [3 3],[10.  5.] ; [4. 2.],0
v3,1,0.31786,0.99773,[ 5 18] ; [ 1 11],[ 3.94285714 19.05714286] ; [2.05714286 9.94285714],0
v1,1,0.33355,0.935065,[ 8 16] ; [6 6],[ 9.33333333 14.66666667] ; [4.66666667 7.33333333],0
u3,1,0.340904,0.907029,[3 6] ; [4 3],[3.9375 5.0625] ; [3.0625 3.9375],0
a7,1,0.342782,0.9,[12 12] ; [4 8],[10.66666667 13.33333333] ; [5.33333333 6.66666667],0
v4,1,0.342782,0.9,[21  3] ; [9 3],[20.  4.] ; [10.  2.],0
s5,1,0.403173,0.698842,[ 9 14] ; [3 9],[ 7.88571429 15.11428571] ; [4.11428571 7.88571429],0
p6,1,0.453255,0.5625,[ 9 15] ; [3 9],[ 8. 16.] ; [4. 8.],0
p9,1,0.456308,0.554936,[18  5] ; [8 4],[17.08571429  5.91428571] ; [8.91428571 3.08571429],0
p5,1,0.495521,0.464516,[ 4 20] ; [ 1 11],[ 3.33333333 20.66666667] ; [ 1.66666667 10.33333333],0
n3,1,0.576999,0.311111,[8 7] ; [4 2],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
a4,1,0.608874,0.261818,[ 8 16] ; [3 9],[ 7.33333333 16.66666667] ; [3.66666667 8.33333333],0
b5,1,0.623627,0.240803,[16  8] ; [7 5],[15.33333333  8.66666667] ; [7.66666667 4.33333333],0
d4,1,0.635256,0.225,[14 10] ; [6 6],[13.33333333 10.66666667] ; [6.66666667 5.33333333],0
v2,1,0.73549,0.11413,[ 7 16] ; [3 9],[ 6.57142857 16.42857143] ; [3.42857143 8.57142857],0
s4,1,0.79246,0.069231,[ 7 17] ; [3 9],[ 6.66666667 17.33333333] ; [3.33333333 8.66666667],0
b3,1,0.794935,0.067552,[ 6 13] ; [1 3],[ 5.7826087 13.2173913] ; [1.2173913 2.7826087],0
b2,1,0.794935,0.067552,[ 6 13] ; [1 3],[ 5.7826087 13.2173913] ; [1.2173913 2.7826087],0
p7,1,0.983339,0.000436,[13 11] ; [6 5],[13.02857143 10.97142857] ; [5.97142857 5.02857143],0
b4,1,1.0,0.0,[14 10] ; [7 5],[14. 10.] ; [7. 5.],0
