Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,30.322306,[120 131] ; [238 101],[152.30169492  98.69830508] ; [205.69830508 133.30169492],1
v3,1,1e-06,23.171409,[ 79 172] ; [173 164],[107.57142857 143.42857143] ; [144.42857143 192.57142857],1
n5,1,2e-05,18.170158,[177  82] ; [290  59],[198.93585526  60.06414474] ; [268.06414474  80.93585526],1
s8,1,0.000101,15.124661,[102 157] ; [191 154],[125.64072848 133.35927152] ; [167.35927152 177.64072848],1
p8,1,0.000332,12.881431,[122 133] ; [214 128],[143.51758794 111.48241206] ; [192.48241206 149.51758794],1
p6,1,0.000336,12.856453,[ 78 180] ; [153 190],[ 99.16472546 158.83527454] ; [131.83527454 211.16472546],1
p4,1,0.000368,12.686573,[142 116] ; [240 107],[162.90247934  95.09752066] ; [219.09752066 127.90247934],1
p3,1,0.003636,8.456969,[121 138] ; [204 144],[138.6738056 120.3261944] ; [186.3261944 161.6738056],0
s2,1,0.004563,8.044822,[120 139] ; [200 145],[137.21854305 121.78145695] ; [182.78145695 162.21854305],0
p2,1,0.005486,7.711828,[209  51] ; [308  40],[221.08552632  38.91447368] ; [295.91447368  52.08552632],0
b5,1,0.010592,6.532576,[140 120] ; [225 126],[155.31914894 104.68085106] ; [209.68085106 141.31914894],0
s5,1,0.010721,6.511005,[ 82 169] ; [145 192],[ 96.89965986 154.10034014] ; [130.10034014 206.89965986],0
p11,1,0.013374,6.118929,[196  64] ; [293  58],[208.08510638  51.91489362] ; [280.91489362  70.08510638],0
u4,1,0.020476,5.370867,[  2 258] ; [ 13 338],[  6.38297872 253.61702128] ; [  8.61702128 342.38297872],0
p9,1,0.022096,5.238236,[213  44] ; [309  37],[222.47761194  34.52238806] ; [299.52238806  46.47761194],0
p10,1,0.023689,5.11723,[206  52] ; [300  46],[216.13907285  41.86092715] ; [289.86092715  56.13907285],0
b2,1,0.030373,4.688036,[50 96] ; [106 127],[60.09498681 85.90501319] ; [ 95.90501319 137.09498681],0
b3,1,0.030373,4.688036,[50 96] ; [106 127],[60.09498681 85.90501319] ; [ 95.90501319 137.09498681],0
p7,1,0.030575,4.676659,[159  98] ; [239 101],[171.33333333  85.66666667] ; [226.66666667 113.33333333],0
s7,1,0.032651,4.563976,[118 129] ; [190 145],[130.71477663 116.28522337] ; [177.28522337 157.71477663],0
n6,1,0.040851,4.182172,[215  45] ; [308  40],[223.65131579  36.34868421] ; [299.34868421  48.65131579],0
s6,1,0.047245,3.936625,[168  87] ; [251  91],[178.96984925  76.03015075] ; [240.03015075 101.96984925],0
a8,1,0.056186,3.646537,[ 27 212] ; [ 53 257],[ 34.82695811 204.17304189] ; [ 45.17304189 264.82695811],0
n2,1,0.060613,3.520545,[54 22] ; [50  9],[58.54814815 17.45185185] ; [45.45185185 13.54814815],0
p5,1,0.0625,3.469779,[ 23 236] ; [ 48 300],[ 30.29489292 228.70510708] ; [ 40.70510708 307.29489292],0
r1,1,0.067235,3.349277,[223  36] ; [317  32],[230.03289474  28.96710526] ; [309.96710526  39.03289474],0
r2,1,0.076139,3.145444,[251   7] ; [346   3],[253.74958814   4.25041186] ; [343.25041186   5.74958814],0
a3,1,0.101532,2.681319,[200  60] ; [288  62],[208.  52.] ; [280.  70.],0
u3,1,0.111764,2.529105,[31 28] ; [42 21],[35.30327869 23.69672131] ; [37.69672131 25.30327869],0
u1,1,0.129202,2.302069,[ 53 207] ; [ 90 261],[ 60.85106383 199.14893617] ; [ 82.14893617 268.85106383],0
p1,1,0.159009,1.983629,[ 17 242] ; [ 34 314],[ 21.76112026 237.23887974] ; [ 29.23887974 318.76112026],0
b4,1,0.180489,1.79359,[146 114] ; [216 135],[154.04255319 105.95744681] ; [207.95744681 143.04255319],0
n4,1,0.183693,1.767491,[205  55] ; [290  59],[211.33004926  48.66995074] ; [283.66995074  65.33004926],0
d1,1,0.209398,1.575581,[169  91] ; [245 106],[176.17021277  83.82978723] ; [237.82978723 113.17021277],0
p12,1,0.241096,1.374173,[ 19 239] ; [ 35 311],[ 23.06622517 234.93377483] ; [ 30.93377483 315.06622517],0
d5,1,0.247346,1.338234,[217  42] ; [304  45],[221.93914474  37.06085526] ; [299.06085526  49.93914474],0
v4,1,0.266363,1.235383,[253   7] ; [345   5],[254.8852459   5.1147541] ; [343.1147541   6.8852459],0
a6,1,0.284745,1.144302,[197  62] ; [252  97],[191.26809211  67.73190789] ; [257.73190789  91.26809211],0
a2,1,0.358209,0.844163,[ 79 181] ; [119 232],[ 84.25531915 175.74468085] ; [113.74468085 237.25531915],0
n1,1,0.369822,0.804264,[25 47] ; [25 34],[27.48091603 44.51908397] ; [22.51908397 36.48091603],0
s1,1,0.373376,0.792397,[ 10 247] ; [  9 336],[  8.11129568 248.88870432] ; [ 10.88870432 334.11129568],0
s3,1,0.402624,0.700476,[140 118] ; [199 146],[145.04477612 112.95522388] ; [193.95522388 151.04477612],0
s4,1,0.412983,0.670198,[ 47 211] ; [ 54 290],[ 43.28571429 214.71428571] ; [ 57.71428571 286.28571429],0
a7,1,0.462124,0.540745,[191  69] ; [267  84],[194.89361702  65.10638298] ; [263.10638298  87.89361702],0
a4,1,0.463499,0.537433,[136 124] ; [193 156],[140.45977011 119.54022989] ; [188.54022989 160.45977011],0
d2,1,0.486092,0.485165,[145 113] ; [206 143],[149.18945634 108.81054366] ; [201.81054366 147.18945634],0
n3,1,0.48817,0.480557,[57 16] ; [43 16],[55.3030303 17.6969697] ; [44.6969697 14.3030303],0
u2,1,0.551058,0.355425,[35 24] ; [34 29],[33.36885246 25.63114754] ; [35.63114754 27.36885246],0
