Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.4e-05,18.813224,[58 15] ; [12 21],[48.20754717 24.79245283] ; [21.79245283 11.20754717],1
s7,1,0.006069,7.529632,[28 41] ; [ 4 27],[22.08 46.92] ; [ 9.92 21.08],0
n6,1,0.022816,5.182475,[54 19] ; [17 16],[48.89622642 24.10377358] ; [22.10377358 10.89622642],0
v3,1,0.024804,5.03751,[21 50] ; [ 3 29],[16.54368932 54.45631068] ; [ 7.45631068 24.54368932],0
s6,1,0.025954,4.959108,[39 32] ; [10 22],[33.77669903 37.22330097] ; [15.22330097 16.77669903],0
p10,1,0.0271,4.884453,[46 26] ; [13 19],[40.84615385 31.15384615] ; [18.15384615 13.84615385],0
u2,1,0.051804,3.78209,[16 26] ; [14  8],[19.6875 22.3125] ; [10.3125 11.6875],0
p9,1,0.057355,3.612263,[50 22] ; [16 16],[45.69230769 26.30769231] ; [20.30769231 11.69230769],0
p4,1,0.110841,2.542186,[36 36] ; [11 22],[32.22857143 39.77142857] ; [14.77142857 18.22857143],0
d4,1,0.124129,2.364428,[32 40] ; [20 13],[35.65714286 36.34285714] ; [16.34285714 16.65714286],0
p8,1,0.135119,2.232684,[31 42] ; [ 9 24],[27.54716981 45.45283019] ; [12.45283019 20.54716981],0
a1,1,0.153243,2.039673,[ 2 71] ; [ 3 30],[ 3.44339623 69.55660377] ; [ 1.55660377 31.44339623],0
b1,1,0.23814,1.391568,[33 40] ; [19 14],[35.81132075 37.18867925] ; [16.18867925 16.81132075],0
a4,1,0.265903,1.237761,[13 60] ; [ 9 24],[15.1509434 57.8490566] ; [ 6.8490566 26.1509434],0
a6,1,0.275943,1.186964,[23 50] ; [ 7 26],[20.66037736 52.33962264] ; [ 9.33962264 23.66037736],0
p6,1,0.276859,1.182444,[23 48] ; [ 7 25],[20.67961165 50.32038835] ; [ 9.32038835 22.67961165],0
v1,1,0.300505,1.071951,[33 40] ; [11 21],[30.59047619 42.40952381] ; [13.40952381 18.59047619],0
s8,1,0.339883,0.910872,[22 51] ; [ 7 26],[19.97169811 53.02830189] ; [ 9.02830189 23.97169811],0
u3,1,0.359702,0.838934,[16 26] ; [11 11],[17.71875 24.28125] ; [ 9.28125 12.71875],0
n3,1,0.367749,0.811257,[13 15] ; [8 5],[14.34146341 13.65853659] ; [6.65853659 6.34146341],0
b5,1,0.412804,0.670709,[38 35] ; [20 13],[39.94339623 33.05660377] ; [18.05660377 14.94339623],0
s1,1,0.414092,0.667021,[ 5 66] ; [ 1 32],[ 4.09615385 66.90384615] ; [ 1.90384615 31.09615385],0
p1,1,0.424361,0.638207,[ 8 65] ; [ 2 31],[ 6.88679245 66.11320755] ; [ 3.11320755 29.88679245],0
a3,1,0.435993,0.606807,[31 42] ; [11 21],[29.2 43.8] ; [12.8 19.2],0
r3,1,0.460731,0.544118,[55 18] ; [27  6],[56.47169811 16.52830189] ; [25.52830189  7.47169811],0
r2,1,0.488701,0.479385,[56 15] ; [24  9],[54.61538462 16.38461538] ; [25.38461538  7.61538462],0
s5,1,0.524658,0.404727,[19 52] ; [ 6 23],[17.75 53.25] ; [ 7.25 21.75],0
r1,1,0.546803,0.363077,[40 33] ; [16 17],[38.56603774 34.43396226] ; [17.43396226 15.56603774],0
p2,1,0.608865,0.26183,[48 25] ; [20 13],[46.83018868 26.16981132] ; [21.16981132 11.83018868],0
b4,1,0.6742,0.176728,[43 30] ; [18 15],[42.00943396 30.99056604] ; [18.99056604 14.00943396],0
s2,1,0.680005,0.17012,[27 45] ; [11 22],[26.05714286 45.94285714] ; [11.94285714 21.05714286],0
r4,1,0.70883,0.139448,[47 26] ; [20 13],[46.14150943 26.85849057] ; [20.85849057 12.14150943],0
p3,1,0.733005,0.116371,[20 53] ; [ 8 25],[19.28301887 53.71698113] ; [ 8.71698113 24.28301887],0
p11,1,0.742055,0.108328,[44 29] ; [21 12],[44.76415094 28.23584906] ; [20.23584906 12.76415094],0
p7,1,0.745112,0.105685,[39 32] ; [17 16],[38.23076923 32.76923077] ; [17.76923077 15.23076923],0
n2,1,0.756014,0.096546,[18 10] ; [9 4],[18.43902439  9.56097561] ; [8.56097561 4.43902439],0
s4,1,0.777175,0.08009,[15 58] ; [ 6 27],[14.46226415 58.53773585] ; [ 6.53773585 26.46226415],0
d1,1,0.777175,0.08009,[15 58] ; [ 6 27],[14.46226415 58.53773585] ; [ 6.53773585 26.46226415],0
s3,1,0.779872,0.078112,[37 35] ; [15 16],[36.34951456 35.65048544] ; [15.65048544 15.34951456],0
d3,1,0.819386,0.052137,[26 47] ; [11 22],[25.48113208 47.51886792] ; [11.51886792 21.48113208],0
v4,1,0.853193,0.034242,[57 14] ; [27  6],[57.34615385 13.65384615] ; [26.65384615  6.34615385],0
d5,1,0.876542,0.024135,[32 41] ; [15 18],[32.36792453 40.63207547] ; [14.63207547 18.36792453],0
v2,1,0.894514,0.017581,[25 42] ; [12 19],[25.29591837 41.70408163] ; [11.70408163 19.29591837],0
a8,1,0.928375,0.00808,[ 6 62] ; [ 3 29],[ 6.12 61.88] ; [ 2.88 29.12],0
n1,1,0.95985,0.002534,[11 17] ; [5 8],[10.92682927 17.07317073] ; [5.07317073 7.92682927],0
b2,1,0.96084,0.002411,[10 33] ; [ 5 16],[10.078125 32.921875] ; [ 4.921875 16.078125],0
b3,1,0.96084,0.002411,[10 33] ; [ 5 16],[10.078125 32.921875] ; [ 4.921875 16.078125],0
