Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,58.951892,[ 1 10] ; [163  16],[9.49473684 1.50526316] ; [154.50526316  24.49473684],1
r1,1,3e-06,21.989598,[3 8] ; [151  28],[8.91578947 2.08421053] ; [145.08421053  33.91578947],1
r3,1,3e-06,21.92946,[8 3] ; [174   3],[10.64893617  0.35106383] ; [171.35106383   5.64893617],1
p9,1,1.4e-05,18.901322,[3 8] ; [144  31],[8.69354839 2.30645161] ; [138.30645161  36.69354839],1
n6,1,0.000148,14.40107,[4 7] ; [148  30],[8.84656085 2.15343915] ; [143.15343915  34.84656085],1
v4,1,0.001671,9.879952,[8 3] ; [171   8],[10.36315789  0.63684211] ; [168.63684211  10.36315789],0
p10,1,0.001943,9.602635,[4 7] ; [137  39],[8.29411765 2.70588235] ; [132.70588235  43.29411765],0
p2,1,0.007633,7.117555,[4 7] ; [132  47],[7.87368421 3.12631579] ; [128.12631579  50.87368421],0
a5,1,0.018444,5.55345,[4 7] ; [126  53],[7.52631579 3.47368421] ; [122.47368421  56.52631579],0
v3,1,0.022173,5.232156,[2 9] ; [94 81],[5.67741935 5.32258065] ; [90.32258065 84.67741935],0
s8,1,0.028674,4.787066,[ 1 10] ; [ 76 103],[4.45789474 6.54210526] ; [ 72.54210526 106.45789474],0
p7,1,0.074813,3.174139,[3 8] ; [95 78],[5.85869565 5.14130435] ; [92.14130435 80.85869565],0
s1,1,0.101855,2.676255,[ 1 10] ; [  3 172],[ 0.23655914 10.76344086] ; [  3.76344086 171.23655914],0
s7,1,0.119948,2.418005,[2 8] ; [78 95],[4.3715847 5.6284153] ; [75.6284153 97.3715847],0
a6,1,0.147056,2.10253,[5 6] ; [119  59],[7.21693122 3.78306878] ; [116.78306878  61.21693122],0
s2,1,0.174834,1.840999,[3 8] ; [86 92],[5.17989418 5.82010582] ; [83.82010582 94.17989418],0
v1,1,0.19095,1.710276,[4 7] ; [99 76],[6.09139785 4.90860215] ; [96.90860215 78.09139785],0
d1,1,0.194008,1.686918,[4 7] ; [101  78],[6.07894737 4.92105263] ; [98.92105263 80.07894737],0
d5,1,0.199387,1.64686,[7 4] ; [143  36],[8.68421053 2.31578947] ; [141.31578947  37.68421053],0
b1,1,0.225039,1.471945,[6 5] ; [ 65 114],[4.11052632 6.88947368] ; [ 66.88947368 112.11052632],0
d4,1,0.257995,1.279483,[8 3] ; [152  26],[9.31216931 1.68783069] ; [150.68783069  27.31216931],0
u2,1,0.264004,1.247637,[3 1] ; [23 27],[1.92592593 2.07407407] ; [24.07407407 25.92592593],0
s3,1,0.273057,1.201323,[4 7] ; [95 83],[5.76190476 5.23809524] ; [93.23809524 84.76190476],0
p8,1,0.276721,1.183121,[2 9] ; [ 59 114],[3.64673913 7.35326087] ; [ 57.35326087 115.64673913],0
a4,1,0.356287,0.850939,[3 8] ; [ 74 105],[4.45789474 6.54210526] ; [ 72.54210526 106.45789474],0
b4,1,0.374691,0.788048,[8 3] ; [106  73],[6.6 4.4] ; [107.4  71.6],0
p11,1,0.408849,0.682146,[7 4] ; [134  45],[8.16315789 2.83684211] ; [132.83684211  46.16315789],0
a2,1,0.432559,0.615942,[ 1 10] ; [ 33 146],[1.96842105 9.03157895] ; [ 32.03157895 146.96842105],0
d3,1,0.516121,0.421638,[6 5] ; [115  64],[7.00526316 3.99473684] ; [113.99473684  65.00526316],0
n2,1,0.528733,0.396825,[3 2] ; [33 12],[3.6 1.4] ; [32.4 12.6],0
a3,1,0.555533,0.347497,[7 4] ; [128  50],[7.85714286 3.14285714] ; [127.14285714  50.85714286],0
a1,1,0.558048,0.343096,[ 1 10] ; [  9 170],[ 0.57894737 10.42105263] ; [  9.42105263 169.57894737],0
a7,1,0.584742,0.298631,[7 4] ; [127  51],[7.7989418 3.2010582] ; [126.2010582  51.7989418],0
n4,1,0.61426,0.254019,[7 4] ; [126  52],[7.74074074 3.25925926] ; [125.25925926  52.74074074],0
p1,1,0.62907,0.233325,[ 1 10] ; [ 10 169],[ 0.63684211 10.36315789] ; [ 10.36315789 168.63684211],0
b5,1,0.648403,0.20792,[6 5] ; [110  69],[6.71578947 4.28421053] ; [109.28421053  69.71578947],0
a8,1,0.6565,0.197803,[1 9] ; [ 25 140],[1.48571429 8.51428571] ; [ 24.51428571 140.48571429],0
n3,1,0.674514,0.176367,[4 1] ; [32 13],[3.6 1.4] ; [32.4 12.6],0
b2,1,0.781913,0.076633,[2 4] ; [39 61],[2.32075472 3.67924528] ; [38.67924528 61.32075472],0
b3,1,0.781913,0.076633,[2 4] ; [39 61],[2.32075472 3.67924528] ; [38.67924528 61.32075472],0
s6,1,0.824261,0.049314,[6 5] ; [102  74],[6.35294118 4.64705882] ; [101.64705882  74.35294118],0
s4,1,0.862998,0.029777,[2 9] ; [ 29 150],[1.79473684 9.20526316] ; [ 29.20526316 149.79473684],0
d2,1,0.886587,0.020342,[5 6] ; [ 77 101],[4.77248677 6.22751323] ; [ 77.22751323 100.77248677],0
u3,1,0.969872,0.001426,[2 2] ; [25 26],[1.96363636 2.03636364] ; [25.03636364 25.96363636],0
n5,1,0.980849,0.000576,[7 4] ; [112  65],[6.96276596 4.03723404] ; [112.03723404  64.96276596],0
p6,1,1.0,0.0,[2 8] ; [ 35 140],[2. 8.] ; [ 35. 140.],0
