Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,69.473913,[59 31] ; [ 17 121],[30. 60.] ; [46. 92.],1
s6,1,0.000221,13.639405,[65 24] ; [65 70],[51.65178571 37.34821429] ; [78.34821429 56.65178571],1
s8,1,0.00515,7.825975,[30 60] ; [ 24 115],[21.22270742 68.77729258] ; [ 32.77729258 106.22270742],0
p12,1,0.024785,5.03882,[10 80] ; [  5 134],[ 5.89519651 84.10480349] ; [  9.10480349 129.89519651],0
s4,1,0.033807,4.504456,[18 70] ; [ 14 122],[12.57142857 75.42857143] ; [ 19.42857143 116.57142857],0
p11,1,0.084628,2.973696,[69 21] ; [119  20],[73.88646288 16.11353712] ; [114.11353712  24.88646288],0
r4,1,0.096991,2.754331,[84  6] ; [120  19],[80.17467249  9.82532751] ; [123.82532751  15.17467249],0
v3,1,0.108885,2.570326,[34 52] ; [39 95],[28.53636364 57.46363636] ; [44.46363636 89.53636364],0
n6,1,0.150806,2.064078,[68 21] ; [116  22],[72.14096916 16.85903084] ; [111.85903084  26.14096916],0
a2,1,0.155441,2.018032,[21 69] ; [ 22 117],[16.89956332 73.10043668] ; [ 26.10043668 112.89956332],0
a7,1,0.156135,2.011266,[72 17] ; [101  38],[67.53070175 21.46929825] ; [105.46929825  33.53070175],0
d5,1,0.170207,1.88112,[70 20] ; [118  21],[73.88646288 16.11353712] ; [114.11353712  24.88646288],0
p9,1,0.20296,1.620948,[69 21] ; [116  23],[72.70742358 17.29257642] ; [112.29257642  26.70742358],0
n3,1,0.208161,1.584171,[15  2] ; [18  7],[13.35714286  3.64285714] ; [19.64285714  5.35714286],0
r3,1,0.217497,1.520811,[87  3] ; [129  10],[84.89082969  5.10917031] ; [131.10917031   7.89082969],0
b1,1,0.220239,1.502812,[41 49] ; [52 87],[36.55021834 53.44978166] ; [56.44978166 82.55021834],0
n4,1,0.260192,1.267737,[64 26] ; [108  31],[67.59825328 22.40174672] ; [104.40174672  34.59825328],0
p1,1,0.29082,1.115822,[ 6 84] ; [ 15 124],[ 8.25327511 81.74672489] ; [ 12.74672489 126.25327511],0
a4,1,0.318142,0.996569,[35 54] ; [64 75],[38.64473684 50.35526316] ; [60.35526316 78.64473684],0
p8,1,0.321614,0.982373,[52 37] ; [89 48],[55.52654867 33.47345133] ; [85.47345133 51.52654867],0
b5,1,0.359586,0.839337,[56 34] ; [78 61],[52.66375546 37.33624454] ; [81.33624454 57.66375546],0
s5,1,0.491009,0.474315,[23 64] ; [ 30 104],[20.86425339 66.13574661] ; [ 32.13574661 101.86425339],0
p7,1,0.514934,0.424027,[63 26] ; [92 46],[60.77092511 28.22907489] ; [94.22907489 43.77092511],0
a8,1,0.515024,0.423845,[ 7 80] ; [ 13 108],[ 8.36538462 78.63461538] ; [ 11.63461538 109.36538462],0
a1,1,0.528255,0.397748,[ 4 86] ; [  4 135],[ 3.1441048 86.8558952] ; [  4.8558952 134.1441048],0
n2,1,0.550868,0.355765,[13  4] ; [17  8],[12.14285714  4.85714286] ; [17.85714286  7.14285714],0
v2,1,0.592859,0.285902,[45 40] ; [77 59],[46.92307692 38.07692308] ; [75.07692308 60.92307692],0
p6,1,0.593128,0.285485,[38 51] ; [54 84],[36.07048458 52.92951542] ; [55.92951542 82.07048458],0
v1,1,0.625342,0.238431,[46 41] ; [77 60],[47.77232143 39.22767857] ; [75.22767857 61.77232143],0
b3,1,0.635363,0.224858,[17 37] ; [28 51],[18.27067669 35.72932331] ; [26.72932331 52.27067669],0
b2,1,0.635363,0.224858,[17 37] ; [28 51],[18.27067669 35.72932331] ; [26.72932331 52.27067669],0
d2,1,0.679387,0.170816,[42 48] ; [61 78],[40.48034934 49.51965066] ; [62.51965066 76.48034934],0
p2,1,0.692674,0.156206,[78 12] ; [117  21],[76.97368421 13.02631579] ; [118.02631579  19.97368421],0
u3,1,0.724477,0.124244,[19 15] ; [34 23],[19.8021978 14.1978022] ; [33.1978022 23.8021978],0
v4,1,0.725155,0.123607,[84  6] ; [128  11],[83.31877729  6.68122271] ; [128.68122271  10.31877729],0
p5,1,0.741641,0.108689,[ 9 80] ; [ 16 123],[ 9.75877193 79.24122807] ; [ 15.24122807 123.75877193],0
p10,1,0.744205,0.106465,[70 19] ; [111  27],[70.96475771 18.03524229] ; [110.03524229  27.96475771],0
a6,1,0.74849,0.102804,[61 29] ; [97 42],[62.09606987 27.90393013] ; [95.90393013 43.09606987],0
u2,1,0.750675,0.100965,[16 19] ; [28 29],[16.73913043 18.26086957] ; [27.26086957 29.73913043],0
n1,1,0.756871,0.095847,[ 6 11] ; [ 8 18],[ 5.53488372 11.46511628] ; [ 8.46511628 17.53488372],0
d3,1,0.791453,0.06992,[63 27] ; [95 44],[62.09606987 27.90393013] ; [95.90393013 43.09606987],0
a3,1,0.795307,0.067301,[54 36] ; [81 58],[53.05676856 36.94323144] ; [81.94323144 57.05676856],0
d1,1,0.795307,0.067301,[54 36] ; [81 58],[53.05676856 36.94323144] ; [81.94323144 57.05676856],0
u1,1,0.808318,0.058853,[14 76] ; [ 20 119],[13.36244541 76.63755459] ; [ 20.63755459 118.36244541],0
d4,1,0.81542,0.054494,[73 17] ; [111  28],[72.31441048 17.68558952] ; [111.68558952  27.31441048],0
n5,1,0.824174,0.049364,[64 26] ; [100  38],[64.73684211 25.26315789] ; [99.26315789 38.73684211],0
p3,1,0.832666,0.044641,[55 35] ; [83 56],[54.23580786 35.76419214] ; [83.76419214 55.23580786],0
r2,1,0.899278,0.016021,[81  8] ; [124  13],[80.7300885  8.2699115] ; [124.2699115  12.7300885],0
r1,1,0.923125,0.009312,[69 20] ; [107  32],[68.70175439 20.29824561] ; [107.29824561  31.70175439],0
s1,1,0.94033,0.005603,[ 3 85] ; [  5 134],[ 3.10132159 84.89867841] ; [  4.89867841 134.10132159],0
b4,1,0.973293,0.001121,[52 38] ; [80 59],[51.87772926 38.12227074] ; [80.12227074 58.87772926],0
a5,1,0.993602,6.4e-05,[66 24] ; [102  37],[66.02620087 23.97379913] ; [101.97379913  37.02620087],0
