Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.911261,[15 26] ; [106  30],[28.02824859 12.97175141] ; [92.97175141 43.02824859],1
a6,1,9e-06,19.772133,[17 24] ; [106  30],[28.49152542 12.50847458] ; [94.50847458 41.49152542],1
p10,1,0.002989,8.814365,[25 16] ; [112  23],[31.91477273  9.08522727] ; [105.08522727  29.91477273],0
r3,1,0.01947,5.458833,[36  5] ; [130   4],[38.89142857  2.10857143] ; [127.10857143   6.89142857],0
p9,1,0.019789,5.430401,[27 14] ; [111  23],[32.33142857  8.66857143] ; [105.66857143  28.33142857],0
a2,1,0.020258,5.389561,[ 4 37] ; [37 99],[ 9.49717514 31.50282486] ; [ 31.50282486 104.49717514],0
r1,1,0.025299,5.003309,[29 12] ; [116  19],[33.77840909  7.22159091] ; [111.22159091  23.77840909],0
v4,1,0.026264,4.938531,[34  7] ; [126   8],[37.48571429  3.51428571] ; [122.51428571  11.48571429],0
b5,1,0.037166,4.342796,[15 26] ; [75 61],[20.84745763 20.15254237] ; [69.15254237 66.84745763],0
u1,1,0.050026,3.840603,[ 3 38] ; [ 28 108],[ 7.18079096 33.81920904] ; [ 23.81920904 112.18079096],0
d1,1,0.053575,3.725894,[19 22] ; [86 50],[24.3220339 16.6779661] ; [80.6779661 55.3220339],0
p2,1,0.097047,2.753417,[26 15] ; [104  32],[30.11299435 10.88700565] ; [99.88700565 36.11299435],0
b1,1,0.119652,2.42187,[20 21] ; [48 88],[15.75141243 25.24858757] ; [52.24858757 83.75141243],0
s6,1,0.122,2.39146,[21 20] ; [86 47],[25.21264368 15.78735632] ; [81.78735632 51.21264368],0
n5,1,0.146512,2.10819,[22 19] ; [88 45],[25.91954023 15.08045977] ; [84.08045977 48.91954023],0
d4,1,0.147402,2.098937,[31 10] ; [116  20],[34.05084746  6.94915254] ; [112.94915254  23.05084746],0
u3,1,0.160622,1.968356,[3 8] ; [18 17],[5.02173913 5.97826087] ; [15.97826087 19.02173913],0
p11,1,0.174233,1.846141,[27 14] ; [104  32],[30.34463277 10.65536723] ; [100.65536723  35.34463277],0
r4,1,0.204028,1.613301,[33  8] ; [120  16],[35.44067797  5.55932203] ; [117.55932203  18.44067797],0
p5,1,0.207217,1.590766,[ 1 40] ; [ 11 125],[ 2.77966102 38.22033898] ; [  9.22033898 126.77966102],0
r2,1,0.270466,1.21438,[36  4] ; [128   7],[37.48571429  2.51428571] ; [126.51428571   8.48571429],0
a1,1,0.309708,1.03192,[ 1 40] ; [  9 127],[ 2.31638418 38.68361582] ; [  7.68361582 128.31638418],0
p7,1,0.331068,0.944715,[27 13] ; [79 55],[24.36781609 15.63218391] ; [81.63218391 52.36781609],0
v3,1,0.343835,0.896079,[16 24] ; [65 69],[18.62068966 21.37931034] ; [62.37931034 71.62068966],0
n6,1,0.347587,0.882247,[31 10] ; [111  24],[33.07954545  7.92045455] ; [108.92045455  26.07954545],0
a4,1,0.373861,0.790792,[14 27] ; [57 79],[16.44632768 24.55367232] ; [54.55367232 81.44632768],0
s1,1,0.375583,0.785111,[ 1 40] ; [  1 132],[ 0.47126437 40.52873563] ; [  1.52873563 131.47126437],0
p1,1,0.379004,0.773929,[ 1 40] ; [  8 128],[ 2.08474576 38.91525424] ; [  6.91525424 129.08474576],0
s8,1,0.381686,0.765263,[13 28] ; [53 82],[15.375 25.625] ; [50.625 84.375],0
s2,1,0.404181,0.695853,[17 24] ; [66 69],[19.33522727 21.66477273] ; [63.66477273 71.33522727],0
a8,1,0.427174,0.630494,[ 3 36] ; [ 15 107],[ 4.36024845 34.63975155] ; [ 13.63975155 108.36024845],0
s3,1,0.476305,0.507311,[20 20] ; [75 58],[21.96531792 18.03468208] ; [73.03468208 59.96531792],0
n4,1,0.528257,0.397744,[28 13] ; [99 36],[29.58522727 11.41477273] ; [97.41477273 37.58522727],0
d5,1,0.537013,0.381103,[33  8] ; [115  21],[34.28248588  6.71751412] ; [113.71751412  22.28248588],0
p6,1,0.543449,0.369184,[12 28] ; [ 34 101],[10.51428571 29.48571429] ; [35.48571429 99.51428571],0
p4,1,0.559485,0.340596,[22 17] ; [69 66],[20.39655172 18.60344828] ; [70.60344828 64.39655172],0
n3,1,0.589263,0.291496,[11  2] ; [24  7],[10.34090909  2.65909091] ; [24.65909091  6.34090909],0
n1,1,0.607777,0.263425,[4 9] ; [ 7 23],[3.3255814 9.6744186] ; [ 7.6744186 22.3255814],0
u2,1,0.620474,0.245201,[5 5] ; [14 20],[4.31818182 5.68181818] ; [14.68181818 19.31818182],0
b4,1,0.63159,0.229911,[23 18] ; [82 54],[24.3220339 16.6779661] ; [80.6779661 55.3220339],0
p8,1,0.645824,0.211206,[20 20] ; [61 72],[18.7283237 21.2716763] ; [62.2716763 70.7283237],0
p3,1,0.675756,0.174942,[19 22] ; [58 78],[17.83615819 23.16384181] ; [59.16384181 76.83615819],0
a5,1,0.813593,0.055599,[30 11] ; [102  34],[30.57627119 10.42372881] ; [101.42372881  34.57627119],0
s4,1,0.83355,0.044163,[ 7 34] ; [ 25 110],[ 7.45454545 33.54545455] ; [ 24.54545455 110.45454545],0
n2,1,0.888322,0.01972,[11  3] ; [23  7],[10.81818182  3.18181818] ; [23.18181818  6.81818182],0
a3,1,0.888657,0.019601,[30 11] ; [101  35],[30.34463277 10.65536723] ; [100.65536723  35.34463277],0
d2,1,0.891111,0.018741,[21 20] ; [68 68],[20.61581921 20.38418079] ; [68.38418079 67.61581921],0
b3,1,0.908992,0.013067,[ 9 19] ; [25 50],[ 9.24271845 18.75728155] ; [24.75728155 50.24271845],0
b2,1,0.908992,0.013067,[ 9 19] ; [25 50],[ 9.24271845 18.75728155] ; [24.75728155 50.24271845],0
s5,1,0.9097,0.012863,[12 26] ; [42 87],[12.28742515 25.71257485] ; [41.71257485 87.28742515],0
s7,1,0.913399,0.011827,[17 21] ; [59 70],[17.29341317 20.70658683] ; [58.70658683 70.29341317],0
