Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,2e-06,22.409838,[  8 268] ; [14 67],[ 17.00840336 258.99159664] ; [ 4.99159664 76.00840336],1
s2,1,3.8e-05,16.977121,[ 68 205] ; [40 42],[ 83.05352113 189.94647887] ; [24.94647887 57.05352113],1
s6,1,0.000339,12.842191,[126 148] ; [55 25],[140.0960452 133.9039548] ; [40.9039548 39.0960452],1
b5,1,0.003472,8.541127,[179  97] ; [39 44],[167.59888579 108.40111421] ; [50.40111421 32.59888579],0
d4,1,0.00381,8.372238,[208  68] ; [74  8],[217.40782123  58.59217877] ; [64.59217877 17.40782123],0
s3,1,0.010359,6.572111,[ 93 179] ; [40 40],[102.77272727 169.22727273] ; [30.22727273 49.77272727],0
a7,1,0.016676,5.730173,[208  67] ; [51 31],[199.50980392  75.49019608] ; [59.49019608 22.50980392],0
p3,1,0.018222,5.574718,[104 171] ; [43 39],[113.23529412 161.76470588] ; [33.76470588 48.23529412],0
p1,1,0.020386,5.378518,[ 16 259] ; [11 70],[ 20.85674157 254.14325843] ; [ 6.14325843 74.85674157],0
a1,1,0.024672,5.046772,[  6 270] ; [ 6 77],[  9.22562674 266.77437326] ; [ 2.77437326 80.22562674],0
p7,1,0.028825,4.778034,[148 121] ; [55 25],[156.46704871 112.53295129] ; [46.53295129 33.46704871],0
p12,1,0.036809,4.359234,[ 13 261] ; [ 9 72],[ 16.98028169 257.01971831] ; [ 5.01971831 75.98028169],0
n6,1,0.043257,4.085311,[221  53] ; [74  8],[227.0505618  46.9494382] ; [67.9494382 14.0505618],0
v1,1,0.044581,4.03441,[128 140] ; [49 32],[135.91977077 132.08022923] ; [41.08022923 39.91977077],0
b3,1,0.063265,3.449658,[ 43 104] ; [21 27],[48.24615385 98.75384615] ; [15.75384615 32.24615385],0
b2,1,0.063265,3.449658,[ 43 104] ; [21 27],[48.24615385 98.75384615] ; [15.75384615 32.24615385],0
p10,1,0.082806,3.008947,[215  57] ; [71 10],[220.37393768  51.62606232] ; [65.62606232 15.37393768],0
d1,1,0.086095,2.945923,[140 136] ; [51 32],[146.84122563 129.15877437] ; [44.15877437 38.84122563],0
p6,1,0.09281,2.824954,[ 72 199] ; [29 51],[ 77.98005698 193.01994302] ; [23.01994302 56.98005698],0
r3,1,0.109127,2.566812,[266   9] ; [76  6],[263.44537815  11.55462185] ; [78.55462185  3.44537815],0
r1,1,0.116329,2.466058,[205  70] ; [68 14],[210.29411765  64.70588235] ; [62.70588235 19.29411765],0
p8,1,0.11879,2.433202,[132 139] ; [48 34],[138.18696884 132.81303116] ; [41.81303116 40.18696884],0
u2,1,0.144618,2.128125,[62 47] ; [14 19],[58.33802817 50.66197183] ; [17.66197183 15.33802817],0
p9,1,0.233399,1.420024,[229  46] ; [71  9],[232.3943662  42.6056338] ; [67.6056338 12.3943662],0
p4,1,0.248425,1.332139,[140 133] ; [48 34],[144.57464789 128.42535211] ; [43.42535211 38.57464789],0
a5,1,0.292488,1.108136,[179  97] ; [59 24],[182.97493036  93.02506964] ; [55.02506964 27.97493036],0
r4,1,0.329189,0.952086,[242  34] ; [76  7],[244.47910864  31.52089136] ; [73.52089136  9.47910864],0
v4,1,0.343252,0.898249,[258  18] ; [78  3],[259.76470588  16.23529412] ; [76.23529412  4.76470588],0
