Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,61.60524,[149  84] ; [ 39 124],[110.61616162 122.38383838] ; [77.38383838 85.61616162],1
p6,1,0.0,51.565242,[ 98 133] ; [ 15 148],[ 66.25126904 164.74873096] ; [ 46.74873096 116.25126904],1
p3,1,0.0,39.742709,[132 102] ; [ 40 123],[101.38035264 132.61964736] ; [70.61964736 92.38035264],1
p4,1,0.0,30.588942,[152  82] ; [ 60 103],[124.95717884 109.04282116] ; [87.04282116 75.95717884],1
p2,1,0.0,28.49566,[209  24] ; [112  52],[188.39546599  44.60453401] ; [132.60453401  31.39546599],1
p10,1,4.2e-05,16.78947,[190  43] ; [103  60],[172.39646465  60.60353535] ; [120.60353535  42.39646465],1
p9,1,0.000833,11.165722,[190  43] ; [109  54],[175.92676768  57.07323232] ; [123.07323232  39.92676768],1
p11,1,0.000934,10.954452,[192  42] ; [111  53],[178.14572864  55.85427136] ; [124.85427136  39.14572864],1
v4,1,0.002492,9.14631,[224   7] ; [146  17],[216.92893401  14.07106599] ; [153.07106599   9.92893401],0
r4,1,0.003214,8.681634,[224  10] ; [144  20],[216.36180905  17.63819095] ; [151.63819095  12.36180905],0
n6,1,0.004632,8.017704,[194  38] ; [117  46],[182.66329114  49.33670886] ; [128.33670886  34.66329114],0
r3,1,0.007387,7.176488,[226   6] ; [149  14],[220.25316456  11.74683544] ; [154.74683544   8.25316456],0
n5,1,0.01268,6.213198,[169  63] ; [100  64],[157.5959596  74.4040404] ; [111.4040404  52.5959596],0
s7,1,0.015578,5.849936,[ 72 151] ; [ 33 124],[ 61.61842105 161.38157895] ; [ 43.38157895 113.61842105],0
a8,1,0.02833,4.807872,[ 30 176] ; [ 11 143],[ 23.46111111 182.53888889] ; [ 17.53888889 136.46111111],0
v2,1,0.038755,4.271573,[132  90] ; [76 80],[122.15873016  99.84126984] ; [85.84126984 70.15873016],0
s1,1,0.04187,4.140457,[  6 226] ; [ 11 150],[ 10.03562341 221.96437659] ; [  6.96437659 154.03562341],0
a3,1,0.050713,3.817717,[163  70] ; [98 64],[153.95696203  79.04303797] ; [107.04303797  54.95696203],0
n3,1,0.050928,3.810642,[33  7] ; [34 19],[28.8172043 11.1827957] ; [38.1827957 14.8172043],0
s3,1,0.062418,3.471937,[109 123] ; [ 60 100],[100.02040816 131.97959184] ; [68.97959184 91.02040816],0
s5,1,0.0735,3.203082,[ 65 165] ; [ 32 126],[ 57.5 172.5] ; [ 39.5 118.5],0
v3,1,0.077045,3.126154,[ 83 142] ; [ 44 112],[ 75. 150.] ; [ 52. 104.],0
a2,1,0.084545,2.975284,[ 60 174] ; [ 30 134],[ 52.91457286 181.08542714] ; [ 37.08542714 126.91457286],0
b4,1,0.090819,2.859793,[130 104] ; [105  59],[138.16582915  95.83417085] ; [96.83417085 67.16582915],0
d5,1,0.102843,2.660899,[188  45] ; [121  43],[181.35264484  51.64735516] ; [127.64735516  36.35264484],0
u1,1,0.103305,2.653767,[ 41 193] ; [ 19 145],[ 35.27638191 198.72361809] ; [ 24.72361809 139.27638191],0
s2,1,0.108294,2.578948,[ 87 147] ; [ 47 113],[ 79.58375635 154.41624365] ; [ 54.41624365 105.58375635],0
n1,1,0.147746,2.095368,[10 29] ; [22 33],[13.27659574 25.72340426] ; [18.72340426 36.27659574],0
p5,1,0.158909,1.984581,[ 20 214] ; [  8 156],[ 16.46231156 217.53768844] ; [ 11.53768844 152.46231156],0
s6,1,0.164111,1.935929,[128 101] ; [79 83],[121.23529412 107.76470588] ; [85.76470588 76.23529412],0
n4,1,0.164617,1.931289,[176  58] ; [113  51],[169.91457286  64.08542714] ; [119.08542714  44.91457286],0
n2,1,0.203589,1.616441,[31  9] ; [36 19],[28.21052632 11.78947368] ; [38.78947368 16.21052632],0
d2,1,0.222062,1.490993,[105 128] ; [63 99],[ 99.09873418 133.90126582] ; [68.90126582 93.09873418],0
d1,1,0.232983,1.422559,[134 100] ; [84 80],[128.17085427 105.82914573] ; [89.82914573 74.17085427],0
a7,1,0.274697,1.193142,[182  52] ; [119  44],[177.41561713  56.58438287] ; [123.58438287  39.41561713],0
b1,1,0.314938,1.009854,[ 90 144] ; [ 55 109],[ 85.25125628 148.74874372] ; [ 59.74874372 104.25125628],0
v1,1,0.351141,0.869329,[113 115] ; [73 90],[108.46035806 119.53964194] ; [77.53964194 85.46035806],0
b2,1,0.408438,0.683342,[37 99] ; [26 54],[39.66666667 96.33333333] ; [23.33333333 56.66666667],0
b3,1,0.408438,0.683342,[37 99] ; [26 54],[39.66666667 96.33333333] ; [23.33333333 56.66666667],0
d4,1,0.448889,0.573455,[192  40] ; [130  33],[189.12405063  42.87594937] ; [132.87594937  30.12405063],0
a4,1,0.582517,0.302183,[108 125] ; [71 92],[105.32070707 127.67929293] ; [73.67929293 89.32070707],0
a1,1,0.670826,0.180637,[  9 225] ; [  5 159],[  8.23115578 225.76884422] ; [  5.76884422 158.23115578],0
s4,1,0.687293,0.162032,[ 32 197] ; [ 25 137],[ 33.38363171 195.61636829] ; [ 23.61636829 138.38363171],0
d3,1,0.723398,0.12526,[163  70] ; [112  52],[161.39798489  71.60201511] ; [113.60201511  50.39798489],0
p1,1,0.763305,0.090687,[ 19 213] ; [ 12 151],[ 18.20759494 213.79240506] ; [ 12.79240506 150.20759494],0
u3,1,0.822644,0.050241,[40 29] ; [37 29],[39.35555556 29.64444444] ; [37.64444444 28.35555556],0
u2,1,0.852282,0.034673,[36 32] ; [36 30],[36.53731343 31.46268657] ; [35.46268657 30.53731343],0
r2,1,0.853316,0.034184,[222   9] ; [157   7],[221.64303797   9.35696203] ; [157.35696203   6.64303797],0
p12,1,0.921382,0.00974,[ 12 222] ; [  8 155],[ 11.7884131 222.2115869] ; [  8.2115869 154.7884131],0
a6,1,0.940743,0.005526,[164  69] ; [116  48],[164.3324937  68.6675063] ; [115.6675063  48.3324937],0
b5,1,0.972604,0.001179,[138  96] ; [97 67],[138.16582915  95.83417085] ; [96.83417085 67.16582915],0
a5,1,0.972765,0.001166,[168  66] ; [118  46],[168.15075377  65.84924623] ; [117.84924623  46.15075377],0
