Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.004594,8.032613,[7 8] ; [395 112],[11.55172414  3.44827586] ; [390.44827586 116.55172414],0
p11,1,0.009099,6.803364,[8 7] ; [414  99],[11.98863636  3.01136364] ; [410.01136364 102.98863636],0
p2,1,0.023224,5.151699,[9 6] ; [423  88],[12.31939163  2.68060837] ; [419.68060837  91.31939163],0
p7,1,0.026219,4.941527,[ 5 10] ; [310 192],[9.13926499 5.86073501] ; [305.86073501 196.13926499],0
p9,1,0.03498,4.446138,[9 6] ; [414  93],[12.15517241  2.84482759] ; [410.84482759  96.15517241],0
a6,1,0.037232,4.339759,[7 8] ; [366 146],[10.61669829  4.38330171] ; [362.38330171 149.61669829],0
a5,1,0.046728,3.955171,[7 8] ; [362 151],[10.48295455  4.51704545] ; [358.51704545 154.48295455],0
v1,1,0.070071,3.281364,[ 4 11] ; [251 247],[7.45614035 7.54385965] ; [247.54385965 250.45614035],0
n1,1,0.071781,3.241822,[3 1] ; [34 73],[1.33333333 2.66666667] ; [35.66666667 71.33333333],0
n5,1,0.095223,2.783778,[8 7] ; [371 138],[10.84923664  4.15076336] ; [368.15076336 140.84923664],0
u3,1,0.110539,2.546499,[2 5] ; [95 66],[4.04166667 2.95833333] ; [92.95833333 68.04166667],0
s2,1,0.114976,2.484461,[ 3 12] ; [205 305],[5.94285714 9.05714286] ; [202.05714286 307.94285714],0
p3,1,0.13644,2.217655,[ 4 11] ; [236 276],[6.83111954 8.16888046] ; [233.16888046 278.83111954],0
s7,1,0.152709,2.044983,[ 3 11] ; [198 292],[5.58333333 8.41666667] ; [195.41666667 294.58333333],0
a2,1,0.15806,1.992693,[ 1 14] ; [112 401],[ 3.21022727 11.78977273] ; [109.78977273 403.21022727],0
a3,1,0.214527,1.540613,[8 7] ; [350 161],[10.20912548  4.79087452] ; [347.79087452 163.20912548],0
d1,1,0.220625,1.500303,[6 9] ; [287 226],[8.32386364 6.67613636] ; [284.67613636 228.32386364],0
a4,1,0.241849,1.369782,[ 4 11] ; [213 297],[6.2 8.8] ; [210.8 299.2],0
r2,1,0.255648,1.292174,[13  1] ; [498  12],[13.65267176  0.34732824] ; [497.34732824  12.65267176],0
u4,1,0.286397,1.136484,[ 1 14] ; [ 12 501],[ 0.36931818 14.63068182] ; [ 12.63068182 500.36931818],0
v2,1,0.359283,0.840398,[10  5] ; [267 221],[8.26043738 6.73956262] ; [268.73956262 219.26043738],0
n6,1,0.364777,0.821381,[11  4] ; [422  90],[12.32447818  2.67552182] ; [420.67552182  91.32447818],0
a7,1,0.366288,0.81622,[10  5] ; [392 119],[11.46387833  3.53612167] ; [390.53612167 120.46387833],0
p6,1,0.36694,0.814,[ 3 12] ; [156 349],[ 4.58653846 10.41346154] ; [154.41346154 350.58653846],0
s8,1,0.392181,0.73217,[ 4 11] ; [192 320],[5.57874763 9.42125237] ; [190.42125237 321.57874763],0
b5,1,0.409274,0.680908,[8 7] ; [327 186],[9.51704545 5.48295455] ; [325.48295455 187.51704545],0
a8,1,0.41525,0.663718,[ 3 11] ; [ 64 401],[ 1.95824635 12.04175365] ; [ 65.04175365 399.95824635],0
u2,1,0.415547,0.662875,[3 4] ; [94 67],[4.04166667 2.95833333] ; [92.95833333 68.04166667],0
n4,1,0.418367,0.654897,[10  5] ; [388 124],[11.32827324  3.67172676] ; [386.67172676 125.32827324],0
b1,1,0.428039,0.628138,[7 8] ; [188 325],[5.53977273 9.46022727] ; [189.46022727 323.53977273],0
p8,1,0.463499,0.537431,[6 9] ; [250 254],[7.39884393 7.60115607] ; [248.60115607 255.39884393],0
p4,1,0.469408,0.523368,[7 8] ; [286 224],[8.37142857 6.62857143] ; [284.62857143 225.37142857],0
d3,1,0.475423,0.509344,[9 6] ; [351 160],[10.2661597  4.7338403] ; [349.7338403 161.2661597],0
b4,1,0.478878,0.501417,[10  5] ; [295 218],[8.66477273 6.33522727] ; [296.33522727 216.66477273],0
d4,1,0.485813,0.485785,[13  2] ; [406 106],[11.9259962  3.0740038] ; [407.0740038 104.9259962],0
d5,1,0.504168,0.446152,[13  2] ; [407 104],[11.97718631  3.02281369] ; [408.02281369 102.97718631],0
s4,1,0.595081,0.282479,[ 1 14] ; [ 56 453],[ 1.63167939 13.36832061] ; [ 55.36832061 453.63167939],0
r1,1,0.616466,0.250866,[12  3] ; [433  78],[12.69011407  2.30988593] ; [432.30988593  78.69011407],0
v3,1,0.714311,0.134009,[ 5 10] ; [185 302],[5.67729084 9.32270916] ; [184.32270916 302.67729084],0
b2,1,0.743328,0.107223,[2 5] ; [107 203],[2.40694006 4.59305994] ; [106.59305994 203.40694006],0
b3,1,0.743328,0.107223,[2 5] ; [107 203],[2.40694006 4.59305994] ; [106.59305994 203.40694006],0
p12,1,0.787836,0.072426,[ 1 14] ; [ 26 483],[ 0.77290076 14.22709924] ; [ 26.22709924 482.77290076],0
p5,1,0.817165,0.05345,[ 1 14] ; [ 27 482],[ 0.80152672 14.19847328] ; [ 27.19847328 481.80152672],0
s3,1,0.851864,0.034872,[7 8] ; [249 258],[7.35632184 7.64367816] ; [248.64367816 258.35632184],0
s6,1,0.898304,0.016334,[9 6] ; [297 212],[8.75954198 6.24045802] ; [297.24045802 211.75954198],0
d2,1,0.929216,0.007891,[7 8] ; [233 279],[6.83111954 8.16888046] ; [233.16888046 278.83111954],0
