Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.9e-05,17.453457,[ 2 14] ; [34 13],[9.14285714 6.85714286] ; [26.85714286 20.14285714],1
r2,1,0.000101,15.121676,[10  6] ; [46  1],[14.22222222  1.77777778] ; [41.77777778  5.22222222],1
n1,1,0.030564,4.677273,[1 6] ; [9 5],[3.33333333 3.66666667] ; [6.66666667 7.33333333],0
s7,1,0.04456,4.035211,[ 3 13] ; [20 22],[6.34482759 9.65517241] ; [16.65517241 25.34482759],0
r4,1,0.053609,3.724836,[10  6] ; [40  7],[12.6984127  3.3015873] ; [37.3015873  9.6984127],0
n6,1,0.069361,3.29807,[8 8] ; [35 12],[10.92063492  5.07936508] ; [32.07936508 14.92063492],0
p2,1,0.101561,2.680851,[8 8] ; [34 13],[10.66666667  5.33333333] ; [31.33333333 15.66666667],0
p10,1,0.123471,2.372736,[ 1 15] ; [11 35],[ 3.09677419 12.90322581] ; [ 8.90322581 37.09677419],0
p7,1,0.128706,2.308041,[11  5] ; [21 24],[8.39344262 7.60655738] ; [23.60655738 21.39344262],0
r3,1,0.145513,2.118666,[13  3] ; [44  3],[14.47619048  1.52380952] ; [42.52380952  4.47619048],0
v3,1,0.148501,2.087581,[ 5 11] ; [24 22],[7.48387097 8.51612903] ; [21.51612903 24.48387097],0
u3,1,0.156582,2.006932,[4 1] ; [7 9],[2.61904762 2.38095238] ; [8.38095238 7.61904762],0
d4,1,0.170022,1.882745,[14  2] ; [33 14],[11.93650794  4.06349206] ; [35.06349206 11.93650794],0
b3,1,0.176914,1.823362,[1 7] ; [12 20],[2.6 5.4] ; [10.4 21.6],0
b2,1,0.176914,1.823362,[1 7] ; [12 20],[2.6 5.4] ; [10.4 21.6],0
v2,1,0.177941,1.814741,[7 9] ; [29 17],[9.29032258 6.70967742] ; [26.70967742 19.29032258],0
a7,1,0.194358,1.684274,[8 8] ; [32 15],[10.15873016  5.84126984] ; [29.84126984 17.15873016],0
u1,1,0.22264,1.487272,[ 1 15] ; [ 9 38],[ 2.53968254 13.46031746] ; [ 7.46031746 39.53968254],0
r1,1,0.22446,1.475628,[11  5] ; [39  8],[12.6984127  3.3015873] ; [37.3015873  9.6984127],0
b1,1,0.271219,1.210572,[7 9] ; [28 19],[8.88888889 7.11111111] ; [26.11111111 20.88888889],0
s2,1,0.284157,1.147102,[ 5 11] ; [21 24],[6.81967213 9.18032787] ; [19.18032787 25.81967213],0
s5,1,0.307717,1.040448,[ 2 13] ; [12 34],[ 3.44262295 11.55737705] ; [10.55737705 35.44262295],0
p6,1,0.341605,0.904399,[ 2 12] ; [12 33],[ 3.3220339 10.6779661] ; [10.6779661 34.3220339],0
d5,1,0.360036,0.837766,[10  6] ; [35 12],[11.42857143  4.57142857] ; [33.57142857 13.42857143],0
s3,1,0.37782,0.777782,[7 9] ; [26 20],[8.51612903 7.48387097] ; [24.48387097 21.51612903],0
v4,1,0.417985,0.655973,[13  3] ; [41  5],[13.93548387  2.06451613] ; [40.06451613  5.93548387],0
n2,1,0.431923,0.617647,[5 2] ; [12  2],[5.66666667 1.33333333] ; [11.33333333  2.66666667],0
u2,1,0.436275,0.606061,[3 2] ; [6 9],[2.25 2.75] ; [6.75 8.25],0
n3,1,0.447613,0.576689,[4 3] ; [11  4],[4.77272727 2.22727273] ; [10.22727273  4.77272727],0
a2,1,0.479457,0.500097,[ 3 13] ; [13 34],[ 4.06349206 11.93650794] ; [11.93650794 35.06349206],0
p8,1,0.567015,0.327703,[ 6 10] ; [14 33],[ 5.07936508 10.92063492] ; [14.92063492 32.07936508],0
d3,1,0.567015,0.327703,[10  6] ; [33 14],[10.92063492  5.07936508] ; [32.07936508 14.92063492],0
b5,1,0.589707,0.290801,[9 7] ; [30 17],[9.9047619 6.0952381] ; [29.0952381 17.9047619],0
p3,1,0.623433,0.241073,[ 5 10] ; [19 28],[5.80645161 9.19354839] ; [18.19354839 28.80645161],0
s4,1,0.790406,0.070641,[ 2 14] ; [ 7 39],[ 2.32258065 13.67741935] ; [ 6.67741935 39.32258065],0
b4,1,0.815529,0.054429,[9 7] ; [28 19],[9.3968254 6.6031746] ; [27.6031746 19.3968254],0
p11,1,0.825266,0.048743,[8 8] ; [25 22],[8.38095238 7.61904762] ; [24.61904762 22.38095238],0
d1,1,0.825266,0.048743,[8 8] ; [22 25],[7.61904762 8.38095238] ; [22.38095238 24.61904762],0
a3,1,0.837833,0.041888,[11  5] ; [31 16],[10.66666667  5.33333333] ; [31.33333333 15.66666667],0
s1,1,0.859113,0.031508,[ 2 14] ; [ 5 41],[ 1.80645161 14.19354839] ; [ 5.19354839 40.80645161],0
a5,1,0.912317,0.012126,[11  5] ; [33 14],[11.17460317  4.82539683] ; [32.82539683 14.17460317],0
p4,1,0.933411,0.006981,[7 9] ; [20 27],[6.85714286 9.14285714] ; [20.14285714 26.85714286],0
d2,1,0.941394,0.005405,[8 8] ; [23 24],[7.87301587 8.12698413] ; [23.12698413 23.87301587],0
s6,1,0.945411,0.004688,[8 7] ; [25 21],[8.1147541 6.8852459] ; [24.8852459 21.1147541],0
a6,1,0.954733,0.003222,[10  6] ; [29 18],[9.9047619 6.0952381] ; [29.0952381 17.9047619],0
a4,1,0.984934,0.000357,[7 9] ; [20 26],[6.96774194 9.03225806] ; [20.03225806 25.96774194],0
p1,1,0.984968,0.000355,[ 1 15] ; [ 3 44],[ 1.01587302 14.98412698] ; [ 2.98412698 44.01587302],0
