Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.001649,9.904762,[ 3 10] ; [11  2],[7. 6.] ; [7. 6.],0
p2,1,0.001891,9.652094,[ 6 22] ; [18 11],[11.78947368 16.21052632] ; [12.21052632 16.78947368],0
s6,1,0.006114,7.516375,[ 4 25] ; [14 16],[ 8.84745763 20.15254237] ; [ 9.15254237 20.84745763],0
v2,1,0.00773,7.095026,[ 4 24] ; [14 16],[ 8.68965517 19.31034483] ; [ 9.31034483 20.68965517],0
p10,1,0.010165,6.605701,[ 7 21] ; [17 12],[11.78947368 16.21052632] ; [12.21052632 16.78947368],0
p7,1,0.011742,6.34941,[ 8 21] ; [17 11],[12.71929825 16.28070175] ; [12.28070175 15.71929825],0
p9,1,0.01753,5.642506,[ 9 19] ; [19 11],[13.51724138 14.48275862] ; [14.48275862 15.51724138],0
d5,1,0.025859,4.96543,[13 16] ; [22  8],[17.20338983 11.79661017] ; [17.79661017 12.20338983],0
v1,1,0.027103,4.884211,[ 6 23] ; [14 15],[10. 19.] ; [10. 19.],0
p11,1,0.035091,4.440737,[ 6 23] ; [14 16],[ 9.83050847 19.16949153] ; [10.16949153 19.83050847],0
s2,1,0.043675,4.069068,[ 4 25] ; [11 19],[ 7.37288136 21.62711864] ; [ 7.62711864 22.37288136],0
s7,1,0.045542,3.998443,[ 3 23] ; [10 19],[ 6.14545455 19.85454545] ; [ 6.85454545 22.14545455],0
s8,1,0.049354,3.863282,[ 1 28] ; [ 6 24],[ 3.44067797 25.55932203] ; [ 3.55932203 26.44067797],0
b3,1,0.075585,3.157358,[ 9 10] ; [ 3 13],[ 6.51428571 12.48571429] ; [ 5.48571429 10.51428571],0
b2,1,0.075585,3.157358,[ 9 10] ; [ 3 13],[ 6.51428571 12.48571429] ; [ 5.48571429 10.51428571],0
r3,1,0.083124,3.002737,[ 9 20] ; [16 14],[12.28813559 16.71186441] ; [12.71186441 17.28813559],0
n2,1,0.107957,2.583876,[6 9] ; [11  5],[8.22580645 6.77419355] ; [8.77419355 7.22580645],0
s1,1,0.149246,2.079945,[ 4 25] ; [ 1 29],[ 2.45762712 26.54237288] ; [ 2.54237288 27.45762712],0
p1,1,0.149246,2.079945,[ 4 25] ; [ 1 29],[ 2.45762712 26.54237288] ; [ 2.54237288 27.45762712],0
p6,1,0.162821,1.947826,[ 3 25] ; [ 7 21],[ 5. 23.] ; [ 5. 23.],0
s5,1,0.164394,1.933333,[ 3 26] ; [ 7 22],[ 5. 24.] ; [ 5. 24.],0
s3,1,0.167644,1.903887,[ 9 19] ; [15 15],[11.5862069 16.4137931] ; [12.4137931 17.5862069],0
d3,1,0.189161,1.724138,[12 17] ; [17 12],[14.5 14.5] ; [14.5 14.5],0
n3,1,0.20009,1.641719,[ 5 10] ; [9 7],[6.77419355 8.22580645] ; [7.22580645 8.77419355],0
n1,1,0.207673,1.587576,[7 8] ; [ 4 12],[5.32258065 9.67741935] ; [ 5.67741935 10.32258065],0
a2,1,0.209206,1.57691,[ 5 24] ; [ 2 28],[ 3.44067797 25.55932203] ; [ 3.55932203 26.44067797],0
a4,1,0.232666,1.424486,[12 17] ; [ 8 22],[ 9.83050847 19.16949153] ; [10.16949153 19.83050847],0
r2,1,0.235533,1.407132,[14 14] ; [19 10],[16.21052632 11.78947368] ; [16.78947368 12.21052632],0
b5,1,0.240297,1.378849,[12 17] ; [17 13],[14.25423729 14.74576271] ; [14.74576271 15.25423729],0
a6,1,0.243308,1.361322,[13 16] ; [18 12],[15.23728814 13.76271186] ; [15.76271186 14.23728814],0
p8,1,0.244486,1.354542,[ 4 23] ; [ 8 21],[ 5.78571429 21.21428571] ; [ 6.21428571 22.78571429],0
a1,1,0.253589,1.303425,[ 6 23] ; [ 3 27],[ 4.42372881 24.57627119] ; [ 4.57627119 25.42372881],0
