Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.7e-05,18.495589,[ 3 40] ; [15 14],[10.75 32.25] ; [ 7.25 21.75],1
s3,1,0.001103,10.645974,[ 9 32] ; [17 11],[15.44927536 25.55072464] ; [10.55072464 17.44927536],0
p11,1,0.005385,7.745442,[20 23] ; [23  6],[25.68055556 17.31944444] ; [17.31944444 11.68055556],0
n6,1,0.005466,7.718589,[21 20] ; [22  4],[26.31343284 14.68656716] ; [16.68656716  9.31343284],0
s2,1,0.007987,7.036468,[ 9 33] ; [15 14],[14.1971831 27.8028169] ; [ 9.8028169 19.1971831],0
p6,1,0.013485,6.104348,[ 5 35] ; [11 18],[ 9.27536232 30.72463768] ; [ 6.72463768 22.27536232],0
p10,1,0.022709,5.190636,[20 21] ; [22  7],[24.6 16.4] ; [17.4 11.6],0
n2,1,0.02565,4.979471,[ 7 10] ; [12  3],[10.09375  6.90625] ; [8.90625 6.09375],0
p9,1,0.029137,4.759482,[24 18] ; [23  5],[28.2 13.8] ; [18.8  9.2],0
p2,1,0.029556,4.734958,[17 23] ; [20  9],[21.44927536 18.55072464] ; [15.55072464 13.44927536],0
s4,1,0.043018,4.094698,[ 3 39] ; [ 7 22],[ 5.91549296 36.08450704] ; [ 4.08450704 24.91549296],0
n5,1,0.050278,3.832178,[26 15] ; [23  4],[29.54411765 11.45588235] ; [19.45588235  7.54411765],0
a3,1,0.095824,2.773709,[29 13] ; [25  4],[31.94366197 10.05633803] ; [22.05633803  6.94366197],0
r3,1,0.096132,2.768571,[19 21] ; [19  9],[22.35294118 17.64705882] ; [15.64705882 12.35294118],0
a1,1,0.104516,2.635237,[ 9 34] ; [ 2 27],[ 6.56944444 36.43055556] ; [ 4.43055556 24.56944444],0
d4,1,0.107191,2.595148,[30 13] ; [25  4],[32.84722222 10.15277778] ; [22.15277778  6.84722222],0
u3,1,0.115993,2.470604,[4 9] ; [3 1],[5.35294118 7.64705882] ; [1.64705882 2.35294118],0
p1,1,0.140024,2.177696,[ 6 37] ; [ 1 28],[ 4.18055556 38.81944444] ; [ 2.81944444 26.18055556],0
v4,1,0.143535,2.139646,[21 19] ; [19  8],[23.88059701 16.11940299] ; [16.11940299 10.88059701],0
v3,1,0.1706,1.877667,[ 7 34] ; [ 9 20],[ 9.37142857 31.62857143] ; [ 6.62857143 22.37142857],0
n4,1,0.172718,1.859191,[27 15] ; [23  6],[29.57746479 12.42253521] ; [20.42253521  8.57746479],0
a7,1,0.179461,1.802085,[27 15] ; [14 15],[24.25352113 17.74647887] ; [16.74647887 12.25352113],0
s6,1,0.201589,1.630824,[16 26] ; [15 13],[18.6 23.4] ; [12.4 15.6],0
p7,1,0.216112,1.53,[14 26] ; [14 14],[16.47058824 23.52941176] ; [11.52941176 16.47058824],0
d3,1,0.222487,1.488256,[27 16] ; [14 15],[24.48611111 18.51388889] ; [16.51388889 12.48611111],0
p8,1,0.2233,1.483039,[10 31] ; [11 18],[12.3 28.7] ; [ 8.7 20.3],0
s5,1,0.227519,1.456306,[ 6 36] ; [ 7 20],[ 7.91304348 34.08695652] ; [ 5.08695652 21.91304348],0
n1,1,0.304652,1.053719,[ 6 11] ; [8 7],[7.4375 9.5625] ; [6.5625 8.4375],0
p12,1,0.335204,0.92869,[ 1 41] ; [ 2 26],[ 1.8 40.2] ; [ 1.2 26.8],0
p5,1,0.356716,0.849423,[ 4 37] ; [ 5 24],[ 5.27142857 35.72857143] ; [ 3.72857143 25.27142857],0
r2,1,0.419058,0.652955,[22 16] ; [17  8],[23.52380952 14.47619048] ; [15.47619048  9.52380952],0
p3,1,0.490303,0.475862,[12 28] ; [11 18],[13.33333333 26.66666667] ; [ 9.66666667 19.33333333],0
s1,1,0.506903,0.440455,[ 3 39] ; [ 1 28],[ 2.36619718 39.63380282] ; [ 1.63380282 27.36619718],0
b1,1,0.529748,0.394875,[24 19] ; [14 15],[22.69444444 20.30555556] ; [15.30555556 13.69444444],0
