Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,37.999685,[ 43 129] ; [143 117],[74.05555556 97.94444444] ; [111.94444444 148.05555556],1
v2,1,0.0,29.966694,[76 96] ; [186  78],[103.35779817  68.64220183] ; [158.64220183 105.35779817],1
n5,1,1e-06,24.164269,[121  55] ; [236  33],[141.19550562  34.80449438] ; [215.80449438  53.19550562],1
p10,1,0.000156,14.30103,[137  39] ; [244  25],[150.68764045  25.31235955] ; [230.31235955  38.68764045],1
p9,1,0.000654,11.614953,[146  31] ; [249  19],[157.11235955  19.88764045] ; [237.88764045  30.11235955],1
p8,1,0.001362,10.25606,[102  75] ; [193  74],[117.60135135  59.39864865] ; [177.39864865  89.60135135],0
s8,1,0.001667,9.884131,[ 74 102] ; [153 114],[90.18510158 85.81489842] ; [136.81489842 130.18510158],0
n4,1,0.006577,7.384956,[135  42] ; [233  37],[145.71812081  31.28187919] ; [222.28187919  47.71812081],0
n6,1,0.00675,7.338287,[145  31] ; [244  24],[154.1981982  21.8018018] ; [234.8018018  33.1981982],0
s5,1,0.014421,5.985915,[ 57 113] ; [118 142],[ 69.18604651 100.81395349] ; [105.81395349 154.18604651],0
p12,1,0.015441,5.865394,[ 10 167] ; [ 34 235],[ 17.46188341 159.53811659] ; [ 26.53811659 242.46188341],0
s1,1,0.016611,5.737028,[ 11 166] ; [  5 261],[  6.39277652 170.60722348] ; [  9.60722348 256.39277652],0
p6,1,0.019625,5.444954,[77 99] ; [146 119],[88.99773243 87.00226757] ; [134.00226757 130.99773243],0
p5,1,0.022313,5.221245,[ 21 156] ; [ 54 214],[ 29.83146067 147.16853933] ; [ 45.16853933 222.83146067],0
r4,1,0.02585,4.966034,[156  21] ; [254  16],[162.34899329  14.65100671] ; [247.65100671  22.34899329],0
p7,1,0.027548,4.856159,[119  56] ; [206  60],[128.96825397  46.03174603] ; [196.03174603  69.96825397],0
p11,1,0.029286,4.750716,[138  39] ; [232  38],[146.51006711  30.48993289] ; [223.48993289  46.51006711],0
u4,1,0.036191,4.388073,[  1 176] ; [ 10 260],[  4.3557047 172.6442953] ; [  6.6442953 263.3557047],0
d1,1,0.053513,3.727829,[124  53] ; [211  59],[132.65100671  44.34899329] ; [202.34899329  67.65100671],0
v4,1,0.056158,3.647366,[165  11] ; [262   7],[168.88089888   7.11910112] ; [258.11910112  10.88089888],0
u1,1,0.066048,3.378601,[ 35 142] ; [ 74 196],[ 43.16107383 133.83892617] ; [ 65.83892617 204.16107383],0
d5,1,0.070199,3.278365,[154  23] ; [249  21],[159.57718121  17.42281879] ; [243.42281879  26.57718121],0
p3,1,0.076174,3.144699,[111  66] ; [191  79],[119.58389262  57.41610738] ; [182.41610738  87.58389262],0
u3,1,0.099874,2.707549,[27 19] ; [45 16],[30.95327103 15.04672897] ; [41.04672897 19.95327103],0
s4,1,0.114192,2.495228,[ 38 137] ; [ 42 224],[ 31.74603175 143.25396825] ; [ 48.25396825 217.74603175],0
p2,1,0.145568,2.118094,[155  21] ; [248  21],[159.38876404  16.61123596] ; [243.61123596  25.38876404],0
r3,1,0.15014,2.07083,[165  10] ; [262   8],[167.92134831   7.07865169] ; [259.07865169  10.92134831],0
s2,1,0.159494,1.979017,[96 80] ; [163 103],[103.13122172  72.86877828] ; [155.86877828 110.13122172],0
b5,1,0.160517,1.969349,[97 80] ; [166 104],[104.1409396  72.8590604] ; [158.8590604 111.1409396],0
r1,1,0.166902,1.910554,[141  35] ; [229  40],[146.33707865  29.66292135] ; [223.66292135  45.33707865],0
u2,1,0.170844,1.875525,[33 14] ; [35 26],[29.59259259 17.40740741] ; [38.40740741 22.59259259],0
s7,1,0.179807,1.799222,[90 79] ; [152 102],[96.6855792 72.3144208] ; [145.3144208 108.6855792],0
a3,1,0.195921,1.672523,[128  49] ; [209  60],[133.74215247  43.25784753] ; [203.25784753  65.74215247],0
a2,1,0.223925,1.479037,[ 45 132] ; [ 83 187],[ 50.68456376 126.31543624] ; [ 77.31543624 192.68456376],0
a8,1,0.224749,1.473786,[ 17 145] ; [ 35 204],[ 21.0074813 140.9925187] ; [ 30.9925187 208.0074813],0
