Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,8.6e-05,15.432194,[9 5] ; [18 86],[ 3.20338983 10.79661017] ; [23.79661017 80.20338983],1
s6,1,9.2e-05,15.286022,[10  3] ; [26 81],[3.9 9.1] ; [32.1 74.9],1
p7,1,0.000264,13.309094,[9 5] ; [20 83],[ 3.47008547 10.52991453] ; [25.52991453 77.47008547],1
p3,1,0.000425,12.420868,[9 5] ; [22 85],[ 3.58677686 10.41322314] ; [27.41322314 79.58677686],1
p8,1,0.004248,8.174777,[7 7] ; [18 88],[ 2.91666667 11.08333333] ; [22.08333333 83.91666667],0
s8,1,0.006045,7.536762,[6 7] ; [16 91],[ 2.38333333 10.61666667] ; [19.61666667 87.38333333],0
v1,1,0.009391,6.746846,[7 7] ; [20 85],[ 3.17647059 10.82352941] ; [23.82352941 81.17647059],0
r4,1,0.011386,6.404096,[13  1] ; [62 45],[8.67768595 5.32231405] ; [66.32231405 40.67768595],0
s5,1,0.053334,3.733413,[4 8] ; [13 91],[ 1.75862069 10.24137931] ; [15.24137931 88.75862069],0
v4,1,0.061189,3.504854,[13  1] ; [73 33],[10.03333333  3.96666667] ; [75.96666667 30.03333333],0
v2,1,0.066716,3.362032,[8 5] ; [36 66],[4.97391304 8.02608696] ; [39.02608696 62.97391304],0
n5,1,0.068584,3.316595,[6 8] ; [71 34],[9.05882353 4.94117647] ; [67.94117647 37.05882353],0
b4,1,0.072773,3.219343,[11  3] ; [57 50],[7.8677686 6.1322314] ; [60.1322314 46.8677686],0
p9,1,0.156011,2.01247,[9 5] ; [45 57],[6.51724138 7.48275862] ; [47.48275862 54.51724138],0
u2,1,0.160814,1.966555,[5 2] ; [18 24],[3.28571429 3.71428571] ; [19.71428571 22.28571429],0
a5,1,0.177228,1.82072,[6 8] ; [66 41],[8.33057851 5.66942149] ; [63.66942149 43.33057851],0
a7,1,0.186507,1.744994,[6 8] ; [65 41],[8.28333333 5.71666667] ; [62.71666667 43.28333333],0
s4,1,0.232179,1.42746,[ 3 11] ; [11 94],[ 1.64705882 12.35294118] ; [12.35294118 92.64705882],0
n6,1,0.247791,1.335714,[11  3] ; [66 39],[9.05882353 4.94117647] ; [67.94117647 37.05882353],0
a2,1,0.2833,1.151189,[ 1 13] ; [20 87],[ 2.42975207 11.57024793] ; [18.57024793 88.42975207],0
p5,1,0.30506,1.051941,[ 2 12] ; [ 7 99],[ 1.05 12.95] ; [ 7.95 98.05],0
s7,1,0.351008,0.869811,[4 9] ; [20 82],[ 2.71304348 10.28695652] ; [21.28695652 80.71304348],0
b5,1,0.363789,0.824771,[9 5] ; [55 52],[7.40495868 6.59504132] ; [56.59504132 50.40495868],0
p12,1,0.393138,0.729213,[ 1 13] ; [  3 104],[ 0.46280992 13.53719008] ; [  3.53719008 103.46280992],0
p11,1,0.423745,0.639907,[8 6] ; [49 58],[6.59504132 7.40495868] ; [50.40495868 56.59504132],0
a3,1,0.432643,0.615718,[7 7] ; [64 41],[8.35294118 5.64705882] ; [62.64705882 42.35294118],0
p10,1,0.460976,0.543524,[5 9] ; [48 56],[6.28813559 7.71186441] ; [46.71186441 57.28813559],0
a8,1,0.465055,0.533701,[ 2 11] ; [ 9 91],[ 1.26548673 11.73451327] ; [ 9.73451327 90.26548673],0
n1,1,0.479782,0.499358,[2 1] ; [21 25],[1.40816327 1.59183673] ; [21.59183673 24.40816327],0
v3,1,0.489571,0.477468,[5 8] ; [30 73],[3.92241379 9.07758621] ; [31.07758621 71.92241379],0
a6,1,0.526971,0.400229,[7 7] ; [63 44],[8.09917355 5.90082645] ; [61.90082645 45.09917355],0
d5,1,0.591196,0.28848,[8 6] ; [69 38],[8.90909091 5.09090909] ; [68.09090909 38.90909091],0
u3,1,0.601596,0.272596,[4 3] ; [20 23],[3.36 3.64] ; [20.64 22.36],0
n4,1,0.60906,0.261546,[8 6] ; [68 38],[8.86666667 5.13333333] ; [67.13333333 38.86666667],0
s3,1,0.666369,0.185879,[ 2 12] ; [20 85],[ 2.58823529 11.41176471] ; [19.41176471 85.58823529],0
a4,1,0.784164,0.07502,[6 8] ; [41 64],[5.52941176 8.47058824] ; [41.47058824 63.52941176],0
d2,1,0.788273,0.072121,[6 8] ; [49 56],[6.47058824 7.52941176] ; [48.52941176 56.47058824],0
d1,1,0.835575,0.04308,[6 8] ; [49 58],[6.36363636 7.63636364] ; [48.63636364 58.36363636],0
r1,1,0.869796,0.026869,[8 6] ; [63 43],[8.28333333 5.71666667] ; [62.71666667 43.28333333],0
p1,1,0.871243,0.02627,[ 1 13] ; [ 9 98],[ 1.15702479 12.84297521] ; [ 8.84297521 98.15702479],0
d4,1,0.918157,0.010559,[10  4] ; [75 32],[9.83471074 4.16528926] ; [75.16528926 31.83471074],0
b3,1,0.97216,0.001218,[4 6] ; [28 41],[4.05063291 5.94936709] ; [27.94936709 41.05063291],0
b2,1,0.97216,0.001218,[4 6] ; [28 41],[4.05063291 5.94936709] ; [27.94936709 41.05063291],0
d3,1,0.973767,0.001081,[7 7] ; [54 53],[7.05785124 6.94214876] ; [53.94214876 53.05785124],0
b1,1,0.973767,0.001081,[7 7] ; [54 53],[7.05785124 6.94214876] ; [53.94214876 53.05785124],0
