Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.2e-05,17.277043,[105  51] ; [39 57],[89.14285714 66.85714286] ; [54.85714286 41.14285714],1
d4,1,5.7e-05,16.197231,[147   9] ; [74 22],[136.80952381  19.19047619] ; [84.19047619 11.80952381],1
v2,1,0.00042,12.440594,[103  51] ; [43 54],[89.57768924 64.42231076] ; [56.42231076 40.57768924],1
v3,1,0.000737,11.39265,[81 75] ; [29 67],[68.0952381 87.9047619] ; [41.9047619 54.0952381],1
a3,1,0.001886,9.657203,[132  24] ; [66 31],[122.08695652  33.91304348] ; [75.91304348 21.08695652],0
d5,1,0.002412,9.20618,[142  14] ; [75 22],[133.80237154  22.19762846] ; [83.19762846 13.80237154],0
d1,1,0.007806,7.077503,[113  44] ; [54 43],[103.22440945  53.77559055] ; [63.77559055 33.22440945],0
s2,1,0.01989,5.421504,[120  35] ; [62 35],[111.94444444  43.05555556] ; [70.05555556 26.94444444],0
p8,1,0.025113,5.016086,[106  49] ; [51 43],[97.73092369 57.26907631] ; [59.26907631 34.73092369],0
n5,1,0.028284,4.810661,[132  23] ; [71 25],[125.35856574  29.64143426] ; [77.64143426 18.35856574],0
n4,1,0.031486,4.626252,[132  23] ; [72 25],[125.47619048  29.52380952] ; [78.52380952 18.47619048],0
p12,1,0.056158,3.647378,[ 22 135] ; [ 6 90],[ 17.37549407 139.62450593] ; [10.62450593 85.37549407],0
a2,1,0.078487,3.095963,[ 50 107] ; [21 76],[ 43.88582677 113.11417323] ; [27.11417323 69.88582677],0
p10,1,0.086021,2.947307,[144  12] ; [83 14],[139.96837945  16.03162055] ; [87.03162055  9.96837945],0
p4,1,0.086215,2.943657,[117  39] ; [63 34],[110.98814229  45.01185771] ; [69.01185771 27.98814229],0
p6,1,0.088344,2.90429,[80 73] ; [40 57],[73.44 79.56] ; [46.56 50.44],0
b5,1,0.110283,2.550166,[89 68] ; [45 52],[82.82677165 74.17322835] ; [51.17322835 45.82677165],0
r3,1,0.125587,2.346218,[152   5] ; [87  7],[149.4940239   7.5059761] ; [89.5059761  4.4940239],0
b3,1,0.133861,2.247151,[47 49] ; [20 35],[42.59602649 53.40397351] ; [24.40397351 30.59602649],0
b2,1,0.133861,2.247151,[47 49] ; [20 35],[42.59602649 53.40397351] ; [24.40397351 30.59602649],0
n1,1,0.139584,2.18254,[18 12] ; [10 15],[15.27272727 14.72727273] ; [12.72727273 12.27272727],0
n3,1,0.141726,2.159117,[20 10] ; [21  4],[22.36363636  7.63636364] ; [18.63636364  6.36363636],0
v4,1,0.151415,2.057939,[152   3] ; [91  5],[150.05976096   4.94023904] ; [92.94023904  3.05976096],0
u1,1,0.165796,1.920553,[ 41 116] ; [18 79],[ 36.46850394 120.53149606] ; [22.53149606 74.46850394],0
a5,1,0.167005,1.909625,[128  29] ; [72 25],[123.62204724  33.37795276] ; [76.37795276 20.62204724],0
p5,1,0.171851,1.866721,[ 39 118] ; [17 80],[ 34.61417323 122.38582677] ; [21.38582677 75.61417323],0
p7,1,0.199962,1.642653,[123  30] ; [69 25],[118.93117409  34.06882591] ; [73.06882591 20.93117409],0
s4,1,0.200059,1.641944,[ 33 122] ; [27 68],[ 37.2 117.8] ; [22.8 72.2],0
d3,1,0.217375,1.521616,[118  39] ; [66 31],[113.73228346  43.26771654] ; [70.26771654 26.73228346],0
s6,1,0.228875,1.447841,[132  23] ; [85  9],[135.08032129  19.91967871] ; [81.91967871 12.08032129],0
p3,1,0.266862,1.232806,[100  57] ; [55 42],[95.80708661 61.19291339] ; [59.19291339 37.80708661],0
s3,1,0.284451,1.145703,[111  41] ; [64 32],[107.25806452  44.74193548] ; [67.74193548 28.25806452],0
d2,1,0.292696,1.10718,[87 69] ; [47 49],[82.95238095 73.04761905] ; [51.04761905 44.95238095],0
a4,1,0.316009,1.005393,[83 74] ; [45 52],[79.11811024 77.88188976] ; [48.88188976 48.11811024],0
s1,1,0.316871,1.001819,[  3 149] ; [ 4 93],[  4.27309237 147.72690763] ; [ 2.72690763 94.27309237],0
r4,1,0.435828,0.607243,[148   9] ; [89  8],[146.49212598  10.50787402] ; [90.50787402  6.49212598],0
b1,1,0.438304,0.600717,[61 96] ; [33 64],[58.1023622 98.8976378] ; [35.8976378 61.1023622],0
p9,1,0.476275,0.50738,[145  11] ; [85  9],[143.52  12.48] ; [86.48  7.52],0
n2,1,0.505758,0.442834,[26  4] ; [20  5],[25.09090909  4.90909091] ; [20.90909091  4.09090909],0
b4,1,0.533364,0.387978,[100  57] ; [58 39],[97.66141732 59.33858268] ; [60.33858268 36.66141732],0
a8,1,0.538319,0.378664,[ 21 124] ; [10 76],[ 19.45887446 125.54112554] ; [11.54112554 74.45887446],0
p1,1,0.567169,0.327443,[ 20 136] ; [10 86],[ 18.57142857 137.42857143] ; [11.42857143 84.57142857],0
r1,1,0.64827,0.208088,[134  21] ; [81 15],[132.7689243  22.2310757] ; [82.2310757 13.7689243],0
a6,1,0.656938,0.197265,[97 59] ; [63 34],[98.65612648 57.34387352] ; [61.34387352 35.65612648],0
a1,1,0.689869,0.159227,[ 10 147] ; [ 5 92],[  9.27165354 147.72834646] ; [ 5.72834646 91.27165354],0
s7,1,0.714331,0.13399,[103  48] ; [60 31],[101.70661157  49.29338843] ; [61.29338843 29.70661157],0
u3,1,0.784289,0.07493,[17  8] ; [20 11],[16.51785714  8.48214286] ; [20.48214286 10.51785714],0
n6,1,0.794803,0.067641,[138  16] ; [87  9],[138.6  15.4] ; [86.4  9.6],0
u2,1,0.802938,0.062274,[15 10] ; [17 13],[14.54545455 10.45454545] ; [17.45454545 12.54545455],0
a7,1,0.812797,0.056083,[109  48] ; [68 28],[109.83794466  47.16205534] ; [67.16205534 28.83794466],0
p11,1,0.825257,0.048747,[128  29] ; [78 19],[127.33070866  29.66929134] ; [78.66929134 18.33070866],0
r2,1,0.903745,0.014624,[149   7] ; [92  4],[149.19047619   6.80952381] ; [91.80952381  4.19047619],0
