Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000322,12.937001,[1 5] ; [68 16],[4.6 1.4] ; [64.4 19.6],1
p10,1,0.001158,10.556006,[1 5] ; [65 19],[4.4 1.6] ; [61.6 22.4],0
b3,1,0.001256,10.405616,[3 1] ; [ 5 38],[0.68085106 3.31914894] ; [ 7.31914894 35.68085106],0
b2,1,0.001256,10.405616,[3 1] ; [ 5 38],[0.68085106 3.31914894] ; [ 7.31914894 35.68085106],0
n2,1,0.006114,7.516356,[1 4] ; [21  5],[3.5483871 1.4516129] ; [18.4516129  7.5483871],0
r3,1,0.006689,7.354581,[3 3] ; [74  9],[5.19101124 0.80898876] ; [71.80898876 11.19101124],0
n6,1,0.006718,7.346939,[2 4] ; [68 16],[4.66666667 1.33333333] ; [65.33333333 18.66666667],0
r1,1,0.007161,7.232143,[1 5] ; [59 25],[4. 2.] ; [56. 28.],0
p9,1,0.007238,7.212828,[2 4] ; [67 16],[4.65168539 1.34831461] ; [64.34831461 18.65168539],0
a7,1,0.009818,6.667615,[1 5] ; [57 26],[3.91011236 2.08988764] ; [54.08988764 28.91011236],0
n3,1,0.012008,6.309692,[2 3] ; [23  3],[4.03225806 0.96774194] ; [20.96774194  5.03225806],0
p2,1,0.012738,6.205118,[2 4] ; [66 18],[4.53333333 1.46666667] ; [63.46666667 20.53333333],0
r2,1,0.023678,5.118086,[3 2] ; [76  7],[4.48863636 0.51136364] ; [74.51136364  8.48863636],0
p1,1,0.029417,4.743031,[2 4] ; [ 6 78],[0.53333333 5.46666667] ; [ 7.46666667 76.53333333],0
d3,1,0.02947,4.739965,[2 4] ; [62 21],[4.31460674 1.68539326] ; [59.68539326 23.31460674],0
p7,1,0.039694,4.230929,[1 5] ; [49 33],[3.40909091 2.59090909] ; [46.59090909 35.40909091],0
p4,1,0.080623,3.052301,[1 5] ; [45 39],[3.06666667 2.93333333] ; [42.93333333 41.06666667],0
p11,1,0.099377,2.715517,[2 4] ; [56 28],[3.86666667 2.13333333] ; [54.13333333 29.86666667],0
s2,1,0.104515,2.63526,[2 4] ; [55 28],[3.84269663 2.15730337] ; [53.15730337 29.84269663],0
d4,1,0.131627,2.273205,[3 3] ; [65 19],[4.53333333 1.46666667] ; [63.46666667 20.53333333],0
a5,1,0.148538,2.087199,[2 4] ; [53 31],[3.66666667 2.33333333] ; [51.33333333 32.66666667],0
p3,1,0.189563,1.721009,[1 5] ; [37 47],[2.53333333 3.46666667] ; [35.46666667 48.53333333],0
n4,1,0.209539,1.57461,[2 4] ; [50 34],[3.46666667 2.53333333] ; [48.53333333 35.46666667],0
p6,1,0.269584,1.218863,[1 5] ; [33 51],[2.26666667 3.73333333] ; [31.73333333 52.26666667],0
s3,1,0.277964,1.17702,[3 3] ; [59 24],[4.17977528 1.82022472] ; [57.82022472 25.17977528],0
d5,1,0.277964,1.17702,[3 3] ; [59 24],[4.17977528 1.82022472] ; [57.82022472 25.17977528],0
s1,1,0.31537,1.008052,[1 5] ; [ 5 78],[0.40449438 5.59550562] ; [ 5.59550562 77.40449438],0
s6,1,0.358441,0.843347,[4 2] ; [68 15],[4.85393258 1.14606742] ; [67.14606742 15.85393258],0
b1,1,0.444219,0.58536,[3 3] ; [29 55],[2.13333333 3.86666667] ; [29.86666667 54.13333333],0
b4,1,0.563341,0.333952,[3 3] ; [52 32],[3.66666667 2.33333333] ; [51.33333333 32.66666667],0
s5,1,0.587906,0.293627,[2 4] ; [34 42],[2.63414634 3.36585366] ; [33.36585366 42.63414634],0
n5,1,0.604773,0.267857,[3 3] ; [51 33],[3.6 2.4] ; [50.4 33.6],0
n1,1,0.627072,0.236053,[1 4] ; [ 8 18],[1.4516129 3.5483871] ; [ 7.5483871 18.4516129],0
b5,1,0.64692,0.209805,[3 3] ; [50 34],[3.53333333 2.46666667] ; [49.46666667 34.53333333],0
u3,1,0.698353,0.150191,[1 1] ; [21 12],[1.25714286 0.74285714] ; [20.74285714 12.25714286],0
s7,1,0.746265,0.104696,[3 3] ; [46 35],[3.37931034 2.62068966] ; [45.62068966 35.37931034],0
a3,1,0.772625,0.083488,[4 2] ; [51 33],[3.66666667 2.33333333] ; [51.33333333 32.66666667],0
d2,1,0.820991,0.051198,[3 3] ; [38 46],[2.73333333 3.26666667] ; [38.26666667 45.73333333],0
v2,1,0.838626,0.041474,[2 4] ; [30 50],[2.23255814 3.76744186] ; [29.76744186 50.23255814],0
a4,1,0.906301,0.013855,[2 4] ; [30 54],[2.13333333 3.86666667] ; [29.86666667 54.13333333],0
d1,1,0.91019,0.012724,[3 3] ; [44 40],[3.13333333 2.86666667] ; [43.86666667 40.13333333],0
