Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,43.944772,[ 5 28] ; [59 12],[20.30769231 12.69230769] ; [43.69230769 27.30769231],1
s6,1,0.000986,10.854157,[ 9 24] ; [44 27],[16.81730769 16.18269231] ; [36.18269231 34.81730769],1
b1,1,0.001394,10.213707,[22 11] ; [24 48],[14.45714286 18.54285714] ; [31.54285714 40.45714286],0
s8,1,0.001592,9.968832,[ 5 28] ; [34 38],[12.25714286 20.74285714] ; [26.74285714 45.25714286],0
p11,1,0.003205,8.686725,[18 15] ; [59 13],[24.2  8.8] ; [52.8 19.2],0
n6,1,0.005051,7.861121,[15 18] ; [53 19],[21.37142857 11.62857143] ; [46.62857143 25.37142857],0
d1,1,0.005125,7.834621,[10 23] ; [43 29],[16.65714286 16.34285714] ; [36.34285714 35.65714286],0
p7,1,0.012568,6.22888,[12 21] ; [45 27],[17.91428571 15.08571429] ; [39.08571429 32.91428571],0
v4,1,0.014632,5.960234,[26  6] ; [69  3],[29.23076923  2.76923077] ; [65.76923077  6.23076923],0
a3,1,0.023985,5.09571,[18 15] ; [55 17],[22.94285714 10.05714286] ; [50.05714286 21.94285714],0
r4,1,0.025996,4.956294,[25  8] ; [66  6],[28.6  4.4] ; [62.4  9.6],0
r2,1,0.039946,4.220171,[26  6] ; [66  4],[28.8627451  3.1372549] ; [63.1372549  6.8627451],0
r3,1,0.055514,3.66659,[29  4] ; [70  2],[31.11428571  1.88571429] ; [67.88571429  4.11428571],0
p8,1,0.056918,3.624982,[ 8 25] ; [31 40],[12.375 20.625] ; [26.625 44.375],0
a7,1,0.071754,3.242431,[19 14] ; [54 18],[22.94285714 10.05714286] ; [50.05714286 21.94285714],0
u2,1,0.082237,3.020131,[7 8] ; [13  4],[9.375 5.625] ; [10.625  6.375],0
p2,1,0.0835,2.995435,[22 11] ; [59 13],[25.45714286  7.54285714] ; [55.54285714 16.45714286],0
p4,1,0.097584,2.744588,[11 22] ; [36 35],[14.91346154 18.08653846] ; [32.08653846 38.91346154],0
s5,1,0.109425,2.562513,[ 3 30] ; [14 49],[ 5.84375 27.15625] ; [11.15625 51.84375],0
d2,1,0.110841,2.542186,[11 22] ; [36 36],[14.77142857 18.22857143] ; [32.22857143 39.77142857],0
d3,1,0.133338,2.25321,[20 13] ; [54 18],[23.25714286  9.74285714] ; [50.74285714 21.25714286],0
v3,1,0.140995,2.167062,[12 18] ; [18 53],[ 8.91089109 21.08910891] ; [21.08910891 49.91089109],0
n3,1,0.143583,2.139137,[5 2] ; [15  1],[6.08695652 0.91304348] ; [13.91304348  2.08695652],0
n1,1,0.155132,2.021053,[3 5] ; [ 2 14],[1.66666667 6.33333333] ; [ 3.33333333 12.66666667],0
d5,1,0.158948,1.984208,[23 10] ; [59 13],[25.77142857  7.22857143] ; [56.22857143 15.77142857],0
a6,1,0.181106,1.788523,[18 15] ; [49 23],[21.05714286 11.94285714] ; [45.94285714 26.05714286],0
s7,1,0.262389,1.256109,[ 9 18] ; [33 39],[11.45454545 15.54545455] ; [30.54545455 41.45454545],0
p6,1,0.283154,1.151892,[ 8 25] ; [24 45],[10.35294118 22.64705882] ; [21.64705882 47.35294118],0
d4,1,0.3443,0.894355,[26  7] ; [62 10],[27.65714286  5.34285714] ; [60.34285714 11.65714286],0
a5,1,0.375291,0.786071,[22 11] ; [54 18],[23.88571429  9.11428571] ; [52.11428571 19.88571429],0
a2,1,0.400418,0.707071,[ 5 28] ; [16 56],[ 6.6 26.4] ; [14.4 57.6],0
a4,1,0.45392,0.560845,[13 20] ; [34 38],[14.77142857 18.22857143] ; [32.22857143 39.77142857],0
v2,1,0.492511,0.471036,[16 17] ; [39 31],[17.62135922 15.37864078] ; [37.37864078 32.62135922],0
b5,1,0.536306,0.38243,[19 14] ; [46 26],[20.42857143 12.57142857] ; [44.57142857 27.42857143],0
s2,1,0.549586,0.358059,[11 22] ; [28 43],[12.375 20.625] ; [26.625 44.375],0
b4,1,0.643758,0.21386,[20 13] ; [47 25],[21.05714286 11.94285714] ; [45.94285714 26.05714286],0
p1,1,0.712881,0.135417,[ 2 30] ; [ 6 66],[ 2.46153846 29.53846154] ; [ 5.53846154 66.46153846],0
u3,1,0.723155,0.12549,[7 8] ; [9 8],[7.5 7.5] ; [8.5 8.5],0
