Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001449,10.14199,[81  9] ; [38 17],[73.86206897 16.13793103] ; [45.13793103  9.86206897],0
n4,1,0.005558,7.688434,[75 16] ; [34 21],[67.93835616 23.06164384] ; [41.06164384 13.93835616],0
p8,1,0.00882,6.858952,[63 28] ; [25 28],[55.61111111 35.38888889] ; [32.38888889 20.61111111],0
p7,1,0.012733,6.205825,[72 19] ; [33 22],[65.44520548 25.55479452] ; [39.55479452 15.44520548],0
p10,1,0.013465,6.106989,[78 13] ; [37 17],[72.17241379 18.82758621] ; [42.82758621 11.17241379],0
v1,1,0.030958,4.6553,[56 33] ; [24 30],[49.79020979 39.20979021] ; [30.20979021 23.79020979],0
a4,1,0.035201,4.43538,[35 56] ; [31 24],[41.1369863 49.8630137] ; [24.8630137 30.1369863],0
a7,1,0.040458,4.198593,[72 19] ; [35 20],[66.69178082 24.30821918] ; [40.30821918 14.69178082],0
p9,1,0.046614,3.959278,[78 13] ; [39 15],[73.42758621 17.57241379] ; [43.57241379 10.42758621],0
p1,1,0.057549,3.606638,[12 79] ; [ 2 53],[ 8.7260274 82.2739726] ; [ 5.2739726 49.7260274],0
r4,1,0.060458,3.524771,[79 12] ; [41 14],[74.79452055 16.20547945] ; [45.20547945  9.79452055],0
a3,1,0.10187,2.676019,[57 33] ; [42 13],[61.44827586 28.55172414] ; [37.55172414 17.44827586],0
p11,1,0.11786,2.445534,[80 11] ; [43 12],[76.66438356 14.33561644] ; [46.33561644  8.66438356],0
v3,1,0.132503,2.262936,[39 49] ; [16 35],[34.82014388 53.17985612] ; [20.17985612 30.82014388],0
s7,1,0.144097,2.133657,[30 56] ; [12 40],[26.17391304 59.82608696] ; [15.82608696 36.17391304],0
s8,1,0.154134,2.03085,[28 63] ; [11 44],[24.30821918 66.69178082] ; [14.69178082 40.30821918],0
p6,1,0.17378,1.850029,[39 52] ; [17 37],[35.14482759 55.85517241] ; [20.85517241 33.14482759],0
n5,1,0.176696,1.825199,[69 22] ; [36 19],[65.44520548 25.55479452] ; [39.55479452 15.44520548],0
d2,1,0.180525,1.793295,[36 55] ; [28 27],[39.89041096 51.10958904] ; [24.10958904 30.89041096],0
p12,1,0.190661,1.712505,[ 6 85] ; [ 1 54],[ 4.3630137 86.6369863] ; [ 2.6369863 52.3630137],0
p5,1,0.202222,1.626255,[11 79] ; [ 3 50],[ 8.81118881 81.18881119] ; [ 5.18881119 47.81118881],0
a6,1,0.228454,1.45046,[65 26] ; [34 21],[61.70547945 29.29452055] ; [37.29452055 17.70547945],0
p2,1,0.231545,1.431348,[82  9] ; [45  9],[79.70344828 11.29655172] ; [47.29655172  6.70344828],0
u2,1,0.242396,1.366607,[18 16] ; [4 8],[16.26086957 17.73913043] ; [5.73913043 6.26086957],0
v4,1,0.253023,1.306536,[87  4] ; [50  5],[85.39041096  5.60958904] ; [51.60958904  3.39041096],0
d3,1,0.254734,1.297154,[63 28] ; [33 22],[59.83561644 31.16438356] ; [36.16438356 18.83561644],0
s1,1,0.264241,1.246403,[ 3 88] ; [ 4 50],[ 4.39310345 86.60689655] ; [ 2.60689655 51.39310345],0
v2,1,0.270303,1.215211,[53 36] ; [26 26],[49.86524823 39.13475177] ; [29.13475177 22.86524823],0
