Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,83.880076,[139  11] ; [13 33],[116.32653061  33.67346939] ; [35.67346939 10.32653061],1
p2,1,0.0,27.004122,[126  22] ; [22 24],[112.90721649  35.09278351] ; [35.09278351 10.90721649],1
n5,1,1.8e-05,18.346367,[123  26] ; [23 22],[112.13402062  36.86597938] ; [33.86597938 11.13402062],1
p8,1,4e-05,16.888952,[84 65] ; [10 36],[71.82564103 77.17435897] ; [22.17435897 23.82564103],1
s6,1,4e-05,16.854335,[107  39] ; [18 27],[95.54973822 50.45026178] ; [29.45026178 15.54973822],1
n6,1,8.3e-05,15.499231,[129  20] ; [27 18],[119.81443299  29.18556701] ; [36.18556701  8.81443299],1
p11,1,0.000824,11.186719,[126  24] ; [28 18],[117.85714286  32.14285714] ; [36.14285714  9.85714286],1
p7,1,0.001326,10.306533,[101  44] ; [20 26],[91.85863874 53.14136126] ; [29.14136126 16.85863874],0
d5,1,0.001805,9.737843,[121  28] ; [27 19],[113.08717949  35.91282051] ; [34.91282051 11.08717949],0
d4,1,0.001805,9.737756,[125  24] ; [28 17],[117.51030928  31.48969072] ; [35.48969072  9.51030928],0
s8,1,0.001858,9.685027,[83 67] ; [13 32],[73.84615385 76.15384615] ; [22.15384615 22.84615385],0
s7,1,0.002262,9.323448,[87 58] ; [14 28],[78.31550802 66.68449198] ; [22.68449198 19.31550802],0
a3,1,0.00292,8.857025,[118  32] ; [26 20],[110.20408163  39.79591837] ; [33.79591837 12.20408163],0
n4,1,0.004381,8.11871,[126  24] ; [29 16],[119.23076923  30.76923077] ; [35.76923077  9.23076923],0
s5,1,0.004958,7.894628,[67 77] ; [10 34],[58.9787234 85.0212766] ; [18.0212766 25.9787234],0
p4,1,0.007236,7.213509,[85 63] ; [16 30],[77.05154639 70.94845361] ; [23.94845361 22.05154639],0
v1,1,0.011914,6.323578,[88 58] ; [18 28],[80.60416667 65.39583333] ; [25.39583333 20.60416667],0
s1,1,0.013298,6.129008,[  5 143] ; [ 6 40],[  8.39175258 139.60824742] ; [ 2.60824742 43.39175258],0
p3,1,0.020251,5.390111,[81 68] ; [16 30],[74.11794872 74.88205128] ; [22.88205128 23.11794872],0
b1,1,0.024774,5.039625,[63 87] ; [28 18],[69.64285714 80.35714286] ; [21.35714286 24.64285714],0
v4,1,0.024957,5.026898,[141   8] ; [38  7],[137.47938144  11.52061856] ; [41.52061856  3.47938144],0
d3,1,0.046254,3.972325,[74 76] ; [15 31],[68.1122449 81.8877551] ; [20.8877551 25.1122449],0
v2,1,0.046973,3.946342,[77 67] ; [16 28],[71.23404255 72.76595745] ; [21.76595745 22.23404255],0
s4,1,0.050821,3.814162,[ 32 117] ; [ 4 42],[ 27.50769231 121.49230769] ; [ 8.49230769 37.50769231],0
d1,1,0.051959,3.777087,[80 70] ; [17 29],[74.23469388 75.76530612] ; [22.76530612 23.23469388],0
s3,1,0.053268,3.735504,[92 57] ; [21 25],[86.34358974 62.65641026] ; [26.65641026 19.34358974],0
p6,1,0.059499,3.551292,[55 92] ; [10 35],[49.765625 97.234375] ; [15.234375 29.765625],0
a5,1,0.069971,3.28371,[112  38] ; [28 18],[107.14285714  42.85714286] ; [32.85714286 13.14285714],0
s2,1,0.102021,2.673665,[77 72] ; [17 28],[72.19587629 76.80412371] ; [21.80412371 23.19587629],0
r3,1,0.115949,2.47121,[141   9] ; [40  6],[138.52040816  11.47959184] ; [42.47959184  3.52040816],0
v3,1,0.19552,1.675523,[65 81] ; [14 28],[61.35106383 84.64893617] ; [17.64893617 24.35106383],0
u1,1,0.201641,1.630452,[ 11 139] ; [ 1 45],[  9.18367347 140.81632653] ; [ 2.81632653 43.18367347],0
d2,1,0.23391,1.416929,[77 73] ; [19 27],[73.46938776 76.53061224] ; [22.53061224 23.46938776],0
a1,1,0.246783,1.341424,[ 10 140] ; [ 1 45],[  8.41836735 141.58163265] ; [ 2.58163265 43.41836735],0
a6,1,0.267574,1.229143,[66 84] ; [16 30],[62.75510204 87.24489796] ; [19.24489796 26.75510204],0
r4,1,0.300117,1.073675,[138  12] ; [40  6],[136.2244898  13.7755102] ; [41.7755102  4.2244898],0
a8,1,0.327761,0.957725,[ 16 129] ; [ 7 35],[ 17.8342246 127.1657754] ; [ 5.1657754 36.8342246],0
p12,1,0.389317,0.741074,[ 12 136] ; [ 2 44],[ 10.68041237 137.31958763] ; [ 3.31958763 42.68041237],0
b2,1,0.392816,0.730207,[50 50] ; [11 16],[48.03149606 51.96850394] ; [12.96850394 14.03149606],0
b3,1,0.392816,0.730207,[50 50] ; [11 16],[48.03149606 51.96850394] ; [12.96850394 14.03149606],0
r2,1,0.425157,0.636015,[139   8] ; [42  4],[137.86010363   9.13989637] ; [43.13989637  2.86010363],0
b4,1,0.458297,0.550052,[82 68] ; [28 18],[84.18367347 65.81632653] ; [25.81632653 20.18367347],0
n3,1,0.487147,0.482821,[22 10] ; [10  7],[20.89795918 11.10204082] ; [11.10204082  5.89795918],0
u4,1,0.562562,0.335288,[  4 146] ; [ 2 44],[  4.59183673 145.40816327] ; [ 1.40816327 44.59183673],0
u3,1,0.568618,0.325,[15 17] ; [11  9],[16. 16.] ; [10. 10.],0
u2,1,0.638271,0.221011,[19 13] ; [10  9],[18.19607843 13.80392157] ; [10.80392157  8.19607843],0
b5,1,0.648096,0.208309,[66 84] ; [22 24],[67.34693878 82.65306122] ; [20.65306122 25.34693878],0
