Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,29.220641,[  7 104] ; [13 15],[15.97122302 95.02877698] ; [ 4.02877698 23.97122302],1
p4,1,0.00029,13.134882,[34 77] ; [19  9],[42.32374101 68.67625899] ; [10.67625899 17.32374101],1
p3,1,0.000516,12.056891,[26 85] ; [16 12],[33.53956835 77.46043165] ; [ 8.46043165 19.53956835],1
s6,1,0.000792,11.260736,[33 77] ; [18 10],[40.65217391 69.34782609] ; [10.34782609 17.65217391],1
v3,1,0.004541,8.05369,[21 87] ; [12 14],[26.59701493 81.40298507] ; [ 6.40298507 19.59701493],0
a8,1,0.016896,5.707094,[  2 105] ; [ 3 22],[  4.0530303 102.9469697] ; [ 0.9469697 24.0530303],0
p7,1,0.027605,4.852553,[49 61] ; [19  9],[54.20289855 55.79710145] ; [13.79710145 14.20289855],0
u1,1,0.028914,4.772727,[  4 108] ; [ 4 24],[  6.4 105.6] ; [ 1.6 26.4],0
p5,1,0.030096,4.703798,[  4 107] ; [ 4 24],[  6.38848921 104.61151079] ; [ 1.61151079 26.38848921],0
p10,1,0.034314,4.478994,[63 48] ; [22  6],[67.87769784 43.12230216] ; [17.12230216 10.87769784],0
a2,1,0.040424,4.2,[  9 103] ; [ 6 22],[ 12. 100.] ; [ 3. 25.],0
a5,1,0.051817,3.781658,[53 59] ; [19  9],[57.6 54.4] ; [14.4 13.6],0
v1,1,0.051957,3.777142,[37 73] ; [15 13],[41.44927536 68.55072464] ; [10.55072464 17.44927536],0
s5,1,0.058324,3.584416,[15 95] ; [ 8 20],[18.33333333 91.66666667] ; [ 4.66666667 23.33333333],0
b2,1,0.068798,3.31146,[11 39] ; [ 8 10],[13.97058824 36.02941176] ; [ 5.02941176 12.97058824],0
b3,1,0.068798,3.31146,[11 39] ; [ 8 10],[13.97058824 36.02941176] ; [ 5.02941176 12.97058824],0
b5,1,0.072311,3.229755,[69 43] ; [12 16],[64.8 47.2] ; [16.2 11.8],0
d2,1,0.087376,2.922063,[33 79] ; [13 15],[36.8 75.2] ; [ 9.2 18.8],0
d3,1,0.092476,2.830731,[64 47] ; [21  7],[67.87769784 43.12230216] ; [17.12230216 10.87769784],0
v4,1,0.096425,2.763701,[100  11] ; [22  6],[97.42446043 13.57553957] ; [24.57553957  3.42446043],0
a3,1,0.096468,2.76299,[60 51] ; [20  8],[63.88489209 47.11510791] ; [16.11510791 11.88489209],0
s4,1,0.097553,2.745098,[14 98] ; [ 7 21],[16.8 95.2] ; [ 4.2 23.8],0
b1,1,0.138579,2.193667,[39 73] ; [14 14],[42.4 69.6] ; [10.6 17.4],0
a7,1,0.202528,1.624053,[74 38] ; [22  6],[76.8 35.2] ; [19.2  8.8],0
n6,1,0.214847,1.538462,[70 42] ; [21  7],[72.8 39.2] ; [18.2  9.8],0
n2,1,0.252983,1.306757,[25 19] ; [9 3],[26.71428571 17.28571429] ; [7.28571429 4.71428571],0
p12,1,0.285377,1.141304,[  1 111] ; [ 1 27],[  1.6 110.4] ; [ 0.4 27.6],0
r3,1,0.286827,1.134454,[97 15] ; [22  6],[95.2 16.8] ; [23.8  4.2],0
p8,1,0.320468,0.987035,[44 67] ; [14 14],[46.31654676 64.68345324] ; [11.68345324 16.31654676],0
d1,1,0.339603,0.911929,[41 71] ; [13 15],[43.2 68.8] ; [10.8 17.2],0
a4,1,0.349575,0.875,[30 82] ; [10 18],[32. 80.] ; [ 8. 20.],0
n3,1,0.367757,0.81123,[31 14] ; [6 5],[29.73214286 15.26785714] ; [7.26785714 3.73214286],0
v2,1,0.392645,0.730734,[47 63] ; [14 13],[48.97810219 61.02189781] ; [12.02189781 14.97810219],0
p1,1,0.41023,0.678135,[  4 107] ; [ 2 26],[  4.79136691 106.20863309] ; [ 1.20863309 26.79136691],0
p6,1,0.410933,0.676101,[17 92] ; [ 6 21],[18.43382353 90.56617647] ; [ 4.56617647 22.43382353],0
n1,1,0.426905,0.631229,[10 35] ; [4 8],[11.05263158 33.94736842] ; [2.94736842 9.05263158],0
r1,1,0.476333,0.507246,[72 40] ; [20  8],[73.6 38.4] ; [18.4  9.6],0
n5,1,0.493331,0.469253,[36 75] ; [11 17],[37.5323741 73.4676259] ; [ 9.4676259 18.5323741],0
a6,1,0.496802,0.46176,[60 52] ; [17 11],[61.6 50.4] ; [15.4 12.6],0
d4,1,0.502329,0.450013,[81 31] ; [22  6],[82.4 29.6] ; [20.6  7.4],0
u3,1,0.510123,0.433815,[26 26] ; [5 3],[26.86666667 25.13333333] ; [4.13333333 3.86666667],0
p2,1,0.559322,0.340879,[77 34] ; [21  7],[78.25899281 32.74100719] ; [19.74100719  8.25899281],0
s3,1,0.562054,0.336159,[22 88] ; [ 7 21],[23.11594203 86.88405797] ; [ 5.88405797 22.11594203],0
d5,1,0.589327,0.291397,[74 38] ; [20  8],[75.2 36.8] ; [18.8  9.2],0
p9,1,0.630349,0.231588,[74 37] ; [20  8],[75.0647482 35.9352518] ; [18.9352518  9.0647482],0
p11,1,0.72305,0.125589,[72 40] ; [19  9],[72.8 39.2] ; [18.2  9.8],0
r2,1,0.74193,0.108437,[94 17] ; [23  5],[93.43165468 17.56834532] ; [23.56834532  4.43165468],0
r4,1,0.775585,0.081269,[81 31] ; [21  7],[81.6 30.4] ; [20.4  7.6],0
b4,1,1.0,0.0,[64 48] ; [16 12],[64. 48.] ; [16. 12.],0
