Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,81.494335,[128   5] ; [11 24],[110.04166667  22.95833333] ; [28.95833333  6.04166667],1
s6,1,5.4e-05,16.30619,[128   4] ; [27  8],[122.51497006   9.48502994] ; [32.48502994  2.51497006],1
n2,1,0.001209,10.47619,[30  3] ; [5 6],[26.25  6.75] ; [8.75 2.25],0
r2,1,0.029423,4.742689,[130   2] ; [32  3],[128.04790419   3.95209581] ; [33.95209581  1.04790419],0
r4,1,0.073218,3.209357,[130   3] ; [32  3],[128.25   4.75] ; [33.75  1.25],0
p11,1,0.081228,3.040166,[106  27] ; [23 12],[102.125  30.875] ; [26.875  8.125],0
u1,1,0.097658,2.743386,[ 31 102] ; [13 22],[34.83333333 98.16666667] ; [ 9.16666667 25.83333333],0
n5,1,0.110965,2.540417,[113  19] ; [26  9],[109.86826347  22.13173653] ; [29.13173653  5.86826347],0
p2,1,0.136185,2.220543,[116  17] ; [27  8],[113.20833333  19.79166667] ; [29.79166667  5.20833333],0
n1,1,0.161989,1.955556,[20 13] ; [4 7],[18. 15.] ; [6. 5.],0
p10,1,0.221041,1.497599,[120  12] ; [34  1],[121.7245509  10.2754491] ; [32.2754491  2.7245509],0
p6,1,0.248114,1.33389,[68 63] ; [22 13],[71.02409639 59.97590361] ; [18.97590361 16.02409639],0
v3,1,0.248232,1.333226,[70 60] ; [15 20],[66.96969697 63.03030303] ; [18.03030303 16.96969697],0
s7,1,0.261965,1.258345,[110  17] ; [26  7],[107.95  19.05] ; [28.05  4.95],0
v1,1,0.265596,1.239351,[95 36] ; [22 13],[92.3313253 38.6686747] ; [24.6686747 10.3313253],0
d1,1,0.283095,1.152171,[96 37] ; [22 13],[93.41666667 39.58333333] ; [24.58333333 10.41666667],0
b3,1,0.306606,1.045239,[38 47] ; [12  9],[40.09433962 44.90566038] ; [ 9.90566038 11.09433962],0
b2,1,0.306606,1.045239,[38 47] ; [12  9],[40.09433962 44.90566038] ; [ 9.90566038 11.09433962],0
p8,1,0.352108,0.865846,[86 45] ; [20 15],[83.65060241 47.34939759] ; [22.34939759 12.65060241],0
b1,1,0.355077,0.855228,[61 72] ; [13 22],[58.58333333 74.41666667] ; [15.41666667 19.58333333],0
n3,1,0.43437,0.611111,[25  8] ; [7 4],[24.  9.] ; [8. 3.],0
a7,1,0.451221,0.567583,[90 43] ; [26  9],[91.83333333 41.16666667] ; [24.16666667 10.83333333],0
v2,1,0.475131,0.510017,[80 49] ; [24 11],[81.80487805 47.19512195] ; [22.19512195 12.80487805],0
d5,1,0.485317,0.486893,[115  17] ; [32  3],[116.19161677  15.80838323] ; [30.80838323  4.19161677],0
a3,1,0.488504,0.47982,[112  20] ; [28  7],[110.65868263  21.34131737] ; [29.34131737  5.65868263],0
p3,1,0.496047,0.463383,[79 54] ; [23 12],[80.75 52.25] ; [21.25 13.75],0
u2,1,0.502716,0.449198,[12  9] ; [5 2],[12.75  8.25] ; [4.25 2.75],0
a2,1,0.510612,0.432814,[38 95] ; [12 23],[39.58333333 93.41666667] ; [10.41666667 24.58333333],0
v4,1,0.590619,0.289378,[131   2] ; [34  1],[130.625   2.375] ; [34.375  0.625],0
r1,1,0.635952,0.224076,[117  15] ; [30  5],[116.19161677  15.80838323] ; [30.80838323  4.19161677],0
d4,1,0.635952,0.224076,[117  15] ; [30  5],[116.19161677  15.80838323] ; [30.80838323  4.19161677],0
p12,1,0.650838,0.204845,[ 19 113] ; [ 4 31],[ 18.17964072 113.82035928] ; [ 4.82035928 30.17964072],0
d3,1,0.718796,0.12965,[99 34] ; [25 10],[98.16666667 34.83333333] ; [25.83333333  9.16666667],0
p1,1,0.731332,0.117892,[ 18 114] ; [ 4 31],[ 17.38922156 114.61077844] ; [ 4.61077844 30.38922156],0
s4,1,0.734744,0.114801,[35 97] ; [10 24],[35.78313253 96.21686747] ; [ 9.21686747 24.78313253],0
p5,1,0.745395,0.105441,[ 30 103] ; [ 7 28],[ 29.29166667 103.70833333] ; [ 7.70833333 27.29166667],0
p4,1,0.776209,0.080806,[91 41] ; [25 10],[91.68862275 40.31137725] ; [24.31137725 10.68862275],0
a4,1,0.787815,0.072441,[68 65] ; [17 18],[67.29166667 65.70833333] ; [17.70833333 17.29166667],0
n6,1,0.794197,0.068051,[118  13] ; [31  4],[117.58433735  13.41566265] ; [31.41566265  3.58433735],0
p7,1,0.821874,0.050686,[101  27] ; [27  8],[100.51533742  27.48466258] ; [27.48466258  7.51533742],0
b4,1,0.82215,0.050526,[77 56] ; [21 14],[77.58333333 55.41666667] ; [20.41666667 14.58333333],0
a1,1,0.822759,0.050175,[  9 124] ; [ 2 33],[  8.70833333 124.29166667] ; [ 2.29166667 32.70833333],0
p9,1,0.822759,0.050175,[124   9] ; [33  2],[124.29166667   8.70833333] ; [32.70833333  2.29166667],0
a8,1,0.869195,0.02712,[ 19 104] ; [ 5 25],[ 19.29411765 103.70588235] ; [ 4.70588235 25.29411765],0
b5,1,0.873318,0.025423,[74 59] ; [20 15],[74.41666667 58.58333333] ; [19.58333333 15.41666667],0
n4,1,0.902866,0.014894,[106  25] ; [28  7],[105.74698795  25.25301205] ; [28.25301205  6.74698795],0
a5,1,0.908337,0.013257,[115  18] ; [30  5],[114.79166667  18.20833333] ; [30.20833333  4.79166667],0
d2,1,0.936362,0.006375,[75 58] ; [20 15],[75.20833333 57.79166667] ; [19.79166667 15.20833333],0
r3,1,0.962847,0.00217,[129   4] ; [34  1],[129.04166667   3.95833333] ; [33.95833333  1.04166667],0
a6,1,0.966661,0.001747,[91 41] ; [24 11],[90.89820359 41.10179641] ; [24.10179641 10.89820359],0
u3,1,1.0,0.0,[15  6] ; [5 2],[15.  6.] ; [5. 2.],0
