Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,32.616201,[85  8] ; [37 34],[69.18292683 23.81707317] ; [52.81707317 18.18292683],1
r4,1,2e-06,22.229736,[75 19] ; [32 40],[60.59036145 33.40963855] ; [46.40963855 25.59036145],1
v4,1,1.2e-05,19.231968,[85  8] ; [45 26],[73.7195122 19.2804878] ; [56.2804878 14.7195122],1
p7,1,1.3e-05,19.059775,[53 40] ; [16 54],[39.36809816 53.63190184] ; [29.63190184 40.36809816],1
p4,1,2.2e-05,18.024416,[47 46] ; [13 58],[34.02439024 58.97560976] ; [25.97560976 45.02439024],1
p9,1,7.4e-05,15.70335,[57 34] ; [21 47],[44.64150943 46.35849057] ; [33.35849057 34.64150943],1
s6,1,0.000387,12.59155,[52 42] ; [20 52],[40.77108434 53.22891566] ; [31.22891566 40.77108434],1
p10,1,0.001099,10.652417,[47 45] ; [18 52],[36.91358025 55.08641975] ; [28.08641975 41.91358025],0
r1,1,0.001185,10.513099,[71 22] ; [37 34],[61.24390244 31.75609756] ; [46.75609756 24.24390244],0
p6,1,0.004254,8.172222,[26 66] ; [ 7 63],[18.74074074 73.25925926] ; [14.25925926 55.74074074],0
n6,1,0.004695,7.993186,[66 27] ; [35 36],[57.27439024 35.72560976] ; [43.72560976 27.27439024],0
p3,1,0.006863,7.308497,[37 57] ; [14 57],[29.05454545 64.94545455] ; [21.94545455 49.05454545],0
s7,1,0.007141,7.237114,[34 54] ; [12 53],[26.45751634 61.54248366] ; [19.54248366 45.45751634],0
p8,1,0.007703,7.101196,[36 56] ; [14 57],[28.2208589 63.7791411] ; [21.7791411 49.2208589],0
s8,1,0.008838,6.855371,[26 68] ; [ 8 64],[19.25301205 74.74698795] ; [14.74698795 57.25301205],0
s2,1,0.008956,6.831519,[39 55] ; [16 56],[31.14457831 62.85542169] ; [23.85542169 48.14457831],0
v1,1,0.009352,6.754422,[40 53] ; [17 55],[32.12727273 60.87272727] ; [24.87272727 47.12727273],0
a1,1,0.011009,6.463832,[ 3 91] ; [10 62],[ 7.36144578 86.63855422] ; [ 5.63855422 66.36144578],0
d3,1,0.024221,5.078715,[59 33] ; [33 38],[51.92638037 40.07361963] ; [40.07361963 30.92638037],0
r2,1,0.027164,4.880376,[83 11] ; [51 17],[77.75308642 16.24691358] ; [56.24691358 11.75308642],0
b5,1,0.041394,4.159826,[63 31] ; [37 35],[56.62650602 37.37349398] ; [43.37349398 28.62650602],0
s3,1,0.046548,3.961653,[45 48] ; [23 47],[38.79754601 54.20245399] ; [29.20245399 40.79754601],0
b3,1,0.047025,3.944486,[10 32] ; [21 27],[14.46666667 27.53333333] ; [16.53333333 31.46666667],0
b2,1,0.047025,3.944486,[10 32] ; [21 27],[14.46666667 27.53333333] ; [16.53333333 31.46666667],0
s1,1,0.055261,3.674182,[ 5 88] ; [10 61],[ 8.50609756 84.49390244] ; [ 6.49390244 64.50609756],0
n3,1,0.093596,2.811416,[23 12] ; [13 16],[19.6875 15.3125] ; [16.3125 12.6875],0
a6,1,0.111608,2.531296,[58 36] ; [35 36],[52.98181818 41.01818182] ; [40.01818182 30.98181818],0
a7,1,0.113955,2.498504,[66 27] ; [42 29],[61.24390244 31.75609756] ; [46.75609756 24.24390244],0
n2,1,0.12004,2.416797,[23 12] ; [15 17],[19.85074627 15.14925373] ; [18.14925373 13.85074627],0
a3,1,0.161464,1.960458,[51 42] ; [46 24],[55.34355828 37.65644172] ; [41.65644172 28.34355828],0
n1,1,0.227549,1.456116,[11 23] ; [15 17],[13.39393939 20.60606061] ; [12.60606061 19.39393939],0
v2,1,0.237153,1.397436,[37 51] ; [23 47],[33.41772152 54.58227848] ; [26.58227848 43.41772152],0
s4,1,0.240313,1.378756,[15 79] ; [ 7 65],[12.45783133 81.54216867] ; [ 9.54216867 62.45783133],0
d2,1,0.25643,1.287927,[36 58] ; [33 37],[39.54878049 54.45121951] ; [29.45121951 40.54878049],0
a8,1,0.282459,1.155221,[ 4 81] ; [ 6 60],[ 5.62913907 79.37086093] ; [ 4.37086093 61.62913907],0
p5,1,0.291005,1.114967,[ 6 88] ; [ 2 69],[ 4.55757576 89.44242424] ; [ 3.44242424 67.55757576],0
d4,1,0.320027,0.988838,[67 26] ; [46 25],[64.07926829 28.92073171] ; [48.92073171 22.07926829],0
a4,1,0.33306,0.936965,[32 62] ; [29 41],[34.96341463 59.03658537] ; [26.03658537 43.96341463],0
d5,1,0.399475,0.709907,[66 27] ; [46 25],[63.51219512 29.48780488] ; [48.48780488 22.51219512],0
a5,1,0.400839,0.705808,[50 44] ; [43 29],[52.6626506 41.3373494] ; [40.3373494 31.6626506],0
u3,1,0.476674,0.506462,[21 20] ; [11 15],[19.58208955 21.41791045] ; [12.41791045 13.58208955],0
v3,1,0.59079,0.289113,[24 65] ; [21 47],[25.50955414 63.49044586] ; [19.49044586 48.50955414],0
