Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.1e-05,18.077922,[14 52] ; [15  6],[22. 44.] ; [ 7. 14.],1
p4,1,0.000598,11.782289,[13 55] ; [13 10],[19.42857143 48.57142857] ; [ 6.57142857 16.42857143],1
p6,1,0.001135,10.593412,[ 3 62] ; [ 7 17],[ 7.30337079 57.69662921] ; [ 2.69662921 21.30337079],0
p11,1,0.002599,9.069214,[24 44] ; [17  7],[30.30434783 37.69565217] ; [10.69565217 13.30434783],0
p3,1,0.013148,6.149068,[11 55] ; [10 14],[15.4 50.6] ; [ 5.6 18.4],0
s1,1,0.020478,5.370696,[ 2 65] ; [ 4 20],[ 4.41758242 62.58241758] ; [ 1.58241758 22.41758242],0
s2,1,0.036666,4.365848,[10 58] ; [ 8 15],[13.45054945 54.54945055] ; [ 4.54945055 18.45054945],0
p10,1,0.074936,3.171445,[28 39] ; [14  8],[31.61797753 35.38202247] ; [10.38202247 11.61797753],0
a4,1,0.081066,3.043394,[24 43] ; [ 4 20],[20.61538462 46.38461538] ; [ 7.38461538 16.61538462],0
a3,1,0.098066,2.736719,[35 31] ; [ 8 16],[31.53333333 34.46666667] ; [11.46666667 12.53333333],0
n6,1,0.117086,2.455873,[34 33] ; [16  7],[37.22222222 29.77777778] ; [12.77777778 10.22222222],0
d1,1,0.120992,2.404434,[26 42] ; [ 5 19],[22.91304348 45.08695652] ; [ 8.08695652 15.91304348],0
p2,1,0.131533,2.27432,[31 35] ; [15  8],[34.11235955 31.88764045] ; [11.88764045 11.11235955],0
b2,1,0.135458,2.228813,[14 23] ; [ 2 11],[11.84 25.16] ; [4.16 8.84],0
b3,1,0.135458,2.228813,[14 23] ; [ 2 11],[11.84 25.16] ; [4.16 8.84],0
r1,1,0.140328,2.174364,[19 48] ; [ 3 20],[16.37777778 50.62222222] ; [ 5.62222222 17.37777778],0
s5,1,0.147243,2.100583,[11 57] ; [ 1 22],[ 8.96703297 59.03296703] ; [ 3.03296703 19.96703297],0
p5,1,0.155331,2.019097,[ 3 64] ; [ 3 20],[ 4.46666667 62.53333333] ; [ 1.53333333 21.46666667],0
d4,1,0.22287,1.485798,[43 24] ; [12 12],[40.49450549 26.50549451] ; [14.50549451  9.49450549],0
p9,1,0.239155,1.385565,[32 34] ; [15  9],[34.46666667 31.53333333] ; [12.53333333 11.46666667],0
v4,1,0.261814,1.259141,[36 30] ; [15  7],[38.25 27.75] ; [12.75  9.25],0
r3,1,0.277239,1.180573,[31 34] ; [14  9],[33.23863636 31.76136364] ; [11.76136364 11.23863636],0
d2,1,0.309597,1.032396,[27 39] ; [ 7 17],[24.93333333 41.06666667] ; [ 9.06666667 14.93333333],0
n5,1,0.321374,0.983348,[40 27] ; [11 12],[37.96666667 29.03333333] ; [13.03333333  9.96666667],0
b5,1,0.351025,0.869748,[35 33] ; [15  9],[36.95652174 31.04347826] ; [13.04347826 10.95652174],0
p1,1,0.366751,0.814644,[ 7 61] ; [ 4 19],[ 8.21978022 59.78021978] ; [ 2.78021978 20.21978022],0
b4,1,0.380297,0.769743,[41 27] ; [12 12],[39.17391304 28.82608696] ; [13.82608696 10.17391304],0
a6,1,0.396275,0.719599,[30 38] ; [13 11],[31.7826087 36.2173913] ; [11.2173913 12.7826087],0
p12,1,0.436177,0.606318,[ 1 67] ; [ 1 23],[ 1.47826087 66.52173913] ; [ 0.52173913 23.47826087],0
u1,1,0.459448,0.54724,[ 6 62] ; [ 1 23],[ 5.17391304 62.82608696] ; [ 1.82608696 22.17391304],0
s8,1,0.466267,0.530809,[ 3 65] ; [ 2 22],[ 3.69565217 64.30434783] ; [ 1.30434783 22.69565217],0
s3,1,0.470329,0.521204,[17 49] ; [ 4 18],[15.75 50.25] ; [ 5.25 16.75],0
a7,1,0.483991,0.489857,[33 33] ; [14 10],[34.46666667 31.53333333] ; [12.53333333 11.46666667],0
v3,1,0.50371,0.447111,[11 56] ; [ 5 17],[12.04494382 54.95505618] ; [ 3.95505618 18.04494382],0
u3,1,0.51122,0.431568,[ 8 25] ; [ 5 10],[ 8.9375 24.0625] ; [ 4.0625 10.9375],0
v1,1,0.54636,0.363879,[22 45] ; [ 6 17],[20.84444444 46.15555556] ; [ 7.15555556 15.84444444],0
n2,1,0.557741,0.34363,[14 15] ; [7 5],[14.85365854 14.14634146] ; [6.14634146 5.85365854],0
n4,1,0.659584,0.19403,[37 30] ; [12 12],[36.07692308 30.92307692] ; [12.92307692 11.07692308],0
s6,1,0.663415,0.189402,[21 47] ; [ 6 17],[20.17582418 47.82417582] ; [ 6.82417582 16.17582418],0
u2,1,0.676381,0.174229,[12 20] ; [7 9],[12.66666667 19.33333333] ; [6.33333333 9.66666667],0
d3,1,0.679558,0.170624,[34 33] ; [11 13],[33.13186813 33.86813187] ; [11.86813187 12.13186813],0
d5,1,0.691444,0.157527,[40 28] ; [13 11],[39.17391304 28.82608696] ; [13.82608696 10.17391304],0
n3,1,0.699395,0.149102,[15 14] ; [7 5],[15.56097561 13.43902439] ; [6.43902439 5.56097561],0
n1,1,0.712876,0.135421,[ 8 21] ; [4 8],[ 8.48780488 20.51219512] ; [3.51219512 8.48780488],0
b1,1,0.72554,0.123247,[34 34] ; [11 13],[33.26086957 34.73913043] ; [11.73913043 12.26086957],0
a5,1,0.739659,0.110427,[31 37] ; [10 14],[30.30434783 37.69565217] ; [10.69565217 13.30434783],0
a1,1,0.789687,0.071138,[10 58] ; [ 3 21],[ 9.60869565 58.39130435] ; [ 3.39130435 20.60869565],0
v2,1,0.790242,0.070754,[20 43] ; [ 8 15],[20.51162791 42.48837209] ; [ 7.48837209 15.51162791],0
s4,1,0.870813,0.026447,[ 8 60] ; [ 3 20],[ 8.21978022 59.78021978] ; [ 2.78021978 20.21978022],0
a8,1,0.885228,0.020835,[ 4 61] ; [ 1 18],[ 3.86904762 61.13095238] ; [ 1.13095238 17.86904762],0
a2,1,0.94159,0.005369,[ 6 62] ; [ 2 22],[ 5.91304348 62.08695652] ; [ 2.08695652 21.91304348],0
r2,1,0.98589,0.000313,[37 28] ; [12  9],[37.03488372 27.96511628] ; [11.96511628  9.03488372],0
