Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.5e-05,17.767495,[49 21] ; [171 229],[32.76595745 37.23404255] ; [187.23404255 212.76595745],1
s6,1,0.000173,14.105768,[58 11] ; [241 157],[44.17773019 24.82226981] ; [254.82226981 143.17773019],1
s3,1,0.000872,11.081011,[52 19] ; [205 190],[39.15665236 31.84334764] ; [217.84334764 177.15665236],1
b3,1,0.002539,9.112213,[ 4 32] ; [ 88 153],[11.9566787 24.0433213] ; [ 80.0433213 160.9566787],0
b2,1,0.002539,9.112213,[ 4 32] ; [ 88 153],[11.9566787 24.0433213] ; [ 80.0433213 160.9566787],0
s5,1,0.004876,7.925008,[29 38] ; [103 287],[19.35229759 47.64770241] ; [112.64770241 277.35229759],0
n6,1,0.008536,6.917505,[67  5] ; [319  79],[59.13191489 12.86808511] ; [326.86808511  71.13191489],0
a8,1,0.031587,4.620777,[ 4 64] ; [ 58 309],[ 9.69195402 58.30804598] ; [ 52.30804598 314.69195402],0
p2,1,0.049095,3.87211,[54 18] ; [337  62],[59.77070064 12.22929936] ; [331.22929936  67.77070064],0
d2,1,0.060385,3.526785,[24 48] ; [181 219],[31.27118644 40.72881356] ; [173.72881356 226.27118644],0
p1,1,0.060571,3.521688,[ 1 71] ; [ 29 371],[ 4.57627119 67.42372881] ; [ 25.42372881 374.57627119],0
a4,1,0.061661,3.49214,[23 49] ; [175 225],[30.20338983 41.79661017] ; [167.79661017 232.20338983],0
d1,1,0.077041,3.126249,[32 40] ; [224 178],[38.88607595 33.11392405] ; [217.11392405 184.88607595],0
r3,1,0.096039,2.770112,[71  1] ; [375  25],[68.03389831  3.96610169] ; [377.96610169  22.03389831],0
s7,1,0.102689,2.663274,[37 34] ; [160 224],[30.74065934 40.25934066] ; [166.25934066 217.74065934],0
a2,1,0.103561,2.649832,[10 62] ; [ 90 312],[15.18987342 56.81012658] ; [ 84.81012658 317.18987342],0
p8,1,0.106339,2.607802,[25 45] ; [184 215],[31.19402985 38.80597015] ; [177.80597015 221.19402985],0
p4,1,0.119131,2.428707,[29 43] ; [201 199],[35.08474576 36.91525424] ; [194.91525424 205.08474576],0
v3,1,0.126148,2.339281,[20 50] ; [145 235],[25.66666667 44.33333333] ; [139.33333333 240.66666667],0
d4,1,0.132387,2.264289,[53 19] ; [326  75],[57.69133192 14.30866808] ; [321.30866808  79.69133192],0
p10,1,0.144755,2.126673,[68  4] ; [355  45],[64.52542373  7.47457627] ; [358.47457627  41.52542373],0
n1,1,0.166285,1.916117,[ 5 16] ; [36 54],[ 7.75675676 13.24324324] ; [33.24324324 56.75675676],0
u2,1,0.175139,1.8384,[ 9 13] ; [69 53],[11.91666667 10.08333333] ; [66.08333333 55.91666667],0
n4,1,0.179965,1.797909,[47 25] ; [292 108],[51.71186441 20.28813559] ; [287.28813559 112.71186441],0
p3,1,0.195359,1.676737,[25 47] ; [172 229],[29.98731501 42.01268499] ; [167.01268499 233.98731501],0
p12,1,0.219852,1.505337,[ 2 70] ; [ 26 375],[ 4.26215645 67.73784355] ; [ 23.73784355 377.26215645],0
p5,1,0.220491,1.501174,[ 3 69] ; [ 33 362],[ 5.5503212 66.4496788] ; [ 30.4496788 364.5503212],0
b4,1,0.239686,1.382438,[36 36] ; [231 171],[40.55696203 31.44303797] ; [226.44303797 175.55696203],0
n3,1,0.243071,1.362695,[18  3] ; [67 24],[15.9375  5.0625] ; [69.0625 21.9375],0
d3,1,0.289307,1.122844,[52 20] ; [264 137],[48.10147992 23.89852008] ; [267.89852008 133.10147992],0
v1,1,0.294665,1.098185,[32 40] ; [196 187],[36.07912088 35.92087912] ; [191.92087912 191.07912088],0
n2,1,0.326546,0.962546,[18  3] ; [69 22],[16.3125  4.6875] ; [70.6875 20.3125],0
a1,1,0.349989,0.873496,[ 1 71] ; [ 14 388],[ 2.27848101 69.72151899] ; [ 12.72151899 389.27848101],0
b5,1,0.377435,0.77904,[41 31] ; [251 151],[44.35443038 27.64556962] ; [247.64556962 154.35443038],0
a6,1,0.383712,0.758777,[46 26] ; [277 124],[49.16701903 22.83298097] ; [273.83298097 127.16701903],0
s8,1,0.384997,0.754685,[32 40] ; [156 244],[28.6779661 43.3220339] ; [159.3220339 240.6779661],0
p11,1,0.386193,0.750895,[56 16] ; [330  72],[58.63291139 13.36708861] ; [327.36708861  74.63291139],0
b1,1,0.392943,0.729816,[21 51] ; [138 264],[24.15189873 47.84810127] ; [134.84810127 267.15189873],0
v2,1,0.460968,0.543543,[35 34] ; [211 169],[37.80400891 31.19599109] ; [208.19599109 171.80400891],0
d5,1,0.471584,0.518263,[54 18] ; [316  85],[56.32135307 15.67864693] ; [313.67864693  87.32135307],0
a7,1,0.60867,0.262116,[50 22] ; [291 111],[51.79746835 20.20253165] ; [289.20253165 112.79746835],0
a5,1,0.60867,0.262116,[50 22] ; [291 111],[51.79746835 20.20253165] ; [289.20253165 112.79746835],0
r1,1,0.623237,0.241343,[54 18] ; [309  89],[55.60851064 16.39148936] ; [307.39148936  90.60851064],0
u1,1,0.665433,0.18699,[ 9 63] ; [ 58 344],[10.17721519 61.82278481] ; [ 56.82278481 345.17721519],0
r4,1,0.75173,0.100083,[64  8] ; [352  50],[63.18987342  8.81012658] ; [352.81012658  49.18987342],0
u3,1,0.773707,0.082673,[12 10] ; [63 60],[11.37931034 10.62068966] ; [63.62068966 59.37931034],0
p7,1,0.8175,0.053251,[38 32] ; [208 186],[37.11206897 32.88793103] ; [208.88793103 185.11206897],0
r2,1,0.851403,0.035092,[67  5] ; [366  30],[66.61538462  5.38461538] ; [366.38461538  29.61538462],0
n5,1,0.88467,0.02104,[52 20] ; [290 107],[52.50319829 19.49680171] ; [289.49680171 107.50319829],0
s1,1,0.888887,0.01952,[ 2 69] ; [ 10 385],[ 1.82832618 69.17167382] ; [ 10.17167382 384.82832618],0
v4,1,0.926379,0.008538,[68  4] ; [376  21],[68.16204691  3.83795309] ; [375.83795309  21.16204691],0
a3,1,0.973736,0.001084,[50 22] ; [277 123],[49.88135593 22.11864407] ; [277.11864407 122.88135593],0
