Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.007201,7.222222,[5 8] ; [40 12],[9. 4.] ; [36. 16.],0
p9,1,0.023494,5.131579,[9 4] ; [48  4],[11.4  1.6] ; [45.6  6.4],0
p3,1,0.023494,5.131579,[4 9] ; [34 18],[7.6 5.4] ; [30.4 21.6],0
n5,1,0.029133,4.759725,[6 7] ; [40 12],[9.2 3.8] ; [36.8 15.2],0
b3,1,0.078546,3.094737,[1 9] ; [15 23],[3.33333333 6.66666667] ; [12.66666667 25.33333333],0
b2,1,0.078546,3.094737,[1 9] ; [15 23],[3.33333333 6.66666667] ; [12.66666667 25.33333333],0
v3,1,0.080865,3.047427,[ 2 10] ; [22 28],[4.64516129 7.35483871] ; [19.35483871 30.64516129],0
u3,1,0.156709,2.005698,[5 1] ; [8 8],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
r4,1,0.179042,1.805556,[7 6] ; [38 14],[9. 4.] ; [36. 16.],0
r3,1,0.244551,1.354167,[11  2] ; [49  3],[12.  1.] ; [48.  4.],0
b1,1,0.254565,1.298077,[7 6] ; [19 33],[5.2 7.8] ; [20.8 31.2],0
p8,1,0.289682,1.121099,[5 8] ; [28 23],[6.703125 6.296875] ; [26.296875 24.703125],0
a3,1,0.294405,1.099366,[7 6] ; [36 16],[8.6 4.4] ; [34.4 17.6],0
a6,1,0.316378,1.003861,[9 4] ; [28 24],[7.4 5.6] ; [29.6 22.4],0
a5,1,0.363933,0.824275,[7 6] ; [35 17],[8.4 4.6] ; [33.6 18.4],0
a8,1,0.375337,0.78592,[ 2 10] ; [ 4 45],[ 1.18032787 10.81967213] ; [ 4.81967213 44.18032787],0
v2,1,0.403563,0.697684,[5 7] ; [27 22],[6.29508197 5.70491803] ; [25.70491803 23.29508197],0
p1,1,0.472607,0.515873,[ 1 12] ; [ 8 44],[ 1.8 11.2] ; [ 7.2 44.8],0
p6,1,0.479074,0.50097,[6 7] ; [28 21],[7.12903226 5.87096774] ; [26.87096774 22.12903226],0
s6,1,0.508397,0.437365,[9 4] ; [39 11],[9.9047619 3.0952381] ; [38.0952381 11.9047619],0
n3,1,0.516937,0.42,[3 2] ; [12  4],[3.57142857 1.42857143] ; [11.42857143  4.57142857],0
v1,1,0.520282,0.413333,[5 7] ; [26 24],[6. 6.] ; [25. 25.],0
r2,1,0.582392,0.302384,[9 2] ; [44  6],[9.55737705 1.44262295] ; [43.44262295  6.55737705],0
p7,1,0.58587,0.29684,[7 5] ; [34 17],[7.80952381 4.19047619] ; [33.19047619 17.80952381],0
n1,1,0.595732,0.281481,[2 1] ; [8 8],[1.57894737 1.42105263] ; [8.42105263 7.57894737],0
b5,1,0.60723,0.264228,[9 4] ; [32 20],[8.2 4.8] ; [32.8 19.2],0
s7,1,0.617409,0.249525,[9 4] ; [38 12],[9.6984127 3.3015873] ; [37.3015873 12.6984127],0
n2,1,0.626928,0.23625,[4 1] ; [11  5],[3.57142857 1.42857143] ; [11.42857143  4.57142857],0
s4,1,0.672038,0.179228,[4 9] ; [13 39],[3.4 9.6] ; [13.6 38.4],0
a4,1,0.697203,0.151398,[4 9] ; [19 33],[4.6 8.4] ; [18.4 33.6],0
a7,1,0.705765,0.142544,[7 6] ; [31 21],[7.6 5.4] ; [30.4 21.6],0
d2,1,0.707123,0.141168,[5 8] ; [23 29],[5.6 7.4] ; [22.4 29.6],0
p2,1,0.756495,0.096154,[10  3] ; [42 10],[10.4  2.6] ; [41.6 10.4],0
s2,1,0.777763,0.079657,[10  3] ; [38 14],[9.6 3.4] ; [38.4 13.6],0
d5,1,0.777763,0.079657,[10  3] ; [38 14],[9.6 3.4] ; [38.4 13.6],0
s3,1,0.777763,0.079657,[10  3] ; [38 14],[9.6 3.4] ; [38.4 13.6],0
p4,1,0.795327,0.067288,[8 5] ; [34 18],[8.4 4.6] ; [33.6 18.4],0
a1,1,0.796356,0.066598,[ 1 12] ; [ 3 49],[ 0.8 12.2] ; [ 3.2 48.8],0
u1,1,0.796356,0.066598,[ 1 12] ; [ 3 49],[ 0.8 12.2] ; [ 3.2 48.8],0
a2,1,0.857497,0.032242,[ 2 11] ; [ 7 45],[ 1.8 11.2] ; [ 7.2 44.8],0
s5,1,0.886038,0.020541,[4 8] ; [16 29],[4.21052632 7.78947368] ; [15.78947368 29.21052632],0
v4,1,0.890762,0.018862,[11  1] ; [47  5],[10.875  1.125] ; [47.125  4.875],0
d1,1,0.900713,0.015565,[7 6] ; [29 23],[7.2 5.8] ; [28.8 23.2],0
b4,1,0.900713,0.015565,[7 6] ; [29 23],[7.2 5.8] ; [28.8 23.2],0
d3,1,0.901183,0.015417,[7 6] ; [27 25],[6.8 6.2] ; [27.2 24.8],0
p10,1,0.978667,0.000715,[11  2] ; [43  8],[10.96875  2.03125] ; [43.03125  7.96875],0
d4,1,1.0,0.0,[10  3] ; [40 12],[10.  3.] ; [40. 12.],0
p11,1,1.0,0.0,[11  2] ; [44  8],[11.  2.] ; [44.  8.],0
