Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.3e-05,17.901416,[18 41] ; [15  2],[25.61842105 33.38157895] ; [7.38157895 9.61842105],1
s8,1,0.003129,8.730666,[13 47] ; [10  7],[17.92207792 42.07792208] ; [ 5.07792208 11.92207792],0
s3,1,0.004392,8.114078,[25 33] ; [14  3],[30.16 27.84] ; [8.84 8.16],0
s6,1,0.004746,7.973652,[30 30] ; [15  2],[35.06493506 24.93506494] ; [9.93506494 7.06493506],0
a7,1,0.006092,7.522867,[45 14] ; [ 7 10],[40.36842105 18.63157895] ; [11.63157895  5.36842105],0
s7,1,0.006287,7.466072,[19 38] ; [12  5],[23.87837838 33.12162162] ; [7.12162162 9.87837838],0
a8,1,0.010198,6.6,[ 5 45] ; [ 6 10],[ 8.33333333 41.66666667] ; [ 2.66666667 13.33333333],0
p4,1,0.077054,3.125961,[21 39] ; [10  7],[24.15584416 35.84415584] ; [ 6.84415584 10.15584416],0
b5,1,0.139316,2.185499,[38 22] ; [14  3],[40.51948052 19.48051948] ; [11.48051948  5.51948052],0
b4,1,0.139396,2.184611,[34 26] ; [13  4],[36.62337662 23.37662338] ; [10.37662338  6.62337662],0
r4,1,0.20001,1.642303,[44 16] ; [15  2],[45.97402597 14.02597403] ; [13.02597403  3.97402597],0
d3,1,0.248565,1.33135,[44 16] ; [10  7],[42.07792208 17.92207792] ; [11.92207792  5.07792208],0
b1,1,0.258497,1.276787,[26 34] ; [10  7],[28.05194805 31.94805195] ; [7.94805195 9.05194805],0
p9,1,0.259481,1.271526,[19 40] ; [8 9],[20.96052632 38.03947368] ; [ 6.03947368 10.96052632],0
a3,1,0.266283,1.235797,[43 16] ; [10  7],[41.14473684 17.85526316] ; [11.85526316  5.14473684],0
v3,1,0.280662,1.163881,[21 34] ; [9 8],[22.91666667 32.08333333] ; [7.08333333 9.91666667],0
n4,1,0.294485,1.099001,[40 19] ; [13  3],[41.69333333 17.30666667] ; [11.30666667  4.69333333],0
p12,1,0.341944,0.903128,[ 1 58] ; [ 1 16],[ 1.55263158 57.44736842] ; [ 0.44736842 16.55263158],0
d5,1,0.375084,0.786754,[43 17] ; [14  3],[44.41558442 15.58441558] ; [12.58441558  4.41558442],0
v4,1,0.388053,0.745035,[51  8] ; [16  1],[52.01315789  6.98684211] ; [14.98684211  2.01315789],0
p7,1,0.398373,0.713232,[24 34] ; [9 8],[25.52 32.48] ; [7.48 9.52],0
a5,1,0.400202,0.707721,[45 15] ; [11  6],[43.63636364 16.36363636] ; [12.36363636  4.63636364],0
s4,1,0.400497,0.706835,[ 6 53] ; [ 3 14],[ 6.98684211 52.01315789] ; [ 2.01315789 14.98684211],0
u3,1,0.403713,0.697239,[9 8] ; [5 2],[9.91666667 7.08333333] ; [4.08333333 2.91666667],0
d1,1,0.445065,0.58319,[31 29] ; [ 7 10],[29.61038961 30.38961039] ; [8.38961039 8.61038961],0
p6,1,0.450035,0.570564,[12 46] ; [ 5 12],[13.14666667 44.85333333] ; [ 3.85333333 13.14666667],0
n6,1,0.466517,0.530213,[39 20] ; [9 7],[37.76 21.24] ; [10.24  5.76],0
n5,1,0.477924,0.503596,[31 28] ; [10  6],[32.25333333 26.74666667] ; [8.74666667 7.25333333],0
a6,1,0.549686,0.357879,[40 20] ; [10  7],[38.96103896 21.03896104] ; [11.03896104  5.96103896],0
r1,1,0.57403,0.315986,[44 14] ; [14  3],[44.85333333 13.14666667] ; [13.14666667  3.85333333],0
r2,1,0.590176,0.29007,[53  6] ; [16  1],[53.56578947  5.43421053] ; [15.43421053  1.56578947],0
a2,1,0.60215,0.271765,[18 42] ; [ 4 13],[17.14285714 42.85714286] ; [ 4.85714286 12.14285714],0
n3,1,0.612274,0.256877,[13  6] ; [4 1],[13.45833333  5.54166667] ; [3.54166667 1.45833333],0
n1,1,0.615228,0.252632,[ 9 10] ; [3 2],[9.5 9.5] ; [2.5 2.5],0
d4,1,0.617802,0.24897,[46 14] ; [14  3],[46.75324675 13.24675325] ; [13.24675325  3.75324675],0
u2,1,0.647141,0.209524,[7 8] ; [4 3],[7.5 7.5] ; [3.5 3.5],0
b2,1,0.657226,0.196911,[13 24] ; [ 4 10],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
b3,1,0.657226,0.196911,[13 24] ; [ 4 10],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
p8,1,0.667138,0.184968,[21 39] ; [ 5 12],[20.25974026 39.74025974] ; [ 5.74025974 11.25974026],0
p2,1,0.667138,0.184968,[39 21] ; [12  5],[39.74025974 20.25974026] ; [11.25974026  5.74025974],0
p3,1,0.674135,0.176803,[21 38] ; [ 7 10],[21.73684211 37.26315789] ; [ 6.26315789 10.73684211],0
a4,1,0.827015,0.047756,[26 33] ; [8 9],[26.39473684 32.60526316] ; [7.60526316 9.39473684],0
u1,1,0.828809,0.046755,[12 48] ; [ 3 14],[11.68831169 48.31168831] ; [ 3.31168831 13.68831169],0
