Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.036789,4.360165,[15  2] ; [4 4],[12.92  4.08] ; [6.08 1.92],0
v2,1,0.073638,3.2,[8 8] ; [1 7],[ 6. 10.] ; [3. 5.],0
p10,1,0.092838,2.824463,[14  3] ; [4 4],[12.24  4.76] ; [5.76 2.24],0
r2,1,0.112339,2.521008,[13  4] ; [3 4],[11.33333333  5.66666667] ; [4.66666667 2.33333333],0
b4,1,0.115184,2.481618,[12  5] ; [3 5],[10.2  6.8] ; [4.8 3.2],0
a4,1,0.115184,2.481618,[ 5 12] ; [5 3],[ 6.8 10.2] ; [3.2 4.8],0
r1,1,0.189225,1.723644,[9 8] ; [2 6],[7.48 9.52] ; [3.52 4.48],0
n6,1,0.19043,1.714286,[15  1] ; [6 2],[14.  2.] ; [7. 1.],0
p3,1,0.201134,1.63412,[11  6] ; [3 5],[9.52 7.48] ; [4.48 3.52],0
n5,1,0.278273,1.175503,[14  3] ; [5 3],[12.92  4.08] ; [6.08 1.92],0
v1,1,0.293622,1.102941,[8 9] ; [2 6],[ 6.8 10.2] ; [3.2 4.8],0
p6,1,0.293622,1.102941,[8 9] ; [2 6],[ 6.8 10.2] ; [3.2 4.8],0
p7,1,0.317113,1.000817,[12  5] ; [4 4],[10.88  6.12] ; [5.12 2.88],0
p11,1,0.317113,1.000817,[12  5] ; [4 4],[10.88  6.12] ; [5.12 2.88],0
a7,1,0.319499,0.990997,[10  7] ; [3 5],[8.84 8.16] ; [4.16 3.84],0
s3,1,0.371093,0.8,[ 5 11] ; [4 4],[ 6. 10.] ; [3. 5.],0
u1,1,0.399765,0.709034,[ 2 15] ; [2 6],[ 2.72 14.28] ; [1.28 6.72],0
a2,1,0.399765,0.709034,[ 2 15] ; [2 6],[ 2.72 14.28] ; [1.28 6.72],0
b2,1,0.41923,0.652473,[4 9] ; [3 3],[4.78947368 8.21052632] ; [2.21052632 3.78947368],0
b3,1,0.41923,0.652473,[4 9] ; [3 3],[4.78947368 8.21052632] ; [2.21052632 3.78947368],0
d5,1,0.431847,0.617851,[10  7] ; [6 2],[10.88  6.12] ; [5.12 2.88],0
a6,1,0.431847,0.617851,[10  7] ; [6 2],[10.88  6.12] ; [5.12 2.88],0
s7,1,0.475512,0.509138,[ 7 10] ; [4 3],[7.79166667 9.20833333] ; [3.20833333 3.79166667],0
p5,1,0.520146,0.413603,[ 4 13] ; [1 7],[ 3.4 13.6] ; [1.6 6.4],0
d3,1,0.520146,0.413603,[13  4] ; [7 1],[13.6  3.4] ; [6.4 1.6],0
a3,1,0.606759,0.264922,[11  6] ; [6 2],[11.56  5.44] ; [5.44 2.56],0
s6,1,0.653329,0.201728,[8 9] ; [3 5],[7.48 9.52] ; [3.52 4.48],0
d1,1,0.653329,0.201728,[8 9] ; [3 5],[7.48 9.52] ; [3.52 4.48],0
s2,1,0.653329,0.201728,[8 9] ; [3 5],[7.48 9.52] ; [3.52 4.48],0
u2,1,0.67329,0.177778,[4 2] ; [1 1],[3.75 2.25] ; [1.25 0.75],0
n2,1,0.715388,0.132955,[7 4] ; [1 1],[6.76923077 4.23076923] ; [1.23076923 0.76923077],0
p2,1,0.74332,0.10723,[14  3] ; [7 1],[14.28  2.72] ; [6.72 1.28],0
v3,1,0.750824,0.10084,[ 5 11] ; [2 6],[ 4.66666667 11.33333333] ; [2.33333333 5.66666667],0
d4,1,0.818733,0.052521,[12  5] ; [6 2],[12.24  4.76] ; [5.76 2.24],0
d2,1,0.861052,0.030637,[ 7 10] ; [3 5],[ 6.8 10.2] ; [3.2 4.8],0
b1,1,0.861052,0.030637,[10  7] ; [5 3],[10.2  6.8] ; [4.8 3.2],0
n1,1,0.905581,0.014069,[5 6] ; [1 1],[5.07692308 5.92307692] ; [0.92307692 1.07692308],0
s8,1,0.914641,0.011489,[ 6 11] ; [3 5],[ 6.12 10.88] ; [2.88 5.12],0
n4,1,0.914641,0.011489,[11  6] ; [5 3],[10.88  6.12] ; [5.12 2.88],0
b5,1,0.914641,0.011489,[11  6] ; [5 3],[10.88  6.12] ; [5.12 2.88],0
s4,1,0.935989,0.00645,[ 4 13] ; [2 6],[ 4.08 12.92] ; [1.92 6.08],0
a5,1,0.935989,0.00645,[13  4] ; [6 2],[12.92  4.08] ; [6.08 1.92],0
p9,1,0.935989,0.00645,[13  4] ; [6 2],[12.92  4.08] ; [6.08 1.92],0
p1,1,0.957911,0.002785,[ 2 15] ; [1 7],[ 2.04 14.96] ; [0.96 7.04],0
s5,1,0.967162,0.001695,[ 5 12] ; [2 5],[ 4.95833333 12.04166667] ; [2.04166667 4.95833333],0
u3,1,1.0,0.0,[3 3] ; [1 1],[3. 3.] ; [1. 1.],0
