Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.517207,[66  9] ; [13 18],[55.89622642 19.10377358] ; [23.10377358  7.89622642],1
n6,1,0.003205,8.686789,[64 11] ; [19 13],[58.17757009 16.82242991] ; [24.82242991  7.17757009],0
v3,1,0.005154,7.824537,[30 45] ; [ 4 28],[23.8317757 51.1682243] ; [10.1682243 21.8317757],0
p3,1,0.010498,6.548416,[46 29] ; [11 21],[39.95327103 35.04672897] ; [17.04672897 14.95327103],0
b5,1,0.02348,5.132637,[46 29] ; [12 20],[40.65420561 34.34579439] ; [17.34579439 14.65420561],0
v1,1,0.024026,5.092727,[35 37] ; [ 8 24],[29.76923077 42.23076923] ; [13.23076923 18.76923077],0
p1,1,0.02502,5.022515,[15 60] ; [ 1 31],[11.21495327 63.78504673] ; [ 4.78504673 27.21495327],0
r1,1,0.03204,4.596352,[53 21] ; [16 16],[48.16981132 25.83018868] ; [20.83018868 11.16981132],0
b4,1,0.036061,4.394196,[40 35] ; [10 22],[35.04672897 39.95327103] ; [14.95327103 17.04672897],0
s6,1,0.043728,4.067052,[44 27] ; [13 19],[39.29126214 31.70873786] ; [17.70873786 14.29126214],0
p9,1,0.061612,3.493443,[59 15] ; [20 12],[55.1509434 18.8490566] ; [23.8490566  8.1509434],0
s5,1,0.090269,2.869561,[23 50] ; [ 5 27],[19.46666667 53.53333333] ; [ 8.53333333 23.46666667],0
u2,1,0.091768,2.843087,[18 23] ; [11  5],[20.85964912 20.14035088] ; [8.14035088 7.85964912],0
r4,1,0.102052,2.673181,[64 11] ; [23  9],[60.98130841 14.01869159] ; [26.01869159  5.98130841],0
v2,1,0.106963,2.59853,[38 34] ; [11 20],[34.25242718 37.74757282] ; [14.74757282 16.25242718],0
s3,1,0.127006,2.328724,[42 32] ; [13 19],[38.39622642 35.60377358] ; [16.60377358 15.39622642],0
p2,1,0.139646,2.181856,[65 10] ; [24  8],[62.38317757 12.61682243] ; [26.61682243  5.38317757],0
a2,1,0.148727,2.085259,[ 9 66] ; [ 1 31],[ 7.00934579 67.99065421] ; [ 2.99065421 29.00934579],0
p11,1,0.155022,2.022122,[59 16] ; [21 11],[56.07476636 18.92523364] ; [23.92523364  8.07476636],0
p8,1,0.159848,1.97566,[49 25] ; [16 15],[45.80952381 28.19047619] ; [19.19047619 11.80952381],0
r2,1,0.18068,1.792022,[67  7] ; [26  6],[64.9245283  9.0754717] ; [28.0754717  3.9245283],0
v4,1,0.204283,1.611486,[70  4] ; [28  4],[68.41509434  5.58490566] ; [29.58490566  2.41509434],0
a6,1,0.210393,1.568717,[45 30] ; [15 17],[42.05607477 32.94392523] ; [17.94392523 14.05607477],0
p10,1,0.221571,1.494167,[57 17] ; [21 11],[54.45283019 19.54716981] ; [23.54716981  8.45283019],0
p5,1,0.240835,1.375699,[11 64] ; [ 2 29],[ 9.19811321 65.80188679] ; [ 3.80188679 27.19811321],0
a4,1,0.272659,1.20332,[24 50] ; [ 7 25],[21.64150943 52.35849057] ; [ 9.35849057 22.64150943],0
n1,1,0.295694,1.093514,[9 8] ; [4 8],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
b1,1,0.300931,1.070062,[34 41] ; [18 14],[36.44859813 38.55140187] ; [15.55140187 16.44859813],0
d3,1,0.314581,1.011344,[25 50] ; [ 7 23],[22.85714286 52.14285714] ; [ 9.14285714 20.85714286],0
p12,1,0.350441,0.871859,[ 6 69] ; [ 1 31],[ 4.90654206 70.09345794] ; [ 2.09345794 29.90654206],0
s1,1,0.387077,0.748105,[ 2 71] ; [ 2 30],[ 2.78095238 70.21904762] ; [ 1.21904762 30.78095238],0
n3,1,0.426716,0.631744,[14  3] ; [12  1],[14.73333333  2.26666667] ; [11.26666667  1.73333333],0
b3,1,0.445709,0.581541,[13 38] ; [ 3 15],[11.82608696 39.17391304] ; [ 4.17391304 13.82608696],0
b2,1,0.445709,0.581541,[13 38] ; [ 3 15],[11.82608696 39.17391304] ; [ 4.17391304 13.82608696],0
s8,1,0.467602,0.527637,[31 43] ; [11 21],[29.32075472 44.67924528] ; [12.67924528 19.32075472],0
a1,1,0.530964,0.392546,[ 1 74] ; [ 1 31],[ 1.40186916 73.59813084] ; [ 0.59813084 31.40186916],0
s7,1,0.55733,0.344348,[32 37] ; [12 18],[30.66666667 38.33333333] ; [13.33333333 16.66666667],0
r3,1,0.621434,0.243857,[68  7] ; [28  4],[67.28971963  7.71028037] ; [28.71028037  3.28971963],0
d2,1,0.652873,0.202297,[18 57] ; [ 9 23],[18.92523364 56.07476636] ; [ 8.07476636 23.92523364],0
p6,1,0.653212,0.201874,[34 41] ; [13 19],[32.94392523 42.05607477] ; [14.05607477 17.94392523],0
n2,1,0.656787,0.19745,[13  4] ; [9 4],[12.46666667  4.53333333] ; [9.53333333 3.46666667],0
a5,1,0.657782,0.196229,[41 34] ; [16 16],[39.95327103 35.04672897] ; [17.04672897 14.95327103],0
a3,1,0.657782,0.196229,[34 41] ; [16 16],[35.04672897 39.95327103] ; [14.95327103 17.04672897],0
s2,1,0.748465,0.102825,[28 47] ; [13 19],[28.73831776 46.26168224] ; [12.26168224 19.73831776],0
s4,1,0.851643,0.034978,[15 59] ; [ 7 25],[15.35849057 58.64150943] ; [ 6.64150943 25.35849057],0
a7,1,0.894208,0.017684,[47 28] ; [19 12],[46.69811321 28.30188679] ; [19.30188679 11.69811321],0
p4,1,0.909513,0.012917,[46 29] ; [20 12],[46.26168224 28.73831776] ; [19.73831776 12.26168224],0
a8,1,0.92154,0.009701,[ 7 63] ; [ 3 29],[ 6.8627451 63.1372549] ; [ 3.1372549 28.8627451],0
d5,1,0.929362,0.007858,[37 38] ; [15 16],[36.79245283 38.20754717] ; [15.20754717 15.79245283],0
u3,1,0.991685,0.000109,[18 23] ; [7 9],[17.98245614 23.01754386] ; [7.01754386 8.98245614],0
