Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.006184,7.496007,[12  4] ; [ 9 19],[7.63636364 8.36363636] ; [13.36363636 14.63636364],0
n4,1,0.012818,6.194074,[15  1] ; [17 12],[11.37777778  4.62222222] ; [20.62222222  8.37777778],0
s5,1,0.110434,2.548002,[ 2 14] ; [10 19],[ 4.26666667 11.73333333] ; [ 7.73333333 21.26666667],0
n6,1,0.110434,2.548002,[14  2] ; [19 10],[11.73333333  4.26666667] ; [21.26666667  7.73333333],0
b5,1,0.113791,2.50077,[10  6] ; [11 18],[7.46666667 8.53333333] ; [13.53333333 15.46666667],0
u2,1,0.118991,2.430556,[2 4] ; [6 2],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
d1,1,0.123617,2.370882,[11  5] ; [13 16],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
n3,1,0.124541,2.359259,[1 2] ; [8 2],[2.07692308 0.92307692] ; [6.92307692 3.07692308],0
p6,1,0.154362,2.028608,[ 1 14] ; [ 7 22],[ 2.72727273 12.27272727] ; [ 5.27272727 23.72727273],0
s2,1,0.157022,2.002674,[9 7] ; [10 19],[6.75555556 9.24444444] ; [12.24444444 16.75555556],0
b1,1,0.209077,1.577804,[8 8] ; [20  9],[9.95555556 6.04444444] ; [18.04444444 10.95555556],0
v1,1,0.222215,1.490008,[ 6 10] ; [ 6 23],[ 4.26666667 11.73333333] ; [ 7.73333333 21.26666667],0
a1,1,0.243926,1.357759,[ 2 14] ; [ 1 28],[ 1.06666667 14.93333333] ; [ 1.93333333 27.06666667],0
d4,1,0.243926,1.357759,[14  2] ; [21  8],[12.44444444  3.55555556] ; [22.55555556  6.44444444],0
s1,1,0.243926,1.357759,[ 2 14] ; [ 1 28],[ 1.06666667 14.93333333] ; [ 1.93333333 27.06666667],0
p7,1,0.25246,1.309637,[10  3] ; [17 12],[8.35714286 4.64285714] ; [18.64285714 10.35714286],0
a2,1,0.299145,1.078001,[ 1 15] ; [ 5 24],[ 2.13333333 13.86666667] ; [ 3.86666667 25.13333333],0
r3,1,0.299145,1.078001,[15  1] ; [24  5],[13.86666667  2.13333333] ; [25.13333333  3.86666667],0
n2,1,0.325892,0.965152,[1 1] ; [9 2],[1.53846154 0.46153846] ; [8.46153846 2.53846154],0
r1,1,0.350169,0.872845,[14  2] ; [22  7],[12.8  3.2] ; [23.2  5.8],0
r4,1,0.372382,0.795699,[13  3] ; [20  9],[11.73333333  4.26666667] ; [21.26666667  7.73333333],0
b4,1,0.37841,0.775862,[12  4] ; [18 11],[10.66666667  5.33333333] ; [19.33333333  9.66666667],0
n5,1,0.37841,0.775862,[12  4] ; [18 11],[10.66666667  5.33333333] ; [19.33333333  9.66666667],0
p3,1,0.381996,0.764268,[ 6 10] ; [ 7 21],[ 4.72727273 11.27272727] ; [ 8.27272727 19.72727273],0
a5,1,0.432663,0.615664,[8 8] ; [18 11],[9.24444444 6.75555556] ; [16.75555556 12.24444444],0
s3,1,0.432663,0.615664,[8 8] ; [18 11],[9.24444444 6.75555556] ; [16.75555556 12.24444444],0
d5,1,0.491556,0.473119,[14  2] ; [23  6],[13.15555556  2.84444444] ; [23.84444444  5.15555556],0
a3,1,0.49168,0.472847,[10  6] ; [21  8],[11.02222222  4.97777778] ; [19.97777778  9.02222222],0
d3,1,0.5023,0.450073,[11  5] ; [17 12],[9.95555556 6.04444444] ; [18.04444444 10.95555556],0
u3,1,0.532884,0.388889,[4 2] ; [4 4],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
s7,1,0.585705,0.297102,[8 6] ; [14 15],[7.1627907 6.8372093] ; [14.8372093 14.1627907],0
v4,1,0.620236,0.245536,[15  1] ; [25  3],[14.54545455  1.45454545] ; [25.45454545  2.54545455],0
u1,1,0.644053,0.21348,[ 1 15] ; [ 3 26],[ 1.42222222 14.57777778] ; [ 2.57777778 26.42222222],0
a4,1,0.668999,0.182775,[ 4 12] ; [ 9 20],[ 4.62222222 11.37777778] ; [ 8.37777778 20.62222222],0
r2,1,0.687469,0.161839,[14  1] ; [26  3],[13.63636364  1.36363636] ; [26.36363636  2.63636364],0
b2,1,0.697893,0.150673,[3 8] ; [ 4 15],[2.56666667 8.43333333] ; [ 4.43333333 14.56666667],0
b3,1,0.697893,0.150673,[3 8] ; [ 4 15],[2.56666667 8.43333333] ; [ 4.43333333 14.56666667],0
s6,1,0.739193,0.110837,[8 8] ; [13 16],[7.46666667 8.53333333] ; [13.53333333 15.46666667],0
d2,1,0.739193,0.110837,[8 8] ; [13 16],[7.46666667 8.53333333] ; [13.53333333 15.46666667],0
p4,1,0.759265,0.093909,[6 9] ; [13 16],[6.47727273 8.52272727] ; [12.52272727 16.47727273],0
p8,1,0.770816,0.08486,[7 9] ; [14 15],[7.46666667 8.53333333] ; [13.53333333 15.46666667],0
a6,1,0.839602,0.040967,[10  6] ; [19 10],[10.31111111  5.68888889] ; [18.68888889 10.31111111],0
s4,1,0.868126,0.027569,[ 2 14] ; [ 4 24],[ 2.18181818 13.81818182] ; [ 3.81818182 24.18181818],0
s8,1,0.977225,0.000815,[ 6 10] ; [11 18],[6.04444444 9.95555556] ; [10.95555556 18.04444444],0
a7,1,0.988073,0.000223,[11  5] ; [20  9],[11.02222222  4.97777778] ; [19.97777778  9.02222222],0
p2,1,0.988073,0.000223,[11  5] ; [20  9],[11.02222222  4.97777778] ; [19.97777778  9.02222222],0
p11,1,0.988073,0.000223,[11  5] ; [20  9],[11.02222222  4.97777778] ; [19.97777778  9.02222222],0
a8,1,1.0,0.0,[ 2 12] ; [ 4 24],[ 2. 12.] ; [ 4. 24.],0
