Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,80.581081,[ 8 33] ; [217  40],[30.95637584 10.04362416] ; [194.04362416  62.95637584],1
v4,1,0.0,45.761654,[22 19] ; [235  20],[35.59797297  5.40202703] ; [221.40202703  33.59797297],1
r3,1,8e-06,19.990069,[23 17] ; [222  35],[32.996633  7.003367] ; [212.003367  44.996633],1
r1,1,4.4e-05,16.70043,[15 26] ; [177  78],[26.59459459 14.40540541] ; [165.40540541  89.59459459],1
d5,1,0.00014,14.505991,[18 23] ; [188  68],[28.43771044 12.56228956] ; [177.56228956  78.43771044],1
d1,1,0.0007,11.488379,[ 7 34] ; [116 141],[16.92281879 24.07718121] ; [106.07718121 150.92281879],1
a7,1,0.00094,10.941265,[17 24] ; [175  82],[26.41610738 14.58389262] ; [165.58389262  91.41610738],1
u3,1,0.001835,9.707891,[ 5 17] ; [56 38],[11.56896552 10.43103448] ; [49.43103448 44.56896552],0
a6,1,0.003041,8.78297,[17 24] ; [168  88],[25.53872054 15.46127946] ; [159.46127946  96.53872054],0
s2,1,0.006702,7.351022,[ 8 33] ; [106 148],[15.8440678 25.1559322] ; [ 98.1559322 155.8440678],0
n4,1,0.00752,7.144438,[20 21] ; [179  77],[27.47138047 13.52861953] ; [171.52861953  84.47138047],0
s6,1,0.008342,6.958584,[14 27] ; [143 111],[21.82033898 19.17966102] ; [135.17966102 118.82033898],0
d2,1,0.008523,6.920246,[ 9 32] ; [111 143],[16.6779661 24.3220339] ; [103.3220339 150.6779661],0
p11,1,0.009182,6.786983,[19 22] ; [173  84],[26.41610738 14.58389262] ; [165.58389262  91.41610738],0
v1,1,0.010493,6.54916,[ 7 34] ; [ 94 156],[14.23024055 26.76975945] ; [ 86.76975945 163.23024055],0
s3,1,0.011164,6.439049,[12 28] ; [131 123],[19.45578231 20.54421769] ; [123.54421769 130.45578231],0
b1,1,0.013843,6.058044,[25 16] ; [104 153],[17.74832215 23.25167785] ; [111.25167785 145.74832215],0
a4,1,0.016899,5.706827,[ 8 33] ; [ 99 156],[14.82094595 26.17905405] ; [ 92.17905405 162.82094595],0
a2,1,0.028102,4.821769,[ 2 39] ; [ 48 209],[ 6.87919463 34.12080537] ; [ 43.12080537 213.87919463],0
n5,1,0.038723,4.272995,[22 19] ; [179  77],[27.74747475 13.25252525] ; [173.25252525  82.74747475],0
p10,1,0.04108,4.172698,[21 20] ; [171  82],[26.7755102 14.2244898] ; [165.2244898  87.7755102],0
u1,1,0.051722,3.784753,[ 1 40] ; [ 33 224],[ 4.67785235 36.32214765] ; [ 29.32214765 227.67785235],0
a3,1,0.052905,3.746916,[19 21] ; [162  93],[24.54237288 15.45762712] ; [156.45762712  98.54237288],0
a5,1,0.065877,3.382883,[20 21] ; [164  93],[25.31543624 15.68456376] ; [158.68456376  98.31543624],0
n6,1,0.074977,3.170551,[25 15] ; [194  62],[29.59459459 10.40540541] ; [189.40540541  66.59459459],0
d3,1,0.078073,3.104577,[18 23] ; [150 106],[23.19191919 17.80808081] ; [144.80808081 111.19191919],0
p2,1,0.097243,2.750192,[24 17] ; [182  73],[28.53378378 12.46621622] ; [177.46621622  77.53378378],0
n2,1,0.136897,2.212491,[8 9] ; [53 27],[10.69072165  6.30927835] ; [50.30927835 29.69072165],0
p9,1,0.147897,2.09381,[24 16] ; [179  72],[27.90378007 12.09621993] ; [175.09621993  75.90378007],0
s5,1,0.188246,1.731289,[ 6 35] ; [ 60 191],[ 9.26712329 31.73287671] ; [ 56.73287671 194.26712329],0
p8,1,0.200988,1.635181,[10 30] ; [ 90 165],[13.55932203 26.44067797] ; [ 86.44067797 168.55932203],0
p3,1,0.218074,1.516997,[10 31] ; [ 87 168],[13.43581081 27.56418919] ; [ 83.56418919 171.43581081],0
b5,1,0.251292,1.316105,[22 19] ; [162  95],[25.31543624 15.68456376] ; [158.68456376  98.31543624],0
d4,1,0.269107,1.221293,[26 15] ; [184  72],[28.98989899 12.01010101] ; [181.01010101  74.98989899],0
n3,1,0.354532,0.857171,[9 8] ; [50 27],[10.67021277  6.32978723] ; [48.32978723 28.67021277],0
n1,1,0.373569,0.791757,[ 5 12] ; [32 46],[ 6.62105263 10.37894737] ; [30.37894737 47.62105263],0
a1,1,0.393412,0.728371,[ 3 38] ; [ 11 246],[ 1.9261745 39.0738255] ; [ 12.0738255 244.9261745],0
p5,1,0.395771,0.721139,[ 4 36] ; [ 16 236],[ 2.73972603 37.26027397] ; [ 17.26027397 234.73972603],0
a8,1,0.408081,0.684385,[ 6 33] ; [ 26 214],[ 4.47311828 34.52688172] ; [ 27.52688172 212.47311828],0
s1,1,0.413927,0.667493,[ 4 37] ; [ 16 238],[ 2.77966102 38.22033898] ; [ 17.22033898 236.77966102],0
p1,1,0.479072,0.500975,[ 4 37] ; [ 17 237],[ 2.91864407 38.08135593] ; [ 18.08135593 235.91864407],0
s7,1,0.485426,0.486649,[11 27] ; [ 84 158],[12.89285714 25.10714286] ; [ 82.10714286 159.89285714],0
s8,1,0.487491,0.48206,[10 31] ; [ 76 180],[11.87205387 29.12794613] ; [ 74.12794613 181.87205387],0
b4,1,0.51131,0.431385,[26 15] ; [149 108],[24.07718121 16.92281879] ; [150.92281879 106.07718121],0
p4,1,0.578383,0.308856,[15 26] ; [105 150],[16.62162162 24.37837838] ; [103.37837838 151.62162162],0
s4,1,0.601939,0.272082,[ 6 35] ; [ 46 210],[ 7.17845118 33.82154882] ; [ 44.82154882 211.17845118],0
v3,1,0.626016,0.237503,[ 6 35] ; [ 44 204],[ 7.09342561 33.90657439] ; [ 42.90657439 205.09342561],0
u2,1,0.701053,0.147379,[12 10] ; [47 47],[11.18965517 10.81034483] ; [47.81034483 46.18965517],0
b2,1,0.935276,0.006595,[ 8 19] ; [ 43 106],[ 7.82386364 19.17613636] ; [ 43.17613636 105.82386364],0
b3,1,0.935276,0.006595,[ 8 19] ; [ 43 106],[ 7.82386364 19.17613636] ; [ 43.17613636 105.82386364],0
p7,1,0.951951,0.003631,[17 24] ; [102 147],[16.82413793 24.17586207] ; [102.17586207 146.82413793],0
