Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.003565,8.493061,[ 2 13] ; [13  8],[6.25 8.75] ; [ 8.75 12.25],0
d4,1,0.004124,8.228571,[6 9] ; [18  3],[10.  5.] ; [14.  7.],0
a5,1,0.025842,4.966531,[ 3 12] ; [12  9],[6.25 8.75] ; [ 8.75 12.25],0
p4,1,0.059333,3.555918,[6 9] ; [15  6],[8.75 6.25] ; [12.25  8.75],0
s5,1,0.089688,2.879968,[ 1 13] ; [ 6 13],[ 2.96969697 11.03030303] ; [ 4.03030303 14.96969697],0
s6,1,0.141763,2.158717,[6 9] ; [13  7],[8.14285714 6.85714286] ; [10.85714286  9.14285714],0
a8,1,0.143391,2.14119,[ 3 11] ; [ 1 19],[ 1.64705882 12.35294118] ; [ 2.35294118 17.64705882],0
b1,1,0.151494,2.057143,[8 7] ; [16  5],[10.  5.] ; [14.  7.],0
p7,1,0.173617,1.851429,[14  1] ; [16  5],[12.5  2.5] ; [17.5  3.5],0
p2,1,0.175334,1.836735,[10  5] ; [18  3],[11.66666667  3.33333333] ; [16.33333333  4.66666667],0
u3,1,0.17753,1.818182,[3 7] ; [6 4],[4.5 5.5] ; [4.5 5.5],0
s8,1,0.207196,1.590909,[ 3 12] ; [ 8 12],[ 4.71428571 10.28571429] ; [ 6.28571429 13.71428571],0
n6,1,0.245237,1.350234,[12  3] ; [13  8],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
a3,1,0.256839,1.285714,[ 5 10] ; [11 10],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
n4,1,0.265114,1.241854,[8 7] ; [15  6],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
d3,1,0.265114,1.241854,[8 7] ; [15  6],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
p1,1,0.289601,1.121475,[ 1 14] ; [ 4 17],[ 2.08333333 12.91666667] ; [ 2.91666667 18.08333333],0
a7,1,0.318725,0.994171,[11  4] ; [12  9],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
p10,1,0.324127,0.972222,[ 2 12] ; [ 6 15],[ 3.2 10.8] ; [ 4.8 16.2],0
r4,1,0.354777,0.856298,[11  4] ; [18  3],[12.08333333  2.91666667] ; [16.91666667  4.08333333],0
v4,1,0.358951,0.841558,[13  2] ; [20  1],[13.75  1.25] ; [19.25  1.75],0
r3,1,0.358951,0.841558,[13  2] ; [20  1],[13.75  1.25] ; [19.25  1.75],0
u2,1,0.36131,0.833333,[5 5] ; [7 3],[6. 4.] ; [6. 4.],0
p3,1,0.391366,0.734694,[ 5 10] ; [10 11],[6.25 8.75] ; [ 8.75 12.25],0
n5,1,0.463193,0.538169,[9 6] ; [10 11],[7.91666667 7.08333333] ; [11.08333333  9.91666667],0
s4,1,0.557706,0.343693,[ 2 13] ; [ 4 15],[ 2.64705882 12.35294118] ; [ 3.35294118 15.64705882],0
v1,1,0.563341,0.333952,[ 5 10] ; [ 9 12],[5.83333333 9.16666667] ; [ 8.16666667 12.83333333],0
s3,1,0.650147,0.205714,[9 6] ; [11 10],[8.33333333 6.66666667] ; [11.66666667  9.33333333],0
b4,1,0.735317,0.114286,[7 8] ; [11 10],[7.5 7.5] ; [10.5 10.5],0
n1,1,0.740144,0.11,[3 2] ; [3 3],[2.72727273 2.27272727] ; [3.27272727 2.72727273],0
n3,1,0.793428,0.068571,[4 1] ; [6 1],[4.16666667 0.83333333] ; [5.83333333 1.16666667],0
n2,1,0.793428,0.068571,[4 1] ; [6 1],[4.16666667 0.83333333] ; [5.83333333 1.16666667],0
s1,1,0.793823,0.068304,[ 1 13] ; [ 1 19],[ 0.82352941 13.17647059] ; [ 1.17647059 18.82352941],0
s7,1,0.797004,0.066165,[6 9] ; [ 8 10],[6.36363636 8.63636364] ; [ 7.63636364 10.36363636],0
p5,1,0.805701,0.060504,[ 1 14] ; [ 1 20],[ 0.83333333 14.16666667] ; [ 1.16666667 19.83333333],0
s2,1,0.820596,0.051429,[7 8] ; [ 9 12],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
v2,1,0.820596,0.051429,[7 8] ; [ 9 12],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
p8,1,0.863887,0.029388,[9 6] ; [12  9],[8.75 6.25] ; [12.25  8.75],0
p11,1,0.863887,0.029388,[9 6] ; [12  9],[8.75 6.25] ; [12.25  8.75],0
b2,1,0.888683,0.019592,[4 6] ; [6 8],[4.16666667 5.83333333] ; [5.83333333 8.16666667],0
b3,1,0.888683,0.019592,[4 6] ; [6 8],[4.16666667 5.83333333] ; [5.83333333 8.16666667],0
b5,1,0.907988,0.013358,[9 6] ; [13  8],[9.16666667 5.83333333] ; [12.83333333  8.16666667],0
r2,1,0.935075,0.006636,[13  2] ; [18  3],[12.91666667  2.08333333] ; [18.08333333  2.91666667],0
v3,1,0.943253,0.005067,[ 3 12] ; [ 4 17],[ 2.91666667 12.08333333] ; [ 4.08333333 16.91666667],0
a6,1,0.954999,0.003184,[7 8] ; [10 11],[7.08333333 7.91666667] ; [ 9.91666667 11.08333333],0
r1,1,1.0,0.0,[10  5] ; [14  7],[10.  5.] ; [14.  7.],0
