Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.00252,9.125924,[ 4 55] ; [13 32],[ 9.64423077 49.35576923] ; [ 7.35576923 37.64423077],0
n6,1,0.015934,5.810175,[32 27] ; [34 10],[37.80582524 21.19417476] ; [28.19417476 15.80582524],0
p9,1,0.02246,5.209793,[38 21] ; [38  7],[43.11538462 15.88461538] ; [32.88461538 12.11538462],0
u1,1,0.037039,4.348635,[ 3 56] ; [ 8 37],[ 6.24038462 52.75961538] ; [ 4.75961538 40.24038462],0
v2,1,0.042297,4.123265,[23 32] ; [28 17],[28.05 26.95] ; [22.95 22.05],0
n5,1,0.044666,4.031188,[18 41] ; [22 22],[22.91262136 36.08737864] ; [17.08737864 26.91262136],0
p10,1,0.056178,3.646781,[37 22] ; [36  9],[41.41346154 17.58653846] ; [31.58653846 13.41346154],0
v3,1,0.072494,3.225627,[11 45] ; [16 29],[14.97029703 41.02970297] ; [12.02970297 32.97029703],0
b3,1,0.08061,3.052569,[ 7 26] ; [11 15],[10.06779661 22.93220339] ; [ 7.93220339 18.06779661],0
b2,1,0.08061,3.052569,[ 7 26] ; [11 15],[10.06779661 22.93220339] ; [ 7.93220339 18.06779661],0
s2,1,0.083764,2.990314,[24 35] ; [26 19],[28.36538462 30.63461538] ; [21.63461538 23.36538462],0
a4,1,0.091725,2.843842,[18 41] ; [21 24],[22.125 36.875] ; [16.875 28.125],0
d5,1,0.117358,2.452236,[39 20] ; [36  9],[42.54807692 16.45192308] ; [32.45192308 12.54807692],0
s7,1,0.14181,2.15821,[20 35] ; [22 21],[23.57142857 31.42857143] ; [18.42857143 24.57142857],0
n3,1,0.148731,2.085217,[19  5] ; [8 6],[17.05263158  6.94736842] ; [9.94736842 4.05263158],0
s3,1,0.149931,2.072949,[27 32] ; [27 18],[30.63461538 28.36538462] ; [23.36538462 21.63461538],0
d4,1,0.191936,1.702695,[42 17] ; [37  8],[44.81730769 14.18269231] ; [34.18269231 10.81730769],0
b5,1,0.200578,1.638158,[32 27] ; [30 15],[35.17307692 23.82692308] ; [26.82692308 18.17307692],0
d2,1,0.201407,1.632141,[19 40] ; [20 25],[22.125 36.875] ; [16.875 28.125],0
a3,1,0.213426,1.548036,[35 24] ; [32 13],[38.00961538 20.99038462] ; [28.99038462 16.00961538],0
a5,1,0.222278,1.4896,[38 21] ; [34 11],[40.84615385 18.15384615] ; [31.15384615 13.84615385],0
p12,1,0.233399,1.420029,[ 2 57] ; [ 4 41],[ 3.40384615 55.59615385] ; [ 2.59615385 42.40384615],0
a6,1,0.239855,1.381444,[34 25] ; [31 14],[36.875 22.125] ; [28.125 16.875],0
d1,1,0.267247,1.230824,[25 34] ; [24 21],[27.79807692 31.20192308] ; [21.20192308 23.79807692],0
s6,1,0.283699,1.149283,[36 23] ; [32 13],[38.57692308 20.42307692] ; [29.42307692 15.57692308],0
s4,1,0.303757,1.057627,[17 42] ; [ 9 36],[14.75 44.25] ; [11.25 33.75],0
s5,1,0.311449,1.024522,[17 39] ; [18 27],[19.40594059 36.59405941] ; [15.59405941 29.40594059],0
s8,1,0.360115,0.837491,[21 38] ; [20 25],[23.25961538 35.74038462] ; [17.74038462 27.25961538],0
p1,1,0.415104,0.664135,[ 4 55] ; [ 5 39],[ 5.15533981 53.84466019] ; [ 3.84466019 40.15533981],0
p3,1,0.448046,0.57559,[31 28] ; [27 18],[32.90384615 26.09615385] ; [25.09615385 19.90384615],0
p11,1,0.511806,0.430373,[37 22] ; [31 14],[38.57692308 20.42307692] ; [29.42307692 15.57692308],0
v4,1,0.529033,0.396249,[53  6] ; [42  3],[53.89423077  5.10576923] ; [41.10576923  3.89423077],0
r1,1,0.546206,0.364158,[38 20] ; [32 13],[39.41747573 18.58252427] ; [30.58252427 14.41747573],0
a8,1,0.595271,0.282187,[ 4 50] ; [ 2 40],[ 3.375 50.625] ; [ 2.625 39.375],0
u2,1,0.615898,0.251675,[14  9] ; [9 4],[14.69444444  8.30555556] ; [8.30555556 4.69444444],0
r4,1,0.617209,0.24981,[47 12] ; [34 11],[45.95192308 13.04807692] ; [35.04807692  9.95192308],0
r3,1,0.651359,0.204191,[54  5] ; [40  5],[53.32692308  5.67307692] ; [40.67307692  4.32692308],0
a7,1,0.668318,0.183576,[41 18] ; [33 12],[41.98076923 17.01923077] ; [32.01923077 12.98076923],0
p5,1,0.67199,0.179284,[ 5 53] ; [ 5 40],[ 5.63106796 52.36893204] ; [ 4.36893204 40.63106796],0
p6,1,0.682222,0.167636,[20 39] ; [17 28],[20.99038462 38.00961538] ; [16.00961538 28.99038462],0
n1,1,0.695487,0.153209,[ 8 15] ; [ 4 10],[ 7.45945946 15.54054054] ; [4.54054054 9.45945946],0
p2,1,0.772522,0.083566,[46 13] ; [34 11],[45.38461538 13.61538462] ; [34.61538462 10.38461538],0
a1,1,0.781715,0.076776,[ 2 57] ; [ 2 43],[ 2.26923077 56.73076923] ; [ 1.73076923 43.26923077],0
b4,1,0.85071,0.035424,[33 26] ; [26 19],[33.47115385 25.52884615] ; [25.52884615 19.47115385],0
d3,1,0.858016,0.032005,[41 18] ; [32 13],[41.41346154 17.58653846] ; [31.58653846 13.41346154],0
n2,1,0.868915,0.027237,[17  6] ; [10  4],[16.78378378  6.21621622] ; [10.21621622  3.78378378],0
s1,1,0.879796,0.02287,[ 3 56] ; [ 2 43],[ 2.83653846 56.16346154] ; [ 2.16346154 42.83653846],0
p7,1,0.884078,0.021258,[42 16] ; [32 13],[41.66990291 16.33009709] ; [32.33009709 12.66990291],0
p8,1,0.928545,0.008042,[33 25] ; [26 19],[33.22330097 24.77669903] ; [25.77669903 19.22330097],0
r2,1,0.973312,0.001119,[51  8] ; [39  6],[51.05769231  7.94230769] ; [38.94230769  6.05769231],0
b1,1,0.987707,0.000237,[25 34] ; [19 26],[24.96153846 34.03846154] ; [19.03846154 25.96153846],0
