Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,70.588794,[251   6] ; [3 5],[246.33207547  10.66792453] ; [7.66792453 0.33207547],1
r2,1,0.0,54.607737,[252   5] ; [4 4],[248.27169811   8.72830189] ; [7.72830189 0.27169811],1
r3,1,0.004905,7.914209,[245  10] ; [6 2],[243.36501901  11.63498099] ; [7.63498099 0.36501901],0
s2,1,0.027501,4.85905,[187  69] ; [3 5],[184.24242424  71.75757576] ; [5.75757576 2.24242424],0
d3,1,0.034379,4.475759,[185  72] ; [3 5],[182.3245283  74.6754717] ; [5.6754717 2.3245283],0
v1,1,0.0448,4.026165,[154 101] ; [2 6],[151.25475285 103.74524715] ; [4.74524715 3.25475285],0
a7,1,0.047513,3.92714,[180  76] ; [3 5],[177.45454545  78.54545455] ; [5.54545455 2.45454545],0
v3,1,0.054853,3.686539,[119 135] ; [1 7],[116.33587786 137.66412214] ; [3.66412214 4.33587786],0
d2,1,0.056075,3.64984,[136 119] ; [7 1],[138.65019011 116.34980989] ; [4.34980989 3.65019011],0
b5,1,0.109334,2.563827,[138 119] ; [2 6],[135.77358491 121.22641509] ; [4.22641509 3.77358491],0
a4,1,0.119561,2.423058,[136 121] ; [2 6],[133.83396226 123.16603774] ; [4.16603774 3.83396226],0
b4,1,0.129847,2.294337,[157 100] ; [7 1],[159.0490566  97.9509434] ; [4.9509434 3.0490566],0
p7,1,0.131129,2.279089,[185  65] ; [4 4],[183.13953488  66.86046512] ; [5.86046512 2.13953488],0
p9,1,0.133797,2.247889,[229  23] ; [6 2],[227.76923077  24.23076923] ; [7.23076923 0.76923077],0
b1,1,0.142285,2.153066,[ 95 162] ; [5 3],[ 96.98113208 160.01886792] ; [3.01886792 4.98113208],0
s6,1,0.198668,1.652137,[223  31] ; [5 2],[221.88505747  32.11494253] ; [6.11494253 0.88505747],0
p4,1,0.243166,1.362146,[177  78] ; [4 4],[175.49429658  79.50570342] ; [5.50570342 2.49429658],0
s8,1,0.257006,1.284812,[147 108] ; [3 5],[145.43726236 109.56273764] ; [4.56273764 3.43726236],0
p5,1,0.307874,1.039774,[ 57 200] ; [3 5],[ 58.18867925 198.81132075] ; [1.81132075 6.18867925],0
p1,1,0.319944,0.989177,[ 33 223] ; [2 6],[ 33.93939394 222.06060606] ; [1.06060606 6.93939394],0
d1,1,0.369719,0.80461,[168  89] ; [4 4],[166.80754717  90.19245283] ; [5.19245283 2.80754717],0
b3,1,0.402422,0.701076,[63 90] ; [4 3],[64.06875 88.93125] ; [2.93125 4.06875],0
b2,1,0.402422,0.701076,[63 90] ; [4 3],[64.06875 88.93125] ; [2.93125 4.06875],0
p2,1,0.404481,0.694965,[220  37] ; [6 2],[219.17735849  37.82264151] ; [6.82264151 1.17735849],0
s4,1,0.406903,0.687831,[ 64 188] ; [1 7],[ 63. 189.] ; [2. 6.],0
r1,1,0.430145,0.622433,[218  38] ; [6 2],[217.21212121  38.78787879] ; [6.78787879 1.21212121],0
d5,1,0.497975,0.45925,[215  41] ; [6 2],[214.3030303  41.6969697] ; [6.6969697 1.3030303],0
n5,1,0.539613,0.376258,[214  43] ; [6 2],[213.35849057  43.64150943] ; [6.64150943 1.35849057],0
p8,1,0.567061,0.327625,[152 101] ; [4 4],[151.2183908 101.7816092] ; [4.7816092 3.2183908],0
v2,1,0.595984,0.281096,[149 102] ; [4 4],[148.27413127 102.72586873] ; [4.72586873 3.27413127],0
n4,1,0.611627,0.257812,[210  46] ; [6 2],[209.45454545  46.54545455] ; [6.54545455 1.45454545],0
p11,1,0.623127,0.241497,[207  50] ; [7 1],[207.53962264  49.46037736] ; [6.46037736 1.53962264],0
s7,1,0.638134,0.221191,[161  84] ; [4 3],[160.41666667  84.58333333] ; [4.58333333 2.41666667],0
a5,1,0.657628,0.196418,[209  48] ; [7 1],[209.47924528  47.52075472] ; [6.52075472 1.47924528],0
s3,1,0.72516,0.123602,[173  80] ; [5 3],[172.5440613  80.4559387] ; [5.4559387 2.5440613],0
u3,1,0.72998,0.11913,[36 22] ; [1 1],[35.76666667 22.23333333] ; [1.23333333 0.76666667],0
p3,1,0.832111,0.044942,[151 106] ; [5 3],[151.29056604 105.70943396] ; [4.70943396 3.29056604],0
a3,1,0.838231,0.04168,[199  56] ; [6 2],[198.76425856  56.23574144] ; [6.23574144 1.76425856],0
p12,1,0.884877,0.020964,[ 32 225] ; [1 6],[ 32.125 224.875] ; [0.875 6.125],0
p10,1,0.892518,0.018257,[227  28] ; [7 1],[226.88212928  28.11787072] ; [7.11787072 0.88212928],0
p6,1,0.895215,0.017347,[121 133] ; [4 4],[121.18320611 132.81679389] ; [3.81679389 4.18320611],0
a6,1,0.927752,0.008222,[164  92] ; [5 3],[163.87878788  92.12121212] ; [5.12121212 2.87878788],0
d4,1,0.945523,0.004669,[221  34] ; [7 1],[221.06463878  33.93536122] ; [6.93536122 1.06463878],0
a8,1,0.947416,0.00435,[ 31 202] ; [1 7],[ 30.93775934 202.06224066] ; [1.06224066 6.93775934],0
n1,1,0.957403,0.002853,[25 27] ; [1 1],[25.03703704 26.96296296] ; [0.96296296 1.03703704],0
