Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,28.362429,[ 3 13] ; [57 10],[11.56626506  4.43373494] ; [48.43373494 18.56626506],1
n5,1,0.000539,11.975349,[ 6 10] ; [54 13],[11.56626506  4.43373494] ; [48.43373494 18.56626506],1
d1,1,0.002241,9.340902,[ 3 13] ; [41 26],[8.48192771 7.51807229] ; [35.51807229 31.48192771],0
d4,1,0.00727,7.204989,[7 9] ; [52 15],[11.37349398  4.62650602] ; [47.62650602 19.37349398],0
d5,1,0.008194,6.990645,[7 9] ; [51 15],[11.31707317  4.68292683] ; [46.68292683 19.31707317],0
a5,1,0.010067,6.622984,[ 6 10] ; [48 19],[10.40963855  5.59036145] ; [43.59036145 23.40963855],0
a3,1,0.012593,6.225417,[7 9] ; [50 16],[11.12195122  4.87804878] ; [45.87804878 20.12195122],0
p4,1,0.024189,5.08104,[7 9] ; [49 18],[10.79518072  5.20481928] ; [45.20481928 21.79518072],0
v1,1,0.052228,3.768441,[ 5 11] ; [39 28],[8.48192771 7.51807229] ; [35.51807229 31.48192771],0
p3,1,0.085759,2.952231,[ 6 10] ; [41 26],[9.06024096 6.93975904] ; [37.93975904 29.06024096],0
r4,1,0.087273,2.92397,[11  5] ; [58  9],[13.30120482  2.69879518] ; [55.69879518 11.30120482],0
p2,1,0.110353,2.549157,[14  2] ; [65  2],[15.22891566  0.77108434] ; [63.77108434  3.22891566],0
d3,1,0.114404,2.492308,[8 8] ; [46 19],[10.66666667  5.33333333] ; [43.33333333 21.66666667],0
p11,1,0.121617,2.396366,[10  6] ; [54 13],[12.3373494  3.6626506] ; [51.6626506 15.3373494],0
n4,1,0.121617,2.396366,[10  6] ; [54 13],[12.3373494  3.6626506] ; [51.6626506 15.3373494],0
n6,1,0.127338,2.324659,[11  5] ; [57 10],[13.10843373  2.89156627] ; [54.89156627 12.10843373],0
b1,1,0.133567,2.250544,[9 7] ; [24 43],[6.36144578 9.63855422] ; [26.63855422 40.36144578],0
r1,1,0.145194,2.122035,[9 7] ; [50 17],[11.37349398  4.62650602] ; [47.62650602 19.37349398],0
v3,1,0.152582,2.046241,[ 4 12] ; [29 36],[6.51851852 9.48148148] ; [26.48148148 38.51851852],0
n1,1,0.153607,2.036058,[5 3] ; [4 9],[3.42857143 4.57142857] ; [5.57142857 7.42857143],0
r3,1,0.16928,1.889308,[13  3] ; [62  5],[14.45783133  1.54216867] ; [60.54216867  6.45783133],0
s8,1,0.227404,1.457028,[ 3 13] ; [23 44],[ 5.01204819 10.98795181] ; [20.98795181 46.01204819],0
a6,1,0.233019,1.422339,[9 7] ; [48 19],[10.98795181  5.01204819] ; [46.01204819 20.98795181],0
p8,1,0.244299,1.355616,[8 8] ; [44 23],[10.02409639  5.97590361] ; [41.97590361 25.02409639],0
a4,1,0.27611,1.186137,[ 5 11] ; [31 36],[6.93975904 9.06024096] ; [29.06024096 37.93975904],0
a2,1,0.320978,0.984957,[ 2 14] ; [16 51],[ 3.46987952 12.53012048] ; [14.53012048 52.46987952],0
u3,1,0.340018,0.910364,[3 6] ; [9 8],[4.15384615 4.84615385] ; [7.84615385 9.15384615],0
p7,1,0.365279,0.819663,[14  2] ; [51 15],[12.68292683  3.31707317] ; [52.31707317 13.68292683],0
r2,1,0.374883,0.787414,[14  2] ; [62  4],[14.82926829  1.17073171] ; [61.17073171  4.82926829],0
s3,1,0.399242,0.710607,[ 6 10] ; [18 49],[ 4.62650602 11.37349398] ; [19.37349398 47.62650602],0
s4,1,0.42778,0.628843,[ 1 15] ; [ 9 58],[ 1.92771084 14.07228916] ; [ 8.07228916 58.92771084],0
n3,1,0.47433,0.511871,[8 1] ; [10  3],[7.36363636 1.63636364] ; [10.63636364  2.36363636],0
b5,1,0.504058,0.446382,[11  5] ; [40 27],[9.8313253 6.1686747] ; [41.1686747 25.8313253],0
u1,1,0.519107,0.415668,[ 2 14] ; [13 54],[ 2.89156627 13.10843373] ; [12.10843373 54.89156627],0
s2,1,0.542389,0.37113,[ 5 11] ; [16 51],[ 4.04819277 11.95180723] ; [16.95180723 50.04819277],0
b2,1,0.566598,0.328407,[5 5] ; [24 16],[5.8 4.2] ; [23.2 16.8],0
b3,1,0.566598,0.328407,[5 5] ; [24 16],[5.8 4.2] ; [23.2 16.8],0
d2,1,0.597751,0.278402,[ 6 10] ; [30 37],[6.93975904 9.06024096] ; [29.06024096 37.93975904],0
n2,1,0.658076,0.195869,[7 2] ; [9 4],[6.54545455 2.45454545] ; [9.45454545 3.54545455],0
s7,1,0.687194,0.16214,[5 9] ; [27 38],[5.67088608 8.32911392] ; [26.32911392 38.67088608],0
a7,1,0.742606,0.107849,[12  4] ; [52 14],[12.48780488  3.51219512] ; [51.51219512 14.48780488],0
s5,1,0.777406,0.07992,[ 3 12] ; [11 54],[ 2.625 12.375] ; [11.375 53.625],0
a8,1,0.823284,0.049873,[ 2 14] ; [ 6 51],[ 1.75342466 14.24657534] ; [ 6.24657534 50.75342466],0
b4,1,0.872075,0.025928,[8 8] ; [35 32],[8.28915663 7.71084337] ; [34.71084337 32.28915663],0
u2,1,0.872518,0.025748,[5 4] ; [10  7],[5.19230769 3.80769231] ; [9.80769231 7.19230769],0
p1,1,0.950729,0.003818,[ 2 14] ; [ 8 59],[ 1.92771084 14.07228916] ; [ 8.07228916 58.92771084],0
v2,1,0.961169,0.00237,[9 7] ; [37 28],[9.08641975 6.91358025] ; [36.91358025 28.08641975],0
