Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,42.441756,[125  36] ; [ 95 120],[94.20212766 66.79787234] ; [125.79787234  89.20212766],1
v1,1,1e-06,24.586798,[117  45] ; [101 115],[93.42857143 68.57142857] ; [124.57142857  91.42857143],1
s4,1,0.000786,11.273001,[ 28 136] ; [ 70 147],[ 42.18372703 121.81627297] ; [ 55.81627297 161.18372703],1
n4,1,0.001134,10.594438,[142  22] ; [161  60],[129.07012987  34.92987013] ; [173.92987013  47.07012987],0
p12,1,0.001404,10.200613,[ 29 134] ; [ 16 206],[ 19.05194805 143.94805195] ; [ 25.94805195 196.05194805],0
p5,1,0.001587,9.974507,[ 34 129] ; [ 21 201],[ 23.28571429 139.71428571] ; [ 31.71428571 190.28571429],0
n5,1,0.004115,8.232571,[140  24] ; [161  59],[128.55208333  35.44791667] ; [172.44791667  47.55208333],0
s8,1,0.009381,6.748748,[116  46] ; [131  92],[103.93246753  58.06753247] ; [143.06753247  79.93246753],0
p8,1,0.016879,5.70886,[100  61] ; [109 110],[88.55 72.45] ; [120.45  98.55],0
n6,1,0.017667,5.628856,[150  12] ; [187  34],[142.54308094  19.45691906] ; [194.45691906  26.54308094],0
r1,1,0.022175,5.23199,[145  19] ; [176  45],[136.73766234  27.26233766] ; [184.26233766  36.73766234],0
s7,1,0.037655,4.320549,[123  33] ; [148  66],[114.25945946  41.74054054] ; [156.74054054  57.25945946],0
a5,1,0.051067,3.806077,[133  30] ; [163  60],[124.99481865  38.00518135] ; [171.00518135  51.99481865],0
r4,1,0.051575,3.789512,[156   8] ; [200  23],[150.8630491  13.1369509] ; [205.1369509  17.8630491],0
p3,1,0.101951,2.674751,[95 67] ; [112 111],[87.1012987 74.8987013] ; [119.8987013 103.1012987],0
a1,1,0.102402,2.667723,[ 14 150] ; [ 10 213],[ 10.17054264 153.82945736] ; [ 13.82945736 209.17054264],0
p1,1,0.123472,2.372721,[ 21 141] ; [ 18 203],[ 16.49608355 145.50391645] ; [ 22.50391645 198.49608355],0
