Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.001216,10.465897,[18  6] ; [ 8 19],[12.23529412 11.76470588] ; [13.76470588 13.23529412],0
b4,1,0.004142,8.220395,[20  4] ; [12 15],[15.05882353  8.94117647] ; [16.94117647 10.05882353],0
d5,1,0.006172,7.499479,[21  3] ; [14 13],[16.47058824  7.52941176] ; [18.52941176  8.47058824],0
a5,1,0.011244,6.426411,[19  5] ; [12 15],[14.58823529  9.41176471] ; [16.41176471 10.58823529],0
a3,1,0.028789,4.780203,[18  5] ; [13 14],[14.26  8.74] ; [16.74 10.26],0
r4,1,0.035875,4.403051,[11 13] ; [ 5 22],[ 7.52941176 16.47058824] ; [ 8.47058824 18.52941176],0
r3,1,0.063816,3.435319,[17  6] ; [13 14],[13.8  9.2] ; [16.2 10.8],0
u2,1,0.090969,2.857143,[3 3] ; [ 2 12],[1.5 4.5] ; [ 3.5 10.5],0
d3,1,0.128295,2.313014,[14 10] ; [10 17],[11.29411765 12.70588235] ; [12.70588235 14.29411765],0
a2,1,0.164309,1.934118,[ 5 19] ; [ 2 25],[ 3.29411765 20.70588235] ; [ 3.70588235 23.29411765],0
n2,1,0.183864,1.766111,[7 3] ; [5 7],[5.45454545 4.54545455] ; [6.54545455 5.45454545],0
s4,1,0.201818,1.629167,[ 1 23] ; [ 4 23],[ 2.35294118 21.64705882] ; [ 2.64705882 24.35294118],0
s1,1,0.201818,1.629167,[ 1 23] ; [ 4 23],[ 2.35294118 21.64705882] ; [ 2.64705882 24.35294118],0
b3,1,0.2473,1.33849,[ 4 10] ; [11 12],[5.67567568 8.32432432] ; [ 9.32432432 13.67567568],0
b2,1,0.2473,1.33849,[ 4 10] ; [11 12],[5.67567568 8.32432432] ; [ 9.32432432 13.67567568],0
v2,1,0.270822,1.212581,[12 12] ; [ 9 17],[10.08 13.92] ; [10.92 15.08],0
s5,1,0.334975,0.929567,[ 5 18] ; [ 3 23],[ 3.75510204 19.24489796] ; [ 4.24489796 21.75510204],0
r1,1,0.350837,0.870428,[12 12] ; [10 17],[10.35294118 13.64705882] ; [11.64705882 15.35294118],0
v3,1,0.370896,0.800659,[ 7 17] ; [ 5 22],[ 5.64705882 18.35294118] ; [ 6.35294118 20.64705882],0
s8,1,0.370896,0.800659,[ 7 17] ; [ 5 22],[ 5.64705882 18.35294118] ; [ 6.35294118 20.64705882],0
n3,1,0.391805,0.733333,[6 4] ; [5 7],[5. 5.] ; [6. 6.],0
n1,1,0.391805,0.733333,[4 6] ; [7 5],[5. 5.] ; [6. 6.],0
p2,1,0.411548,0.674326,[12 12] ; [10 16],[10.56 13.44] ; [11.44 14.56],0
p6,1,0.434556,0.610615,[ 6 18] ; [ 4 21],[ 4.89795918 19.10204082] ; [ 5.10204082 19.89795918],0
p1,1,0.473327,0.514198,[ 2 22] ; [ 4 23],[ 2.82352941 21.17647059] ; [ 3.17647059 23.82352941],0
p5,1,0.473327,0.514198,[ 2 22] ; [ 4 23],[ 2.82352941 21.17647059] ; [ 3.17647059 23.82352941],0
b5,1,0.488161,0.480577,[13 11] ; [12 15],[11.76470588 12.23529412] ; [13.23529412 13.76470588],0
p3,1,0.514453,0.425,[ 6 18] ; [ 9 18],[ 7.05882353 16.94117647] ; [ 7.94117647 19.05882353],0
s2,1,0.526106,0.401907,[ 5 18] ; [ 8 19],[ 5.98 17.02] ; [ 7.02 19.98],0
p4,1,0.551764,0.354167,[ 9 15] ; [ 8 19],[ 8. 16.] ; [ 9. 18.],0
