Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.002365,9.242012,[99 15] ; [26 14],[92.53246753 21.46753247] ; [32.46753247  7.53246753],0
p4,1,0.002445,9.181194,[63 53] ; [11 30],[54.67515924 61.32484076] ; [19.32484076 21.67515924],0
p10,1,0.002814,8.924413,[89 26] ; [21 19],[81.61290323 33.38709677] ; [28.38709677 11.61290323],0
n4,1,0.003899,8.330073,[92 24] ; [23 18],[84.96815287 31.03184713] ; [30.03184713 10.96815287],0
s1,1,0.005492,7.709965,[  2 113] ; [ 5 36],[  5.16025641 109.83974359] ; [ 1.83974359 39.16025641],0
a7,1,0.012052,6.303261,[89 27] ; [23 18],[82.75159236 33.24840764] ; [29.24840764 11.75159236],0
r3,1,0.01836,5.561438,[109   6] ; [34  7],[105.41666667   9.58333333] ; [37.58333333  3.41666667],0
n5,1,0.027509,4.858604,[84 32] ; [22 19],[78.31847134 37.68152866] ; [27.68152866 13.31847134],0
n6,1,0.033653,4.512226,[92 23] ; [26 15],[86.98717949 28.01282051] ; [31.01282051  9.98717949],0
d5,1,0.033881,4.500689,[95 21] ; [27 14],[90.14012739 25.85987261] ; [31.85987261  9.14012739],0
v4,1,0.052038,3.774549,[109   6] ; [35  6],[106.15384615   8.84615385] ; [37.84615385  3.15384615],0
p8,1,0.065056,3.40355,[37 78] ; [ 7 34],[32.43589744 82.56410256] ; [11.56410256 29.43589744],0
s4,1,0.069435,3.296321,[ 13 102] ; [ 9 30],[16.42857143 98.57142857] ; [ 5.57142857 33.42857143],0
a1,1,0.079587,3.073318,[  2 114] ; [ 3 38],[  3.69426752 112.30573248] ; [ 1.30573248 39.69426752],0
d4,1,0.091998,2.839064,[94 22] ; [28 13],[90.14012739 25.85987261] ; [31.85987261  9.14012739],0
n1,1,0.118082,2.442581,[ 9 17] ; [10  7],[11.48837209 14.51162791] ; [7.51162791 9.48837209],0
v2,1,0.119289,2.426629,[72 40] ; [19 19],[67.94666667 44.05333333] ; [23.05333333 14.94666667],0
d3,1,0.135973,2.22295,[80 36] ; [23 18],[76.10191083 39.89808917] ; [26.89808917 14.10191083],0
u3,1,0.136191,2.220479,[24 16] ; [10  2],[26.15384615 13.84615385] ; [7.84615385 4.15384615],0
p11,1,0.139349,2.185139,[85 31] ; [25 16],[81.27388535 34.72611465] ; [28.72611465 12.27388535],0
r1,1,0.153064,2.041444,[92 24] ; [28 13],[88.66242038 27.33757962] ; [31.33757962  9.66242038],0
r4,1,0.167708,1.90331,[101  15] ; [32  9],[98.26751592 17.73248408] ; [34.73248408  6.26751592],0
p1,1,0.197982,1.657195,[  9 107] ; [ 6 35],[ 11.08280255 104.91719745] ; [ 3.91719745 37.08280255],0
b2,1,0.242145,1.368062,[25 43] ; [13 13],[27.4893617 40.5106383] ; [10.5106383 15.4893617],0
b3,1,0.242145,1.368062,[25 43] ; [13 13],[27.4893617 40.5106383] ; [10.5106383 15.4893617],0
r2,1,0.301575,1.067219,[110   6] ; [37  4],[108.61146497   7.38853503] ; [38.38853503  2.61146497],0
p12,1,0.301656,1.066858,[ 12 103] ; [ 2 38],[ 10.38709677 104.61290323] ; [ 3.61290323 36.38709677],0
p3,1,0.367222,0.813044,[44 72] ; [12 28],[41.64102564 74.35897436] ; [14.35897436 25.64102564],0
a3,1,0.416885,0.659079,[76 40] ; [29 11],[78.07692308 37.92307692] ; [26.92307692 13.07692308],0
d1,1,0.422982,0.642014,[65 51] ; [20 21],[62.80254777 53.19745223] ; [22.19745223 18.80254777],0
a4,1,0.456986,0.553268,[53 63] ; [21 19],[55.02564103 60.97435897] ; [18.97435897 21.02564103],0
s3,1,0.460372,0.544989,[56 57] ; [22 17],[57.98684211 55.01315789] ; [20.01315789 18.98684211],0
d2,1,0.508411,0.437336,[52 63] ; [21 20],[53.81410256 61.18589744] ; [19.18589744 21.81410256],0
a8,1,0.510307,0.433437,[12 90] ; [ 3 35],[10.92857143 91.07142857] ; [ 4.07142857 33.92857143],0
a5,1,0.592777,0.286028,[87 29] ; [29 12],[85.70700637 30.29299363] ; [30.29299363 10.70700637],0
b1,1,0.60179,0.272305,[40 76] ; [16 25],[41.37579618 74.62420382] ; [14.62420382 26.37579618],0
v3,1,0.602803,0.270789,[46 66] ; [17 20],[47.3557047 64.6442953] ; [15.6442953 21.3557047],0
b4,1,0.634276,0.226307,[70 46] ; [23 18],[68.7133758 47.2866242] ; [24.2866242 16.7133758],0
a6,1,0.656034,0.198377,[78 38] ; [26 15],[76.84076433 39.15923567] ; [27.15923567 13.84076433],0
b5,1,0.656034,0.198377,[78 38] ; [26 15],[76.84076433 39.15923567] ; [27.15923567 13.84076433],0
s5,1,0.703619,0.144734,[30 80] ; [11 25],[30.89041096 79.10958904] ; [10.10958904 25.89041096],0
p5,1,0.735774,0.113876,[ 11 105] ; [ 3 36],[ 10.47741935 105.52258065] ; [ 3.52258065 35.47741935],0
n3,1,0.756871,0.095847,[18  8] ; [11  6],[17.53488372  8.46511628] ; [11.46511628  5.53488372],0
s6,1,0.77043,0.085154,[76 38] ; [25 14],[75.25490196 38.74509804] ; [25.74509804 13.25490196],0
a2,1,0.795813,0.066962,[26 90] ; [10 31],[26.59872611 89.40127389] ; [ 9.40127389 31.59872611],0
u2,1,0.842369,0.039547,[24 15] ; [7 5],[23.70588235 15.29411765] ; [7.29411765 4.70588235],0
